name,iteration,solvent,energy,oxidation_states,electronic_scf
FeN4-glyme,0.0,Glyme,-541.1999840352237,"[{'Element': 'C', 'Oxidation States': [0.046, 0.038, 0.042, 0.038, 0.042, 0.03, 0.04, 0.038, 0.155, 0.042, 0.04, 0.04, 0.046, 0.042, 0.014, 0.051, 0.044, 0.03, 0.135, 0.042, 0.038, 0.038, 0.036, 0.047, 0.053, 0.036, 0.038, 0.042, 0.155, 0.042, 0.04, 0.135, 0.051, 0.042, 0.046, 0.042, 0.053, 0.03, 0.04, 0.038, 0.155, 0.047, 0.042, 0.042, 0.042, 0.042, 0.051, 0.04, 0.038, 0.155, 0.036, 0.04, 0.051, 0.135, 0.038, 0.038, 0.04, 0.014, 0.038, 0.044, 0.135, 0.042, 0.047, 0.036, 0.039, 0.03]}, {'Element': 'N', 'Oxidation States': [-0.132, -0.132, -0.132, -0.132]}, {'Element': 'Fe', 'Oxidation States': [0.14]}]",False
FeN4-PC,0.0,PC,-541.1854982040767,"[{'Element': 'C', 'Oxidation States': [0.047, 0.037, 0.042, 0.038, 0.041, 0.032, 0.04, 0.037, 0.156, 0.041, 0.039, 0.04, 0.047, 0.041, 0.014, 0.053, 0.044, 0.032, 0.136, 0.041, 0.037, 0.038, 0.037, 0.047, 0.053, 0.037, 0.037, 0.041, 0.156, 0.042, 0.039, 0.136, 0.053, 0.042, 0.047, 0.041, 0.053, 0.032, 0.039, 0.038, 0.157, 0.047, 0.042, 0.041, 0.041, 0.041, 0.053, 0.04, 0.037, 0.157, 0.037, 0.039, 0.053, 0.136, 0.037, 0.037, 0.04, 0.014, 0.037, 0.044, 0.136, 0.041, 0.047, 0.037, 0.038, 0.032]}, {'Element': 'N', 'Oxidation States': [-0.137, -0.137, -0.136, -0.136]}, {'Element': 'Fe', 'Oxidation States': [0.131]}]",False
FeN4,0.0,H2O,-541.1846004411713,"[{'Element': 'C', 'Oxidation States': [0.046, 0.037, 0.042, 0.038, 0.041, 0.03, 0.04, 0.037, 0.155, 0.042, 0.04, 0.04, 0.046, 0.042, 0.014, 0.051, 0.044, 0.03, 0.135, 0.042, 0.038, 0.038, 0.035, 0.047, 0.052, 0.035, 0.038, 0.041, 0.155, 0.041, 0.04, 0.135, 0.051, 0.042, 0.046, 0.041, 0.052, 0.03, 0.04, 0.038, 0.155, 0.047, 0.042, 0.042, 0.042, 0.041, 0.051, 0.04, 0.037, 0.155, 0.035, 0.04, 0.051, 0.135, 0.038, 0.038, 0.04, 0.014, 0.037, 0.044, 0.135, 0.042, 0.046, 0.035, 0.038, 0.03]}, {'Element': 'N', 'Oxidation States': [-0.132, -0.132, -0.132, -0.132]}, {'Element': 'Fe', 'Oxidation States': [0.148]}]",False
NiS2-glyme,0.0,Glyme,-6903.820778679468,"[{'Element': 'Ni', 'Oxidation States': [0.019, -0.448, -0.448, 0.019, 0.019, 0.019, -0.448, -0.448, -0.448, -0.448, 0.019, 0.019, 0.019, 0.019, -0.448, -0.448, 0.019, 0.019, -0.448, -0.448, 0.019, 0.019, -0.448, -0.448, -0.448, -0.448, 0.019, 0.019, 0.019, 0.019, -0.448, -0.448, -0.448, -0.448, 0.019, 0.019]}, {'Element': 'S', 'Oxidation States': [0.316, 0.445, 0.088, -0.041, -0.041, 0.088, 0.445, 0.316, 0.316, 0.445, 0.088, -0.041, -0.041, 0.088, 0.445, 0.316, 0.316, 0.445, -0.041, 0.088, 0.445, 0.316, 0.088, -0.041, 0.316, 0.445, 0.088, -0.041, -0.041, 0.088, 0.445, 0.316, 0.316, 0.445, -0.041, 0.088, 0.445, 0.316, 0.088, -0.041, 0.316, 0.445, 0.088, -0.041, -0.041, 0.088, 0.445, 0.316, 0.316, 0.445, 0.088, -0.041, -0.041, 0.088, 0.445, 0.316, 0.316, 0.445, 0.088, -0.041, -0.041, 0.088, 0.445, 0.316, 0.316, 0.445, 0.088, -0.041, -0.041, 0.088, 0.445, 0.316]}]",False
NiS2-PC,0.0,PC,-6904.101344045369,"[{'Element': 'Ni', 'Oxidation States': [0.242, -0.446, -0.446, 0.242, 0.242, 0.242, -0.446, -0.446, -0.446, -0.446, 0.242, 0.242, 0.242, 0.242, -0.446, -0.446, 0.242, 0.242, -0.446, -0.446, 0.242, 0.242, -0.446, -0.446, -0.446, -0.446, 0.242, 0.242, 0.242, 0.242, -0.446, -0.446, -0.446, -0.446, 0.242, 0.242]}, {'Element': 'S', 'Oxidation States': [0.29, 0.444, 0.047, -0.215, -0.215, 0.047, 0.444, 0.29, 0.29, 0.444, 0.047, -0.215, -0.215, 0.047, 0.444, 0.29, 0.29, 0.444, -0.215, 0.047, 0.444, 0.29, 0.047, -0.215, 0.29, 0.444, 0.047, -0.215, -0.215, 0.047, 0.444, 0.29, 0.29, 0.444, -0.215, 0.047, 0.444, 0.29, 0.047, -0.215, 0.29, 0.444, 0.047, -0.215, -0.215, 0.047, 0.444, 0.29, 0.29, 0.444, 0.047, -0.215, -0.215, 0.047, 0.444, 0.29, 0.29, 0.444, 0.047, -0.215, -0.215, 0.047, 0.444, 0.29, 0.29, 0.444, 0.047, -0.215, -0.215, 0.047, 0.444, 0.29]}]",False
NiS2,0.0,H2O,-6903.768851716705,"[{'Element': 'Ni', 'Oxidation States': [-0.002, -0.449, -0.449, -0.002, -0.002, -0.002, -0.449, -0.449, -0.449, -0.449, -0.002, -0.002, -0.002, -0.002, -0.449, -0.449, -0.002, -0.002, -0.449, -0.449, -0.002, -0.002, -0.449, -0.449, -0.449, -0.449, -0.002, -0.002, -0.002, -0.002, -0.449, -0.449, -0.449, -0.449, -0.002, -0.002]}, {'Element': 'S', 'Oxidation States': [0.318, 0.445, 0.085, -0.014, -0.014, 0.085, 0.445, 0.318, 0.318, 0.445, 0.085, -0.014, -0.014, 0.085, 0.445, 0.318, 0.318, 0.445, -0.014, 0.085, 0.445, 0.318, 0.085, -0.014, 0.318, 0.445, 0.085, -0.014, -0.014, 0.085, 0.445, 0.318, 0.318, 0.445, -0.014, 0.085, 0.445, 0.318, 0.085, -0.014, 0.318, 0.445, 0.085, -0.014, -0.014, 0.085, 0.445, 0.318, 0.318, 0.445, 0.085, -0.014, -0.014, 0.085, 0.445, 0.318, 0.318, 0.445, 0.085, -0.014, -0.014, 0.085, 0.445, 0.318, 0.318, 0.445, 0.085, -0.014, -0.014, 0.085, 0.445, 0.318]}]",False
NiS2-glyme,0.0,Glyme,-6903.820778679468,"[{'Element': 'Ni', 'Oxidation States': [0.019, -0.448, -0.448, 0.019, 0.019, 0.019, -0.448, -0.448, -0.448, -0.448, 0.019, 0.019, 0.019, 0.019, -0.448, -0.448, 0.019, 0.019, -0.448, -0.448, 0.019, 0.019, -0.448, -0.448, -0.448, -0.448, 0.019, 0.019, 0.019, 0.019, -0.448, -0.448, -0.448, -0.448, 0.019, 0.019]}, {'Element': 'S', 'Oxidation States': [0.316, 0.445, 0.088, -0.041, -0.041, 0.088, 0.445, 0.316, 0.316, 0.445, 0.088, -0.041, -0.041, 0.088, 0.445, 0.316, 0.316, 0.445, -0.041, 0.088, 0.445, 0.316, 0.088, -0.041, 0.316, 0.445, 0.088, -0.041, -0.041, 0.088, 0.445, 0.316, 0.316, 0.445, -0.041, 0.088, 0.445, 0.316, 0.088, -0.041, 0.316, 0.445, 0.088, -0.041, -0.041, 0.088, 0.445, 0.316, 0.316, 0.445, 0.088, -0.041, -0.041, 0.088, 0.445, 0.316, 0.316, 0.445, 0.088, -0.041, -0.041, 0.088, 0.445, 0.316, 0.316, 0.445, 0.088, -0.041, -0.041, 0.088, 0.445, 0.316]}]",False
NiS2-PC,0.0,PC,-6904.101344045369,"[{'Element': 'Ni', 'Oxidation States': [0.242, -0.446, -0.446, 0.242, 0.242, 0.242, -0.446, -0.446, -0.446, -0.446, 0.242, 0.242, 0.242, 0.242, -0.446, -0.446, 0.242, 0.242, -0.446, -0.446, 0.242, 0.242, -0.446, -0.446, -0.446, -0.446, 0.242, 0.242, 0.242, 0.242, -0.446, -0.446, -0.446, -0.446, 0.242, 0.242]}, {'Element': 'S', 'Oxidation States': [0.29, 0.444, 0.047, -0.215, -0.215, 0.047, 0.444, 0.29, 0.29, 0.444, 0.047, -0.215, -0.215, 0.047, 0.444, 0.29, 0.29, 0.444, -0.215, 0.047, 0.444, 0.29, 0.047, -0.215, 0.29, 0.444, 0.047, -0.215, -0.215, 0.047, 0.444, 0.29, 0.29, 0.444, -0.215, 0.047, 0.444, 0.29, 0.047, -0.215, 0.29, 0.444, 0.047, -0.215, -0.215, 0.047, 0.444, 0.29, 0.29, 0.444, 0.047, -0.215, -0.215, 0.047, 0.444, 0.29, 0.29, 0.444, 0.047, -0.215, -0.215, 0.047, 0.444, 0.29, 0.29, 0.444, 0.047, -0.215, -0.215, 0.047, 0.444, 0.29]}]",False
NiS2,0.0,H2O,-6903.768851716705,"[{'Element': 'Ni', 'Oxidation States': [-0.002, -0.449, -0.449, -0.002, -0.002, -0.002, -0.449, -0.449, -0.449, -0.449, -0.002, -0.002, -0.002, -0.002, -0.449, -0.449, -0.002, -0.002, -0.449, -0.449, -0.002, -0.002, -0.449, -0.449, -0.449, -0.449, -0.002, -0.002, -0.002, -0.002, -0.449, -0.449, -0.449, -0.449, -0.002, -0.002]}, {'Element': 'S', 'Oxidation States': [0.318, 0.445, 0.085, -0.014, -0.014, 0.085, 0.445, 0.318, 0.318, 0.445, 0.085, -0.014, -0.014, 0.085, 0.445, 0.318, 0.318, 0.445, -0.014, 0.085, 0.445, 0.318, 0.085, -0.014, 0.318, 0.445, 0.085, -0.014, -0.014, 0.085, 0.445, 0.318, 0.318, 0.445, -0.014, 0.085, 0.445, 0.318, 0.085, -0.014, 0.318, 0.445, 0.085, -0.014, -0.014, 0.085, 0.445, 0.318, 0.318, 0.445, 0.085, -0.014, -0.014, 0.085, 0.445, 0.318, 0.318, 0.445, 0.085, -0.014, -0.014, 0.085, 0.445, 0.318, 0.318, 0.445, 0.085, -0.014, -0.014, 0.085, 0.445, 0.318]}]",False
N_graphene-glyme-elecmin,0.0,Glyme,-415.4762984453434,"[{'Element': 'C', 'Oxidation States': [0.039, 0.041, 0.041, 0.039, 0.041, 0.041, 0.039, 0.041, 0.028, 0.039, 0.041, 0.028, 0.039, 0.039, 0.039, 0.039, 0.039, 0.035, 0.041, 0.028, 0.039, 0.041, 0.028, 0.039, 0.034, 0.037, 0.034, 0.034, 0.041, 0.041, 0.028, 0.041, 0.041, 0.028, 0.039, 0.04, 0.04, 0.042, 0.039, 0.041, 0.041, 0.039, 0.041, 0.041, 0.04, 0.14, 0.042, 0.04, 0.14, 0.042, 0.042, 0.039, 0.042, 0.041, 0.041, 0.041, 0.042, 0.046, 0.042, 0.042, 0.039, 0.046, 0.042, 0.039, 0.046, 0.04, 0.04, 0.14, 0.041, 0.039, 0.041]}, {'Element': 'N', 'Oxidation States': [0.007]}]",False
