name,NaPS,solvent,energy,iteration,oxidation_states,electronic_scf
Na2S-PC-vdw,Na2S,PC,-105.83725120190306,17.0,"[{'Element': 'S', 'Oxidation States': [-1.666]}, {'Element': 'Na', 'Oxidation States': [0.955, 0.955]}]",False
Na2S-PC-vdw,Na2S,PC,-105.83769663233906,23.0,"[{'Element': 'S', 'Oxidation States': [-1.666]}, {'Element': 'Na', 'Oxidation States': [0.955, 0.955]}]",False
Na2S-PC-vdw,Na2S,PC,-105.83764481245029,22.0,"[{'Element': 'S', 'Oxidation States': [-1.666]}, {'Element': 'Na', 'Oxidation States': [0.955, 0.955]}]",False
Na2S-PC-vdw,Na2S,PC,-105.83757371119974,21.0,"[{'Element': 'S', 'Oxidation States': [-1.666]}, {'Element': 'Na', 'Oxidation States': [0.955, 0.955]}]",False
Na2S-PC-vdw,Na2S,PC,-105.83742176261607,20.0,"[{'Element': 'S', 'Oxidation States': [-1.666]}, {'Element': 'Na', 'Oxidation States': [0.955, 0.955]}]",False
Na2S-PC-vdw,Na2S,PC,-105.83739784473808,19.0,"[{'Element': 'S', 'Oxidation States': [-1.666]}, {'Element': 'Na', 'Oxidation States': [0.955, 0.955]}]",False
Na2S-PC-vdw,Na2S,PC,-105.83726480666058,18.0,"[{'Element': 'S', 'Oxidation States': [-1.666]}, {'Element': 'Na', 'Oxidation States': [0.955, 0.955]}]",False
Na2S-PC-vdw,Na2S,PC,-105.83823351447964,26.0,"[{'Element': 'S', 'Oxidation States': [-1.666]}, {'Element': 'Na', 'Oxidation States': [0.955, 0.955]}]",False
Na2S-PC-vdw,Na2S,PC,-105.83723377393453,16.0,"[{'Element': 'S', 'Oxidation States': [-1.666]}, {'Element': 'Na', 'Oxidation States': [0.955, 0.955]}]",False
Na2S-PC-vdw,Na2S,PC,-105.83718426489412,15.0,"[{'Element': 'S', 'Oxidation States': [-1.666]}, {'Element': 'Na', 'Oxidation States': [0.955, 0.955]}]",False
Na2S-PC-vdw,Na2S,PC,-105.8369786085563,14.0,"[{'Element': 'S', 'Oxidation States': [-1.666]}, {'Element': 'Na', 'Oxidation States': [0.955, 0.955]}]",False
Na2S-PC-vdw,Na2S,PC,-105.8363873550516,13.0,"[{'Element': 'S', 'Oxidation States': [-1.666]}, {'Element': 'Na', 'Oxidation States': [0.955, 0.955]}]",False
Na2S-PC-vdw,Na2S,PC,-105.8359760213646,12.0,"[{'Element': 'S', 'Oxidation States': [-1.666]}, {'Element': 'Na', 'Oxidation States': [0.955, 0.955]}]",False
Na2S-PC-vdw,Na2S,PC,-105.8359719525441,11.0,"[{'Element': 'S', 'Oxidation States': [-1.666]}, {'Element': 'Na', 'Oxidation States': [0.955, 0.955]}]",False
Na2S-PC-vdw,Na2S,PC,-105.83595335526125,10.0,"[{'Element': 'S', 'Oxidation States': [-1.666]}, {'Element': 'Na', 'Oxidation States': [0.955, 0.955]}]",False
Na2S-PC-vdw,Na2S,PC,-105.83593834918197,9.0,"[{'Element': 'S', 'Oxidation States': [-1.666]}, {'Element': 'Na', 'Oxidation States': [0.955, 0.955]}]",False
Na2S-PC-vdw,Na2S,PC,-105.83593343622192,8.0,"[{'Element': 'S', 'Oxidation States': [-1.666]}, {'Element': 'Na', 'Oxidation States': [0.955, 0.955]}]",False
Na2S-PC-vdw,Na2S,PC,-105.82848606989207,7.0,"[{'Element': 'S', 'Oxidation States': [-1.666]}, {'Element': 'Na', 'Oxidation States': [0.955, 0.955]}]",False
Na2S-PC-vdw,Na2S,PC,-105.82655024614124,6.0,"[{'Element': 'S', 'Oxidation States': [-1.666]}, {'Element': 'Na', 'Oxidation States': [0.955, 0.955]}]",False
Na2S-PC-vdw,Na2S,PC,-105.81779824506886,5.0,"[{'Element': 'S', 'Oxidation States': [-1.666]}, {'Element': 'Na', 'Oxidation States': [0.955, 0.955]}]",False
Na2S-PC-vdw,Na2S,PC,-105.81755691194883,4.0,"[{'Element': 'S', 'Oxidation States': [-1.666]}, {'Element': 'Na', 'Oxidation States': [0.955, 0.955]}]",False
Na2S-PC-vdw,Na2S,PC,-105.81683910485279,3.0,"[{'Element': 'S', 'Oxidation States': [-1.666]}, {'Element': 'Na', 'Oxidation States': [0.955, 0.955]}]",False
Na2S-PC-vdw,Na2S,PC,-105.81683593554962,2.0,"[{'Element': 'S', 'Oxidation States': [-1.666]}, {'Element': 'Na', 'Oxidation States': [0.955, 0.955]}]",False
Na2S-PC-vdw,Na2S,PC,-105.81666828927095,1.0,"[{'Element': 'S', 'Oxidation States': [-1.666]}, {'Element': 'Na', 'Oxidation States': [0.955, 0.955]}]",False
Na2S-PC-vdw,Na2S,PC,-105.79722239363726,0.0,"[{'Element': 'S', 'Oxidation States': [-1.666]}, {'Element': 'Na', 'Oxidation States': [0.955, 0.955]}]",False
Na2S-PC-vdw,Na2S,PC,-105.83834553825429,1.0,"[{'Element': 'S', 'Oxidation States': [-1.667]}, {'Element': 'Na', 'Oxidation States': [0.955, 0.955]}]",False
Na2S-PC-vdw,Na2S,PC,-105.83834548719565,0.0,"[{'Element': 'S', 'Oxidation States': [-1.667]}, {'Element': 'Na', 'Oxidation States': [0.955, 0.955]}]",False
