name,NaPS,sorbent,solvent,energy,iteration,electronic_scf,vdw,oxidation_states
Na2S-PC-elecmin,Na2S,,PC,-105.8306103410299,12.0,False,False,"[{'Element': 'S', 'Oxidation States': [-1.686]}, {'Element': 'Na', 'Oxidation States': [0.968, 0.969]}]"
Na2S-PC-elecmin,Na2S,,PC,-105.83061050390783,13.0,False,False,"[{'Element': 'S', 'Oxidation States': [-1.686]}, {'Element': 'Na', 'Oxidation States': [0.968, 0.969]}]"
Na2S-PC-elecmin,Na2S,,PC,-105.83061033362006,11.0,False,False,"[{'Element': 'S', 'Oxidation States': [-1.686]}, {'Element': 'Na', 'Oxidation States': [0.968, 0.969]}]"
Na2S-PC-elecmin,Na2S,,PC,-105.83050790115921,10.0,False,False,"[{'Element': 'S', 'Oxidation States': [-1.686]}, {'Element': 'Na', 'Oxidation States': [0.968, 0.969]}]"
Na2S-PC-elecmin,Na2S,,PC,-105.79637705017683,0.0,False,False,"[{'Element': 'S', 'Oxidation States': [-1.686]}, {'Element': 'Na', 'Oxidation States': [0.968, 0.969]}]"
Na2S-PC-elecmin,Na2S,,PC,-105.81585634222344,1.0,False,False,"[{'Element': 'S', 'Oxidation States': [-1.686]}, {'Element': 'Na', 'Oxidation States': [0.968, 0.969]}]"
Na2S-PC-elecmin,Na2S,,PC,-105.82343357770989,2.0,False,False,"[{'Element': 'S', 'Oxidation States': [-1.686]}, {'Element': 'Na', 'Oxidation States': [0.968, 0.969]}]"
Na2S-PC-elecmin,Na2S,,PC,-105.82455584497686,3.0,False,False,"[{'Element': 'S', 'Oxidation States': [-1.686]}, {'Element': 'Na', 'Oxidation States': [0.968, 0.969]}]"
Na2S-PC-elecmin,Na2S,,PC,-105.8246416824656,4.0,False,False,"[{'Element': 'S', 'Oxidation States': [-1.686]}, {'Element': 'Na', 'Oxidation States': [0.968, 0.969]}]"
Na2S-PC-elecmin,Na2S,,PC,-105.8247413515662,5.0,False,False,"[{'Element': 'S', 'Oxidation States': [-1.686]}, {'Element': 'Na', 'Oxidation States': [0.968, 0.969]}]"
Na2S-PC-elecmin,Na2S,,PC,-105.82497957255367,6.0,False,False,"[{'Element': 'S', 'Oxidation States': [-1.686]}, {'Element': 'Na', 'Oxidation States': [0.968, 0.969]}]"
Na2S-PC-elecmin,Na2S,,PC,-105.82527423390837,7.0,False,False,"[{'Element': 'S', 'Oxidation States': [-1.686]}, {'Element': 'Na', 'Oxidation States': [0.968, 0.969]}]"
Na2S-PC-elecmin,Na2S,,PC,-105.82557860819038,8.0,False,False,"[{'Element': 'S', 'Oxidation States': [-1.686]}, {'Element': 'Na', 'Oxidation States': [0.968, 0.969]}]"
Na2S-PC-elecmin,Na2S,,PC,-105.83006010541649,9.0,False,False,"[{'Element': 'S', 'Oxidation States': [-1.686]}, {'Element': 'Na', 'Oxidation States': [0.968, 0.969]}]"
Na2S-PC-vdw-elecmin,Na2S,,PC,-105.83834553825429,1.0,False,True,"[{'Element': 'S', 'Oxidation States': [-1.667]}, {'Element': 'Na', 'Oxidation States': [0.955, 0.955]}]"
Na2S-PC-vdw-elecmin,Na2S,,PC,-105.83834548719565,0.0,False,True,"[{'Element': 'S', 'Oxidation States': [-1.667]}, {'Element': 'Na', 'Oxidation States': [0.955, 0.955]}]"
Na2S-elecmin,Na2S,,Vacuum,-105.61577022784212,0.0,False,True,"[{'Element': 'S', 'Oxidation States': [-1.173]}, {'Element': 'Na', 'Oxidation States': [0.673, 0.673]}]"
Na2S-glyme-elecmin,Na2S,,Glyme,-105.65917250565124,0.0,False,False,"[{'Element': 'S', 'Oxidation States': [-1.413]}, {'Element': 'Na', 'Oxidation States': [0.818, 0.819]}]"
Na2S-glyme-vdw,Na2S,,Glyme,-105.66006064969184,1.0,True,True,"[{'Element': 'S', 'Oxidation States': [-1.413]}, {'Element': 'Na', 'Oxidation States': [0.818, 0.819]}]"
Na2S-glyme-vdw,Na2S,,Glyme,-105.658999614323,0.0,True,True,"[{'Element': 'S', 'Oxidation States': [-1.413]}, {'Element': 'Na', 'Oxidation States': [0.818, 0.819]}]"
Na2S-glyme-vdw,Na2S,,Glyme,-105.66006305322294,2.0,True,True,"[{'Element': 'S', 'Oxidation States': [-1.413]}, {'Element': 'Na', 'Oxidation States': [0.818, 0.819]}]"
