name,NaPS,solvent,energy,iteration,electronic_scf,vdw,oxidation_states
Na2S2@N_graphene-PC-vdw,Na2S2,PC,-531.7330761632675,11.0,True,True,"[{'Element': 'C', 'Oxidation States': [0.025, 0.026, 0.027, 0.024, 0.026, 0.027, 0.023, 0.025, 0.023, 0.025, 0.026, 0.018, 0.022, 0.025, 0.026, 0.025, 0.027, 0.021, 0.026, 0.02, 0.025, 0.028, 0.017, 0.024, 0.023, 0.023, 0.021, 0.022, 0.028, 0.026, 0.021, 0.026, 0.026, 0.021, 0.027, 0.025, 0.025, 0.026, 0.024, 0.029, 0.025, 0.026, 0.027, 0.023, 0.025, 0.144, 0.026, 0.026, 0.138, 0.025, 0.027, 0.025, 0.025, 0.026, 0.029, 0.025, 0.026, 0.034, 0.027, 0.028, 0.025, 0.036, 0.025, 0.025, 0.036, 0.026, 0.025, 0.144, 0.029, 0.025, 0.028]}, {'Element': 'N', 'Oxidation States': [0.008]}, {'Element': 'S', 'Oxidation States': [-0.493, -0.49]}, {'Element': 'Na', 'Oxidation States': [0.967, 0.968]}]"
Na2S2@N_graphene-PC-vdw,Na2S2,PC,-531.679286138423,0.0,True,True,"[{'Element': 'C', 'Oxidation States': [0.025, 0.026, 0.027, 0.024, 0.026, 0.027, 0.023, 0.025, 0.023, 0.025, 0.026, 0.018, 0.022, 0.025, 0.026, 0.025, 0.027, 0.021, 0.026, 0.02, 0.025, 0.028, 0.017, 0.024, 0.023, 0.023, 0.021, 0.022, 0.028, 0.026, 0.021, 0.026, 0.026, 0.021, 0.027, 0.025, 0.025, 0.026, 0.024, 0.029, 0.025, 0.026, 0.027, 0.023, 0.025, 0.144, 0.026, 0.026, 0.138, 0.025, 0.027, 0.025, 0.025, 0.026, 0.029, 0.025, 0.026, 0.034, 0.027, 0.028, 0.025, 0.036, 0.025, 0.025, 0.036, 0.026, 0.025, 0.144, 0.029, 0.025, 0.028]}, {'Element': 'N', 'Oxidation States': [0.008]}, {'Element': 'S', 'Oxidation States': [-0.493, -0.49]}, {'Element': 'Na', 'Oxidation States': [0.967, 0.968]}]"
Na2S2@N_graphene-PC-vdw,Na2S2,PC,-531.7052410802285,1.0,True,True,"[{'Element': 'C', 'Oxidation States': [0.025, 0.026, 0.027, 0.024, 0.026, 0.027, 0.023, 0.025, 0.023, 0.025, 0.026, 0.018, 0.022, 0.025, 0.026, 0.025, 0.027, 0.021, 0.026, 0.02, 0.025, 0.028, 0.017, 0.024, 0.023, 0.023, 0.021, 0.022, 0.028, 0.026, 0.021, 0.026, 0.026, 0.021, 0.027, 0.025, 0.025, 0.026, 0.024, 0.029, 0.025, 0.026, 0.027, 0.023, 0.025, 0.144, 0.026, 0.026, 0.138, 0.025, 0.027, 0.025, 0.025, 0.026, 0.029, 0.025, 0.026, 0.034, 0.027, 0.028, 0.025, 0.036, 0.025, 0.025, 0.036, 0.026, 0.025, 0.144, 0.029, 0.025, 0.028]}, {'Element': 'N', 'Oxidation States': [0.008]}, {'Element': 'S', 'Oxidation States': [-0.493, -0.49]}, {'Element': 'Na', 'Oxidation States': [0.967, 0.968]}]"
Na2S2@N_graphene-PC-vdw,Na2S2,PC,-531.713222341137,2.0,True,True,"[{'Element': 'C', 'Oxidation States': [0.025, 0.026, 0.027, 0.024, 0.026, 0.027, 0.023, 0.025, 0.023, 0.025, 0.026, 0.018, 0.022, 0.025, 0.026, 0.025, 0.027, 0.021, 0.026, 0.02, 0.025, 0.028, 0.017, 0.024, 0.023, 0.023, 0.021, 0.022, 0.028, 0.026, 0.021, 0.026, 0.026, 0.021, 0.027, 0.025, 0.025, 0.026, 0.024, 0.029, 0.025, 0.026, 0.027, 0.023, 0.025, 0.144, 0.026, 0.026, 0.138, 0.025, 0.027, 0.025, 0.025, 0.026, 0.029, 0.025, 0.026, 0.034, 0.027, 0.028, 0.025, 0.036, 0.025, 0.025, 0.036, 0.026, 0.025, 0.144, 0.029, 0.025, 0.028]}, {'Element': 'N', 'Oxidation States': [0.008]}, {'Element': 'S', 'Oxidation States': [-0.493, -0.49]}, {'Element': 'Na', 'Oxidation States': [0.967, 0.968]}]"
Na2S2@N_graphene-PC-vdw,Na2S2,PC,-531.718622857147,3.0,True,True,"[{'Element': 'C', 'Oxidation States': [0.025, 0.026, 0.027, 0.024, 0.026, 0.027, 0.023, 0.025, 0.023, 0.025, 0.026, 0.018, 0.022, 0.025, 0.026, 0.025, 0.027, 0.021, 0.026, 0.02, 0.025, 0.028, 0.017, 0.024, 0.023, 0.023, 0.021, 0.022, 0.028, 0.026, 0.021, 0.026, 0.026, 0.021, 0.027, 0.025, 0.025, 0.026, 0.024, 0.029, 0.025, 0.026, 0.027, 0.023, 0.025, 0.144, 0.026, 0.026, 0.138, 0.025, 0.027, 0.025, 0.025, 0.026, 0.029, 0.025, 0.026, 0.034, 0.027, 0.028, 0.025, 0.036, 0.025, 0.025, 0.036, 0.026, 0.025, 0.144, 0.029, 0.025, 0.028]}, {'Element': 'N', 'Oxidation States': [0.008]}, {'Element': 'S', 'Oxidation States': [-0.493, -0.49]}, {'Element': 'Na', 'Oxidation States': [0.967, 0.968]}]"
Na2S2@N_graphene-PC-vdw,Na2S2,PC,-531.7276915583095,4.0,True,True,"[{'Element': 'C', 'Oxidation States': [0.025, 0.026, 0.027, 0.024, 0.026, 0.027, 0.023, 0.025, 0.023, 0.025, 0.026, 0.018, 0.022, 0.025, 0.026, 0.025, 0.027, 0.021, 0.026, 0.02, 0.025, 0.028, 0.017, 0.024, 0.023, 0.023, 0.021, 0.022, 0.028, 0.026, 0.021, 0.026, 0.026, 0.021, 0.027, 0.025, 0.025, 0.026, 0.024, 0.029, 0.025, 0.026, 0.027, 0.023, 0.025, 0.144, 0.026, 0.026, 0.138, 0.025, 0.027, 0.025, 0.025, 0.026, 0.029, 0.025, 0.026, 0.034, 0.027, 0.028, 0.025, 0.036, 0.025, 0.025, 0.036, 0.026, 0.025, 0.144, 0.029, 0.025, 0.028]}, {'Element': 'N', 'Oxidation States': [0.008]}, {'Element': 'S', 'Oxidation States': [-0.493, -0.49]}, {'Element': 'Na', 'Oxidation States': [0.967, 0.968]}]"
Na2S2@N_graphene-PC-vdw,Na2S2,PC,-531.7316303992295,5.0,True,True,"[{'Element': 'C', 'Oxidation States': [0.025, 0.026, 0.027, 0.024, 0.026, 0.027, 0.023, 0.025, 0.023, 0.025, 0.026, 0.018, 0.022, 0.025, 0.026, 0.025, 0.027, 0.021, 0.026, 0.02, 0.025, 0.028, 0.017, 0.024, 0.023, 0.023, 0.021, 0.022, 0.028, 0.026, 0.021, 0.026, 0.026, 0.021, 0.027, 0.025, 0.025, 0.026, 0.024, 0.029, 0.025, 0.026, 0.027, 0.023, 0.025, 0.144, 0.026, 0.026, 0.138, 0.025, 0.027, 0.025, 0.025, 0.026, 0.029, 0.025, 0.026, 0.034, 0.027, 0.028, 0.025, 0.036, 0.025, 0.025, 0.036, 0.026, 0.025, 0.144, 0.029, 0.025, 0.028]}, {'Element': 'N', 'Oxidation States': [0.008]}, {'Element': 'S', 'Oxidation States': [-0.493, -0.49]}, {'Element': 'Na', 'Oxidation States': [0.967, 0.968]}]"
Na2S2@N_graphene-PC-vdw,Na2S2,PC,-531.7318230804511,6.0,True,True,"[{'Element': 'C', 'Oxidation States': [0.025, 0.026, 0.027, 0.024, 0.026, 0.027, 0.023, 0.025, 0.023, 0.025, 0.026, 0.018, 0.022, 0.025, 0.026, 0.025, 0.027, 0.021, 0.026, 0.02, 0.025, 0.028, 0.017, 0.024, 0.023, 0.023, 0.021, 0.022, 0.028, 0.026, 0.021, 0.026, 0.026, 0.021, 0.027, 0.025, 0.025, 0.026, 0.024, 0.029, 0.025, 0.026, 0.027, 0.023, 0.025, 0.144, 0.026, 0.026, 0.138, 0.025, 0.027, 0.025, 0.025, 0.026, 0.029, 0.025, 0.026, 0.034, 0.027, 0.028, 0.025, 0.036, 0.025, 0.025, 0.036, 0.026, 0.025, 0.144, 0.029, 0.025, 0.028]}, {'Element': 'N', 'Oxidation States': [0.008]}, {'Element': 'S', 'Oxidation States': [-0.493, -0.49]}, {'Element': 'Na', 'Oxidation States': [0.967, 0.968]}]"
Na2S2@N_graphene-PC-vdw,Na2S2,PC,-531.7318947819371,7.0,True,True,"[{'Element': 'C', 'Oxidation States': [0.025, 0.026, 0.027, 0.024, 0.026, 0.027, 0.023, 0.025, 0.023, 0.025, 0.026, 0.018, 0.022, 0.025, 0.026, 0.025, 0.027, 0.021, 0.026, 0.02, 0.025, 0.028, 0.017, 0.024, 0.023, 0.023, 0.021, 0.022, 0.028, 0.026, 0.021, 0.026, 0.026, 0.021, 0.027, 0.025, 0.025, 0.026, 0.024, 0.029, 0.025, 0.026, 0.027, 0.023, 0.025, 0.144, 0.026, 0.026, 0.138, 0.025, 0.027, 0.025, 0.025, 0.026, 0.029, 0.025, 0.026, 0.034, 0.027, 0.028, 0.025, 0.036, 0.025, 0.025, 0.036, 0.026, 0.025, 0.144, 0.029, 0.025, 0.028]}, {'Element': 'N', 'Oxidation States': [0.008]}, {'Element': 'S', 'Oxidation States': [-0.493, -0.49]}, {'Element': 'Na', 'Oxidation States': [0.967, 0.968]}]"
Na2S2@N_graphene-PC-vdw,Na2S2,PC,-531.7327495420692,8.0,True,True,"[{'Element': 'C', 'Oxidation States': [0.025, 0.026, 0.027, 0.024, 0.026, 0.027, 0.023, 0.025, 0.023, 0.025, 0.026, 0.018, 0.022, 0.025, 0.026, 0.025, 0.027, 0.021, 0.026, 0.02, 0.025, 0.028, 0.017, 0.024, 0.023, 0.023, 0.021, 0.022, 0.028, 0.026, 0.021, 0.026, 0.026, 0.021, 0.027, 0.025, 0.025, 0.026, 0.024, 0.029, 0.025, 0.026, 0.027, 0.023, 0.025, 0.144, 0.026, 0.026, 0.138, 0.025, 0.027, 0.025, 0.025, 0.026, 0.029, 0.025, 0.026, 0.034, 0.027, 0.028, 0.025, 0.036, 0.025, 0.025, 0.036, 0.026, 0.025, 0.144, 0.029, 0.025, 0.028]}, {'Element': 'N', 'Oxidation States': [0.008]}, {'Element': 'S', 'Oxidation States': [-0.493, -0.49]}, {'Element': 'Na', 'Oxidation States': [0.967, 0.968]}]"
Na2S2@N_graphene-PC-vdw,Na2S2,PC,-531.7330115550124,9.0,True,True,"[{'Element': 'C', 'Oxidation States': [0.025, 0.026, 0.027, 0.024, 0.026, 0.027, 0.023, 0.025, 0.023, 0.025, 0.026, 0.018, 0.022, 0.025, 0.026, 0.025, 0.027, 0.021, 0.026, 0.02, 0.025, 0.028, 0.017, 0.024, 0.023, 0.023, 0.021, 0.022, 0.028, 0.026, 0.021, 0.026, 0.026, 0.021, 0.027, 0.025, 0.025, 0.026, 0.024, 0.029, 0.025, 0.026, 0.027, 0.023, 0.025, 0.144, 0.026, 0.026, 0.138, 0.025, 0.027, 0.025, 0.025, 0.026, 0.029, 0.025, 0.026, 0.034, 0.027, 0.028, 0.025, 0.036, 0.025, 0.025, 0.036, 0.026, 0.025, 0.144, 0.029, 0.025, 0.028]}, {'Element': 'N', 'Oxidation States': [0.008]}, {'Element': 'S', 'Oxidation States': [-0.493, -0.49]}, {'Element': 'Na', 'Oxidation States': [0.967, 0.968]}]"
Na2S2@N_graphene-PC-vdw,Na2S2,PC,-531.7330665237092,10.0,True,True,"[{'Element': 'C', 'Oxidation States': [0.025, 0.026, 0.027, 0.024, 0.026, 0.027, 0.023, 0.025, 0.023, 0.025, 0.026, 0.018, 0.022, 0.025, 0.026, 0.025, 0.027, 0.021, 0.026, 0.02, 0.025, 0.028, 0.017, 0.024, 0.023, 0.023, 0.021, 0.022, 0.028, 0.026, 0.021, 0.026, 0.026, 0.021, 0.027, 0.025, 0.025, 0.026, 0.024, 0.029, 0.025, 0.026, 0.027, 0.023, 0.025, 0.144, 0.026, 0.026, 0.138, 0.025, 0.027, 0.025, 0.025, 0.026, 0.029, 0.025, 0.026, 0.034, 0.027, 0.028, 0.025, 0.036, 0.025, 0.025, 0.036, 0.026, 0.025, 0.144, 0.029, 0.025, 0.028]}, {'Element': 'N', 'Oxidation States': [0.008]}, {'Element': 'S', 'Oxidation States': [-0.493, -0.49]}, {'Element': 'Na', 'Oxidation States': [0.967, 0.968]}]"
Na2S2@N_graphene-PC-vdw,Na2S2,PC,-531.7332007811839,13.0,True,True,"[{'Element': 'C', 'Oxidation States': [0.025, 0.026, 0.027, 0.024, 0.026, 0.027, 0.023, 0.025, 0.023, 0.025, 0.026, 0.018, 0.022, 0.025, 0.026, 0.025, 0.027, 0.021, 0.026, 0.02, 0.025, 0.028, 0.017, 0.024, 0.023, 0.023, 0.021, 0.022, 0.028, 0.026, 0.021, 0.026, 0.026, 0.021, 0.027, 0.025, 0.025, 0.026, 0.024, 0.029, 0.025, 0.026, 0.027, 0.023, 0.025, 0.144, 0.026, 0.026, 0.138, 0.025, 0.027, 0.025, 0.025, 0.026, 0.029, 0.025, 0.026, 0.034, 0.027, 0.028, 0.025, 0.036, 0.025, 0.025, 0.036, 0.026, 0.025, 0.144, 0.029, 0.025, 0.028]}, {'Element': 'N', 'Oxidation States': [0.008]}, {'Element': 'S', 'Oxidation States': [-0.493, -0.49]}, {'Element': 'Na', 'Oxidation States': [0.967, 0.968]}]"
Na2S2@N_graphene-PC-vdw,Na2S2,PC,-531.7334469640884,14.0,True,True,"[{'Element': 'C', 'Oxidation States': [0.025, 0.026, 0.027, 0.024, 0.026, 0.027, 0.023, 0.025, 0.023, 0.025, 0.026, 0.018, 0.022, 0.025, 0.026, 0.025, 0.027, 0.021, 0.026, 0.02, 0.025, 0.028, 0.017, 0.024, 0.023, 0.023, 0.021, 0.022, 0.028, 0.026, 0.021, 0.026, 0.026, 0.021, 0.027, 0.025, 0.025, 0.026, 0.024, 0.029, 0.025, 0.026, 0.027, 0.023, 0.025, 0.144, 0.026, 0.026, 0.138, 0.025, 0.027, 0.025, 0.025, 0.026, 0.029, 0.025, 0.026, 0.034, 0.027, 0.028, 0.025, 0.036, 0.025, 0.025, 0.036, 0.026, 0.025, 0.144, 0.029, 0.025, 0.028]}, {'Element': 'N', 'Oxidation States': [0.008]}, {'Element': 'S', 'Oxidation States': [-0.493, -0.49]}, {'Element': 'Na', 'Oxidation States': [0.967, 0.968]}]"
Na2S2@N_graphene-PC-vdw,Na2S2,PC,-531.7335271067104,15.0,True,True,"[{'Element': 'C', 'Oxidation States': [0.025, 0.026, 0.027, 0.024, 0.026, 0.027, 0.023, 0.025, 0.023, 0.025, 0.026, 0.018, 0.022, 0.025, 0.026, 0.025, 0.027, 0.021, 0.026, 0.02, 0.025, 0.028, 0.017, 0.024, 0.023, 0.023, 0.021, 0.022, 0.028, 0.026, 0.021, 0.026, 0.026, 0.021, 0.027, 0.025, 0.025, 0.026, 0.024, 0.029, 0.025, 0.026, 0.027, 0.023, 0.025, 0.144, 0.026, 0.026, 0.138, 0.025, 0.027, 0.025, 0.025, 0.026, 0.029, 0.025, 0.026, 0.034, 0.027, 0.028, 0.025, 0.036, 0.025, 0.025, 0.036, 0.026, 0.025, 0.144, 0.029, 0.025, 0.028]}, {'Element': 'N', 'Oxidation States': [0.008]}, {'Element': 'S', 'Oxidation States': [-0.493, -0.49]}, {'Element': 'Na', 'Oxidation States': [0.967, 0.968]}]"
Na2S2@N_graphene-PC-vdw,Na2S2,PC,-531.7335488608741,16.0,True,True,"[{'Element': 'C', 'Oxidation States': [0.025, 0.026, 0.027, 0.024, 0.026, 0.027, 0.023, 0.025, 0.023, 0.025, 0.026, 0.018, 0.022, 0.025, 0.026, 0.025, 0.027, 0.021, 0.026, 0.02, 0.025, 0.028, 0.017, 0.024, 0.023, 0.023, 0.021, 0.022, 0.028, 0.026, 0.021, 0.026, 0.026, 0.021, 0.027, 0.025, 0.025, 0.026, 0.024, 0.029, 0.025, 0.026, 0.027, 0.023, 0.025, 0.144, 0.026, 0.026, 0.138, 0.025, 0.027, 0.025, 0.025, 0.026, 0.029, 0.025, 0.026, 0.034, 0.027, 0.028, 0.025, 0.036, 0.025, 0.025, 0.036, 0.026, 0.025, 0.144, 0.029, 0.025, 0.028]}, {'Element': 'N', 'Oxidation States': [0.008]}, {'Element': 'S', 'Oxidation States': [-0.493, -0.49]}, {'Element': 'Na', 'Oxidation States': [0.967, 0.968]}]"
Na2S2@N_graphene-PC-vdw,Na2S2,PC,-531.7331298079241,12.0,True,True,"[{'Element': 'C', 'Oxidation States': [0.025, 0.026, 0.027, 0.024, 0.026, 0.027, 0.023, 0.025, 0.023, 0.025, 0.026, 0.018, 0.022, 0.025, 0.026, 0.025, 0.027, 0.021, 0.026, 0.02, 0.025, 0.028, 0.017, 0.024, 0.023, 0.023, 0.021, 0.022, 0.028, 0.026, 0.021, 0.026, 0.026, 0.021, 0.027, 0.025, 0.025, 0.026, 0.024, 0.029, 0.025, 0.026, 0.027, 0.023, 0.025, 0.144, 0.026, 0.026, 0.138, 0.025, 0.027, 0.025, 0.025, 0.026, 0.029, 0.025, 0.026, 0.034, 0.027, 0.028, 0.025, 0.036, 0.025, 0.025, 0.036, 0.026, 0.025, 0.144, 0.029, 0.025, 0.028]}, {'Element': 'N', 'Oxidation States': [0.008]}, {'Element': 'S', 'Oxidation States': [-0.493, -0.49]}, {'Element': 'Na', 'Oxidation States': [0.967, 0.968]}]"
Na2S2@N_graphene-PC-vdw,Na2S2,PC,-531.7335549985047,18.0,True,True,"[{'Element': 'C', 'Oxidation States': [0.025, 0.026, 0.027, 0.024, 0.026, 0.027, 0.023, 0.025, 0.023, 0.025, 0.026, 0.018, 0.022, 0.025, 0.026, 0.025, 0.027, 0.021, 0.026, 0.02, 0.025, 0.028, 0.017, 0.024, 0.023, 0.023, 0.021, 0.022, 0.028, 0.026, 0.021, 0.026, 0.026, 0.021, 0.027, 0.025, 0.025, 0.026, 0.024, 0.029, 0.025, 0.026, 0.027, 0.023, 0.025, 0.144, 0.026, 0.026, 0.138, 0.025, 0.027, 0.025, 0.025, 0.026, 0.029, 0.025, 0.026, 0.034, 0.027, 0.028, 0.025, 0.036, 0.025, 0.025, 0.036, 0.026, 0.025, 0.144, 0.029, 0.025, 0.028]}, {'Element': 'N', 'Oxidation States': [0.008]}, {'Element': 'S', 'Oxidation States': [-0.493, -0.49]}, {'Element': 'Na', 'Oxidation States': [0.967, 0.968]}]"
Na2S2@N_graphene-PC-vdw,Na2S2,PC,-531.7337289793112,32.0,True,True,"[{'Element': 'C', 'Oxidation States': [0.025, 0.026, 0.027, 0.024, 0.026, 0.027, 0.023, 0.025, 0.023, 0.025, 0.026, 0.018, 0.022, 0.025, 0.026, 0.025, 0.027, 0.021, 0.026, 0.02, 0.025, 0.028, 0.017, 0.024, 0.023, 0.023, 0.021, 0.022, 0.028, 0.026, 0.021, 0.026, 0.026, 0.021, 0.027, 0.025, 0.025, 0.026, 0.024, 0.029, 0.025, 0.026, 0.027, 0.023, 0.025, 0.144, 0.026, 0.026, 0.138, 0.025, 0.027, 0.025, 0.025, 0.026, 0.029, 0.025, 0.026, 0.034, 0.027, 0.028, 0.025, 0.036, 0.025, 0.025, 0.036, 0.026, 0.025, 0.144, 0.029, 0.025, 0.028]}, {'Element': 'N', 'Oxidation States': [0.008]}, {'Element': 'S', 'Oxidation States': [-0.493, -0.49]}, {'Element': 'Na', 'Oxidation States': [0.967, 0.968]}]"
Na2S2@N_graphene-PC-vdw,Na2S2,PC,-531.7337284262306,31.0,True,True,"[{'Element': 'C', 'Oxidation States': [0.025, 0.026, 0.027, 0.024, 0.026, 0.027, 0.023, 0.025, 0.023, 0.025, 0.026, 0.018, 0.022, 0.025, 0.026, 0.025, 0.027, 0.021, 0.026, 0.02, 0.025, 0.028, 0.017, 0.024, 0.023, 0.023, 0.021, 0.022, 0.028, 0.026, 0.021, 0.026, 0.026, 0.021, 0.027, 0.025, 0.025, 0.026, 0.024, 0.029, 0.025, 0.026, 0.027, 0.023, 0.025, 0.144, 0.026, 0.026, 0.138, 0.025, 0.027, 0.025, 0.025, 0.026, 0.029, 0.025, 0.026, 0.034, 0.027, 0.028, 0.025, 0.036, 0.025, 0.025, 0.036, 0.026, 0.025, 0.144, 0.029, 0.025, 0.028]}, {'Element': 'N', 'Oxidation States': [0.008]}, {'Element': 'S', 'Oxidation States': [-0.493, -0.49]}, {'Element': 'Na', 'Oxidation States': [0.967, 0.968]}]"
Na2S2@N_graphene-PC-vdw,Na2S2,PC,-531.7337280839653,30.0,True,True,"[{'Element': 'C', 'Oxidation States': [0.025, 0.026, 0.027, 0.024, 0.026, 0.027, 0.023, 0.025, 0.023, 0.025, 0.026, 0.018, 0.022, 0.025, 0.026, 0.025, 0.027, 0.021, 0.026, 0.02, 0.025, 0.028, 0.017, 0.024, 0.023, 0.023, 0.021, 0.022, 0.028, 0.026, 0.021, 0.026, 0.026, 0.021, 0.027, 0.025, 0.025, 0.026, 0.024, 0.029, 0.025, 0.026, 0.027, 0.023, 0.025, 0.144, 0.026, 0.026, 0.138, 0.025, 0.027, 0.025, 0.025, 0.026, 0.029, 0.025, 0.026, 0.034, 0.027, 0.028, 0.025, 0.036, 0.025, 0.025, 0.036, 0.026, 0.025, 0.144, 0.029, 0.025, 0.028]}, {'Element': 'N', 'Oxidation States': [0.008]}, {'Element': 'S', 'Oxidation States': [-0.493, -0.49]}, {'Element': 'Na', 'Oxidation States': [0.967, 0.968]}]"
Na2S2@N_graphene-PC-vdw,Na2S2,PC,-531.7335533629447,17.0,True,True,"[{'Element': 'C', 'Oxidation States': [0.025, 0.026, 0.027, 0.024, 0.026, 0.027, 0.023, 0.025, 0.023, 0.025, 0.026, 0.018, 0.022, 0.025, 0.026, 0.025, 0.027, 0.021, 0.026, 0.02, 0.025, 0.028, 0.017, 0.024, 0.023, 0.023, 0.021, 0.022, 0.028, 0.026, 0.021, 0.026, 0.026, 0.021, 0.027, 0.025, 0.025, 0.026, 0.024, 0.029, 0.025, 0.026, 0.027, 0.023, 0.025, 0.144, 0.026, 0.026, 0.138, 0.025, 0.027, 0.025, 0.025, 0.026, 0.029, 0.025, 0.026, 0.034, 0.027, 0.028, 0.025, 0.036, 0.025, 0.025, 0.036, 0.026, 0.025, 0.144, 0.029, 0.025, 0.028]}, {'Element': 'N', 'Oxidation States': [0.008]}, {'Element': 'S', 'Oxidation States': [-0.493, -0.49]}, {'Element': 'Na', 'Oxidation States': [0.967, 0.968]}]"
Na2S2@N_graphene-PC-vdw,Na2S2,PC,-531.7336388632999,28.0,True,True,"[{'Element': 'C', 'Oxidation States': [0.025, 0.026, 0.027, 0.024, 0.026, 0.027, 0.023, 0.025, 0.023, 0.025, 0.026, 0.018, 0.022, 0.025, 0.026, 0.025, 0.027, 0.021, 0.026, 0.02, 0.025, 0.028, 0.017, 0.024, 0.023, 0.023, 0.021, 0.022, 0.028, 0.026, 0.021, 0.026, 0.026, 0.021, 0.027, 0.025, 0.025, 0.026, 0.024, 0.029, 0.025, 0.026, 0.027, 0.023, 0.025, 0.144, 0.026, 0.026, 0.138, 0.025, 0.027, 0.025, 0.025, 0.026, 0.029, 0.025, 0.026, 0.034, 0.027, 0.028, 0.025, 0.036, 0.025, 0.025, 0.036, 0.026, 0.025, 0.144, 0.029, 0.025, 0.028]}, {'Element': 'N', 'Oxidation States': [0.008]}, {'Element': 'S', 'Oxidation States': [-0.493, -0.49]}, {'Element': 'Na', 'Oxidation States': [0.967, 0.968]}]"
Na2S2@N_graphene-PC-vdw,Na2S2,PC,-531.733630898202,27.0,True,True,"[{'Element': 'C', 'Oxidation States': [0.025, 0.026, 0.027, 0.024, 0.026, 0.027, 0.023, 0.025, 0.023, 0.025, 0.026, 0.018, 0.022, 0.025, 0.026, 0.025, 0.027, 0.021, 0.026, 0.02, 0.025, 0.028, 0.017, 0.024, 0.023, 0.023, 0.021, 0.022, 0.028, 0.026, 0.021, 0.026, 0.026, 0.021, 0.027, 0.025, 0.025, 0.026, 0.024, 0.029, 0.025, 0.026, 0.027, 0.023, 0.025, 0.144, 0.026, 0.026, 0.138, 0.025, 0.027, 0.025, 0.025, 0.026, 0.029, 0.025, 0.026, 0.034, 0.027, 0.028, 0.025, 0.036, 0.025, 0.025, 0.036, 0.026, 0.025, 0.144, 0.029, 0.025, 0.028]}, {'Element': 'N', 'Oxidation States': [0.008]}, {'Element': 'S', 'Oxidation States': [-0.493, -0.49]}, {'Element': 'Na', 'Oxidation States': [0.967, 0.968]}]"
