name,NaPS,sorbent,solvent,energy,iteration,electronic_scf,vdw,oxidation_states
FeN4,,FeN4,Vacuum,-541.1846004408848,0.0,True,False,"{'C': [0.046, 0.037, 0.042, 0.038, 0.041, 0.03, 0.04, 0.037, 0.155, 0.042, 0.04, 0.04, 0.046, 0.042, 0.014, 0.051, 0.044, 0.03, 0.135, 0.042, 0.038, 0.038, 0.035, 0.047, 0.052, 0.035, 0.038, 0.041, 0.155, 0.042, 0.04, 0.135, 0.051, 0.042, 0.046, 0.041, 0.052, 0.03, 0.04, 0.038, 0.155, 0.047, 0.042, 0.042, 0.042, 0.041, 0.051, 0.04, 0.037, 0.155, 0.035, 0.04, 0.051, 0.135, 0.038, 0.038, 0.04, 0.014, 0.037, 0.044, 0.135, 0.042, 0.046, 0.035, 0.038, 0.03], 'N': [-0.132, -0.132, -0.132, -0.132], 'Fe': [0.148]}"
FeN4-PC,,FeN4,PC,-541.1854983818989,0.0,True,False,"{'C': [0.047, 0.037, 0.042, 0.038, 0.041, 0.032, 0.04, 0.037, 0.157, 0.041, 0.039, 0.04, 0.047, 0.041, 0.014, 0.053, 0.044, 0.032, 0.136, 0.041, 0.037, 0.038, 0.037, 0.047, 0.053, 0.037, 0.037, 0.041, 0.156, 0.042, 0.039, 0.136, 0.053, 0.042, 0.047, 0.041, 0.053, 0.032, 0.039, 0.038, 0.157, 0.047, 0.042, 0.041, 0.041, 0.041, 0.053, 0.04, 0.037, 0.157, 0.037, 0.039, 0.053, 0.136, 0.037, 0.037, 0.04, 0.014, 0.037, 0.044, 0.136, 0.041, 0.047, 0.037, 0.038, 0.032], 'N': [-0.137, -0.137, -0.137, -0.137], 'Fe': [0.132]}"
FeN4-PC-elecmin,,FeN4,PC,-541.1854982040767,0.0,False,False,"{'C': [0.047, 0.037, 0.042, 0.038, 0.041, 0.032, 0.04, 0.037, 0.156, 0.041, 0.039, 0.04, 0.047, 0.041, 0.014, 0.053, 0.044, 0.032, 0.136, 0.041, 0.037, 0.038, 0.037, 0.047, 0.053, 0.037, 0.037, 0.041, 0.156, 0.042, 0.039, 0.136, 0.053, 0.042, 0.047, 0.041, 0.053, 0.032, 0.039, 0.038, 0.157, 0.047, 0.042, 0.041, 0.041, 0.041, 0.053, 0.04, 0.037, 0.157, 0.037, 0.039, 0.053, 0.136, 0.037, 0.037, 0.04, 0.014, 0.037, 0.044, 0.136, 0.041, 0.047, 0.037, 0.038, 0.032], 'N': [-0.137, -0.137, -0.136, -0.136], 'Fe': [0.131]}"
FeN4-PC-vdw,,FeN4_vdw,PC,-541.2787812021857,0.0,True,True,"{'C': [0.047, 0.037, 0.042, 0.038, 0.041, 0.032, 0.04, 0.037, 0.157, 0.041, 0.039, 0.04, 0.047, 0.041, 0.014, 0.053, 0.044, 0.032, 0.136, 0.041, 0.037, 0.038, 0.037, 0.047, 0.053, 0.037, 0.037, 0.041, 0.156, 0.042, 0.039, 0.136, 0.053, 0.042, 0.047, 0.041, 0.053, 0.032, 0.039, 0.038, 0.157, 0.047, 0.042, 0.041, 0.041, 0.041, 0.053, 0.04, 0.037, 0.157, 0.037, 0.039, 0.053, 0.136, 0.037, 0.037, 0.04, 0.014, 0.037, 0.044, 0.136, 0.041, 0.047, 0.037, 0.038, 0.032], 'N': [-0.137, -0.137, -0.137, -0.137], 'Fe': [0.132]}"
FeN4-PC-vdw-elecmin,,FeN4_vdw,PC,-541.2787811223917,0.0,False,True,"{'C': [0.047, 0.037, 0.042, 0.038, 0.041, 0.032, 0.04, 0.037, 0.156, 0.041, 0.039, 0.04, 0.047, 0.041, 0.014, 0.053, 0.044, 0.032, 0.136, 0.041, 0.037, 0.038, 0.037, 0.047, 0.053, 0.037, 0.037, 0.041, 0.156, 0.042, 0.039, 0.136, 0.053, 0.042, 0.047, 0.041, 0.053, 0.032, 0.039, 0.038, 0.157, 0.047, 0.042, 0.041, 0.041, 0.041, 0.053, 0.04, 0.037, 0.157, 0.037, 0.039, 0.053, 0.136, 0.037, 0.037, 0.04, 0.014, 0.037, 0.044, 0.136, 0.041, 0.047, 0.037, 0.038, 0.032], 'N': [-0.137, -0.137, -0.136, -0.136], 'Fe': [0.131]}"
FeN4-elecmin,,FeN4,Vacuum,-541.1846004411713,0.0,False,False,"{'C': [0.046, 0.037, 0.042, 0.038, 0.041, 0.03, 0.04, 0.037, 0.155, 0.042, 0.04, 0.04, 0.046, 0.042, 0.014, 0.051, 0.044, 0.03, 0.135, 0.042, 0.038, 0.038, 0.035, 0.047, 0.052, 0.035, 0.038, 0.041, 0.155, 0.041, 0.04, 0.135, 0.051, 0.042, 0.046, 0.041, 0.052, 0.03, 0.04, 0.038, 0.155, 0.047, 0.042, 0.042, 0.042, 0.041, 0.051, 0.04, 0.037, 0.155, 0.035, 0.04, 0.051, 0.135, 0.038, 0.038, 0.04, 0.014, 0.037, 0.044, 0.135, 0.042, 0.046, 0.035, 0.038, 0.03], 'N': [-0.132, -0.132, -0.132, -0.132], 'Fe': [0.148]}"
FeN4-glyme,,FeN4,Glyme,-541.1972845978052,0.0,True,False,"{'C': [0.046, 0.038, 0.042, 0.038, 0.042, 0.03, 0.04, 0.038, 0.155, 0.042, 0.04, 0.04, 0.046, 0.042, 0.014, 0.051, 0.044, 0.03, 0.135, 0.042, 0.038, 0.038, 0.036, 0.047, 0.053, 0.036, 0.038, 0.042, 0.155, 0.042, 0.04, 0.135, 0.051, 0.042, 0.046, 0.042, 0.053, 0.03, 0.04, 0.039, 0.155, 0.047, 0.042, 0.042, 0.042, 0.042, 0.051, 0.04, 0.038, 0.155, 0.036, 0.04, 0.051, 0.135, 0.038, 0.038, 0.04, 0.014, 0.038, 0.044, 0.135, 0.042, 0.047, 0.036, 0.039, 0.03], 'N': [-0.133, -0.133, -0.132, -0.132], 'Fe': [0.143]}"
FeN4-glyme-elecmin,,FeN4,Glyme,-541.1999840352237,0.0,False,False,"{'C': [0.046, 0.038, 0.042, 0.038, 0.042, 0.03, 0.04, 0.038, 0.155, 0.042, 0.04, 0.04, 0.046, 0.042, 0.014, 0.051, 0.044, 0.03, 0.135, 0.042, 0.038, 0.038, 0.036, 0.047, 0.053, 0.036, 0.038, 0.042, 0.155, 0.042, 0.04, 0.135, 0.051, 0.042, 0.046, 0.042, 0.053, 0.03, 0.04, 0.038, 0.155, 0.047, 0.042, 0.042, 0.042, 0.042, 0.051, 0.04, 0.038, 0.155, 0.036, 0.04, 0.051, 0.135, 0.038, 0.038, 0.04, 0.014, 0.038, 0.044, 0.135, 0.042, 0.047, 0.036, 0.039, 0.03], 'N': [-0.132, -0.132, -0.132, -0.132], 'Fe': [0.14]}"
FeN4-glyme-vdw,,FeN4_vdw,Glyme,-541.2937423307626,0.0,True,True,"{'C': [0.046, 0.038, 0.042, 0.038, 0.042, 0.03, 0.04, 0.038, 0.155, 0.042, 0.04, 0.04, 0.046, 0.042, 0.014, 0.051, 0.044, 0.03, 0.135, 0.042, 0.038, 0.038, 0.036, 0.047, 0.053, 0.036, 0.038, 0.042, 0.155, 0.042, 0.04, 0.135, 0.051, 0.042, 0.046, 0.042, 0.053, 0.03, 0.04, 0.038, 0.155, 0.047, 0.042, 0.042, 0.042, 0.042, 0.051, 0.04, 0.038, 0.155, 0.036, 0.04, 0.051, 0.135, 0.038, 0.038, 0.04, 0.014, 0.038, 0.044, 0.135, 0.042, 0.046, 0.036, 0.038, 0.03], 'N': [-0.133, -0.133, -0.132, -0.132], 'Fe': [0.144]}"
FeN4-glyme-vdw-elecmin,,FeN4_vdw,Glyme,-541.2932633839307,0.0,False,True,"{'C': [0.046, 0.038, 0.042, 0.038, 0.042, 0.03, 0.04, 0.038, 0.155, 0.042, 0.04, 0.04, 0.046, 0.042, 0.014, 0.051, 0.044, 0.03, 0.135, 0.042, 0.038, 0.038, 0.036, 0.047, 0.053, 0.036, 0.038, 0.042, 0.155, 0.042, 0.04, 0.135, 0.051, 0.042, 0.046, 0.042, 0.053, 0.03, 0.04, 0.038, 0.155, 0.047, 0.042, 0.042, 0.042, 0.042, 0.051, 0.04, 0.038, 0.155, 0.036, 0.04, 0.051, 0.135, 0.038, 0.038, 0.04, 0.014, 0.038, 0.044, 0.135, 0.042, 0.046, 0.036, 0.038, 0.03], 'N': [-0.132, -0.132, -0.132, -0.132], 'Fe': [0.14]}"
FeN4-vdw,,FeN4_vdw,Vacuum,-541.2778772675679,0.0,True,True,"{'C': [0.046, 0.037, 0.042, 0.038, 0.041, 0.03, 0.04, 0.037, 0.155, 0.042, 0.04, 0.04, 0.046, 0.042, 0.014, 0.051, 0.044, 0.03, 0.135, 0.042, 0.038, 0.038, 0.035, 0.047, 0.052, 0.035, 0.038, 0.041, 0.155, 0.042, 0.04, 0.135, 0.051, 0.042, 0.046, 0.041, 0.052, 0.03, 0.04, 0.038, 0.155, 0.047, 0.042, 0.042, 0.042, 0.041, 0.051, 0.04, 0.037, 0.155, 0.035, 0.04, 0.051, 0.135, 0.038, 0.038, 0.04, 0.014, 0.037, 0.044, 0.135, 0.042, 0.046, 0.035, 0.038, 0.03], 'N': [-0.132, -0.132, -0.132, -0.132], 'Fe': [0.148]}"
