name,Atoms,Count,Mean /°,Median /°,Sam. std. dev.,Pop. std. dev.,Std. error,Skewness
Na2S-PC-vdw,Na–S–Na,1,66.99,66.99,nan,0.00,nan,nan
Na2S-PC-vdw,S–Na–Na,2,56.51,56.51,0.03,0.02,0.02,nan
Na2S-glyme-vdw,Na–S–Na,1,113.66,113.66,nan,0.00,nan,nan
Na2S-glyme-vdw,S–Na–Na,2,33.17,33.17,0.01,0.00,0.00,nan
Na2S-vdw,Na–S–Na,1,115.36,115.36,nan,0.00,nan,nan
Na2S-vdw,S–Na–Na,2,32.32,32.32,0.00,0.00,0.00,nan
Na2S2-PC-vdw,S–S–Na,4,73.36,73.36,0.06,0.05,0.03,-0.01
Na2S2-PC-vdw,Na–S–Na,2,110.98,110.98,0.06,0.04,0.04,nan
Na2S2-PC-vdw,S–Na–S,2,33.28,33.28,0.00,0.00,0.00,nan
Na2S2-glyme-vdw,S–S–Na,4,65.78,65.78,0.05,0.04,0.02,-0.00
Na2S2-glyme-vdw,Na–S–Na,2,111.76,111.76,0.08,0.05,0.05,nan
Na2S2-glyme-vdw,S–Na–S,2,48.44,48.44,0.00,0.00,0.00,nan
Na2S2-glyme-vdw,S–Na–Na,4,34.12,34.12,0.03,0.03,0.02,-0.00
Na2S2-vdw,S–Na–Na,4,34.04,34.04,0.00,0.00,0.00,0.52
Na2S2-vdw,S–Na–S,2,51.25,51.25,0.00,0.00,0.00,nan
Na2S2-vdw,Na–S–Na,2,111.91,111.91,0.00,0.00,0.00,nan
Na2S2-vdw,S–S–Na,4,64.38,64.38,0.01,0.01,0.01,0.08
Na2S4-PC-vdw,S–S–Na,8,84.85,85.69,11.96,11.19,4.23,-0.17
Na2S4-PC-vdw,Na–S–Na,2,76.51,76.51,0.06,0.04,0.04,nan
Na2S4-PC-vdw,S–S–S,2,113.36,113.36,0.47,0.33,0.33,nan
Na2S4-PC-vdw,S–Na–S,6,53.20,54.26,18.73,17.09,7.64,-0.13
Na2S4-PC-vdw,S–Na–Na,6,55.63,51.98,6.03,5.50,2.46,0.97
Na2S4-glyme-vdw,S–S–Na,16,67.13,67.27,14.88,14.41,3.72,0.56
Na2S4-glyme-vdw,Na–S–Na,4,78.64,78.56,7.08,6.13,3.54,0.00
Na2S4-glyme-vdw,S–S–S,5,75.74,89.81,37.43,33.48,16.74,-0.43
Na2S4-glyme-vdw,S–Na–S,12,56.60,52.98,20.67,19.79,5.97,0.44
Na2S4-glyme-vdw,S–Na–Na,8,50.68,47.59,6.63,6.20,2.34,1.40
Na2S4-vdw,S–Na–Na,8,51.55,48.76,6.53,6.11,2.31,1.35
Na2S4-vdw,S–S–S,2,108.95,108.95,0.01,0.01,0.01,nan
Na2S4-vdw,S–Na–S,12,60.16,56.27,21.75,20.82,6.28,0.41
Na2S4-vdw,S–S–Na,12,69.57,67.51,13.72,13.13,3.96,0.26
Na2S4-vdw,Na–S–Na,4,76.90,76.89,6.45,5.58,3.22,0.00
Na2S6-PC-vdw,S–S–S,10,77.75,103.18,39.04,37.03,12.34,-0.44
Na2S6-PC-vdw,S–S–Na,24,81.63,72.08,28.27,27.67,5.77,1.22
Na2S6-PC-vdw,Na–S–Na,4,90.04,90.03,11.04,9.56,5.52,0.00
Na2S6-PC-vdw,S–Na–S,20,53.46,58.62,19.01,18.53,4.25,0.13
Na2S6-PC-vdw,S–Na–Na,10,53.03,46.08,17.73,16.82,5.61,1.43
Na2S6-glyme-vdw,S–S–S,10,76.02,98.36,36.29,34.42,11.47,-0.42
Na2S6-glyme-vdw,S–S–Na,24,78.87,70.04,28.63,28.03,5.84,1.06
Na2S6-glyme-vdw,Na–S–Na,4,94.11,93.94,14.02,12.14,7.01,0.00
Na2S6-glyme-vdw,S–Na–S,20,58.15,63.31,19.83,19.32,4.43,0.25
Na2S6-glyme-vdw,S–Na–Na,10,52.42,44.24,21.02,19.94,6.65,1.39
Na2S6-vdw,S–Na–S,20,63.82,69.50,21.95,21.39,4.91,0.22
Na2S6-vdw,S–Na–Na,10,55.99,45.41,21.83,20.71,6.90,1.49
Na2S6-vdw,S–S–Na,24,76.69,69.83,27.14,26.57,5.54,1.18
Na2S6-vdw,S–S–S,10,76.56,100.45,36.47,34.60,11.53,-0.44
Na2S6-vdw,Na–S–Na,4,87.95,87.95,11.31,9.79,5.65,0.00
Na2S8-PC-vdw,S–Na–S,16,63.96,68.53,20.21,19.57,5.05,-0.42
Na2S8-PC-vdw,S–S–S,6,111.08,110.10,3.67,3.35,1.50,0.40
Na2S8-PC-vdw,S–S–Na,15,92.92,93.44,21.23,20.51,5.48,0.85
Na2S8-PC-vdw,Na–S–Na,1,111.23,111.23,nan,0.00,nan,nan
Na2S8-glyme-vdw,S–S–S,13,89.06,106.02,38.61,37.09,10.71,-0.64
Na2S8-glyme-vdw,S–S–Na,27,79.09,75.03,23.77,23.32,4.57,0.81
Na2S8-glyme-vdw,Na–S–Na,4,82.34,77.90,15.19,13.15,7.59,1.55
Na2S8-glyme-vdw,S–Na–S,30,66.23,59.33,28.48,28.00,5.20,0.46
Na2S8-glyme-vdw,S–Na–Na,12,57.52,56.78,14.69,14.07,4.24,0.16
Na2S8-vdw,Na–S–Na,4,67.47,68.60,9.76,8.45,4.88,-0.35
Na2S8-vdw,S–Na–S,34,77.65,88.96,32.08,31.60,5.50,-0.12
Na2S8-vdw,S–S–S,9,95.13,111.04,34.34,32.38,11.45,-1.60
Na2S8-vdw,S–S–Na,23,77.13,73.09,23.83,23.31,4.97,0.70
Na2S8-vdw,S–Na–Na,12,68.18,61.99,19.07,18.26,5.50,0.86
