name,Atoms,Count,Mean /Å,Median /Å,Sam. std. dev.,Pop. std. dev.,Std. error,Skewness
Na2S-glyme-vdw,S–Na,2,2.5236,2.5236,0.0004,0.0003,0.0003,nan
Na2S-vdw,S–Na,2,2.4472,2.4472,0.0001,0.0000,0.0000,nan
Na2S2-PC-vdw,S–S,1,2.1614,2.1614,nan,0.0000,nan,nan
Na2S2-glyme-vdw,S–S,1,2.1927,2.1927,nan,0.0000,nan,nan
Na2S2-glyme-vdw,S–Na,4,2.6725,2.6726,0.0010,0.0009,0.0005,-0.0116
Na2S2-vdw,S–S,1,2.2224,2.2224,nan,0.0000,nan,nan
Na2S2-vdw,S–Na,4,2.5695,2.5695,0.0002,0.0002,0.0001,0.3410
Na2S4-PC-vdw,S–S,3,2.0874,2.0862,0.0114,0.0093,0.0066,0.4545
Na2S4-glyme-vdw,S–S,3,2.0911,2.0897,0.0029,0.0024,0.0017,1.6332
Na2S4-glyme-vdw,S–Na,6,2.8686,2.8579,0.0289,0.0263,0.0118,0.7914
Na2S4-vdw,S–Na,6,2.7338,2.7335,0.0197,0.0180,0.0081,0.0352
Na2S4-vdw,S–S,3,2.1004,2.0994,0.0018,0.0014,0.0010,1.7320
Na2S6-PC-vdw,S–S,4,1.9985,1.9987,0.0034,0.0030,0.0017,-0.0786
Na2S6-glyme-vdw,S–S,4,2.0079,2.0085,0.0041,0.0036,0.0021,-0.3161
Na2S6-glyme-vdw,S–Na,3,2.8919,2.8849,0.0192,0.0157,0.0111,1.4166
Na2S6-vdw,S–S,4,2.0138,2.0138,0.0213,0.0184,0.0106,0.0000
Na2S6-vdw,S–Na,6,2.7667,2.7739,0.0378,0.0345,0.0154,-0.4134
Na2S8-PC-vdw,S–S,6,2.0602,2.0339,0.1038,0.0947,0.0424,2.1647
Na2S8-glyme-vdw,S–S,5,2.0132,2.0195,0.0355,0.0317,0.0159,-0.0338
Na2S8-glyme-vdw,S–Na,3,2.7857,2.8041,0.0389,0.0317,0.0224,-1.6527
Na2S8-vdw,S–Na,6,2.8071,2.7921,0.1003,0.0915,0.0409,-0.0078
Na2S8-vdw,S–S,7,2.0780,2.0751,0.0212,0.0196,0.0080,0.1081
Na2S8-vdw,Na–Na,1,3.3694,3.3694,nan,0.0000,nan,nan
