name,iteration,solvent,energy,oxidation_states,electronic_scf
Na2S,0.0,Vacuum,-105.61577022784212,"[{'Element': 'S', 'Oxidation States': [-1.173]}, {'Element': 'Na', 'Oxidation States': [0.673, 0.673]}]",False
Na2S-PC,13.0,PC,-105.83061050390783,"[{'Element': 'S', 'Oxidation States': [-1.686]}, {'Element': 'Na', 'Oxidation States': [0.968, 0.969]}]",False
Na2S-glyme,0.0,Glyme,-105.65917250565124,"[{'Element': 'S', 'Oxidation States': [-1.413]}, {'Element': 'Na', 'Oxidation States': [0.818, 0.819]}]",False
Na2S2,0.0,Vacuum,-115.92161553704018,"[{'Element': 'S', 'Oxidation States': [-0.704, -0.704]}, {'Element': 'Na', 'Oxidation States': [0.81, 0.81]}]",False
Na2S2-PC,3.0,PC,-11.714817756954872,"[{'Element': 'S', 'Oxidation States': [-0.77, -0.768]}, {'Element': 'Na', 'Oxidation States': [5.485, 5.314]}]",False
Na2S2-glyme,10.0,Glyme,-115.97306294921134,"[{'Element': 'S', 'Oxidation States': [-0.766, -0.766]}, {'Element': 'Na', 'Oxidation States': [0.87, 0.87]}]",False
Na2S4,0.0,Vacuum,-136.5304732228165,"[{'Element': 'S', 'Oxidation States': [-0.583, 0.005, 0.004, -0.583]}, {'Element': 'Na', 'Oxidation States': [0.765, 0.765]}]",False
Na2S4-PC,33.0,PC,-136.71989509051986,"[{'Element': 'S', 'Oxidation States': [-0.732, -0.043, -0.043, -0.733]}, {'Element': 'Na', 'Oxidation States': [0.963, 0.963]}]",False
Na2S4-glyme,13.0,Glyme,-136.57378967410017,"[{'Element': 'S', 'Oxidation States': [-0.633, -0.018, -0.02, -0.635]}, {'Element': 'Na', 'Oxidation States': [0.839, 0.84]}]",False
Na2S6,0.0,Vacuum,-157.09853754089247,"[{'Element': 'S', 'Oxidation States': [-0.392, 0.392, -0.457, -0.457, 0.392, -0.393]}, {'Element': 'Na', 'Oxidation States': [0.72, 0.721]}]",False
Na2S6-PC,6.0,PC,-157.2692756851122,"[{'Element': 'S', 'Oxidation States': [-0.568, 0.363, -0.409, -0.409, 0.361, -0.57]}, {'Element': 'Na', 'Oxidation States': [0.9, 0.9]}]",False
Na2S6-glyme,27.0,Glyme,-157.14179842826687,"[{'Element': 'S', 'Oxidation States': [-0.478, 0.371, -0.444, -0.443, 0.372, -0.478]}, {'Element': 'Na', 'Oxidation States': [0.815, 0.815]}]",False
Na2S8,0.0,Vacuum,-177.6560185433347,"[{'Element': 'S', 'Oxidation States': [-0.06, -0.015, -0.049, -0.148, 0.27, -0.415, 0.177, -0.522]}, {'Element': 'Na', 'Oxidation States': [0.731, 0.735]}]",False
Na2S8-PC,5.0,PC,-177.84475455081042,"[{'Element': 'S', 'Oxidation States': [-0.131, -0.069, 0.032, -0.065, 0.105, -0.652, 0.168, -0.628]}, {'Element': 'Na', 'Oxidation States': [0.975, 0.97]}]",False
Na2S8-glyme,200.0,Glyme,-177.70660005605515,"[{'Element': 'S', 'Oxidation States': [-0.007, 0.035, -0.009, 0.006, 0.1, -0.577, 0.081, -0.562]}, {'Element': 'Na', 'Oxidation States': [0.823, 0.817]}]",False
