name,Atoms,Count,Mean /°,Median /°,Sam. std. dev.,Pop. std. dev.,Std. error,Skewness
Na2S2@FeN4,N–S–Na,2,107.00,107.00,17.90,12.66,12.66,nan
Na2S2@FeN4,C–C–N,16,120.00,120.00,0.00,0.00,0.00,-1.13
Na2S2@FeN4,C–C–Fe,22,114.55,96.60,44.90,43.87,9.57,0.15
Na2S2@FeN4,N–C–Fe,8,34.76,34.75,12.13,11.34,4.29,0.00
Na2S2@FeN4,N–C–Na,6,74.93,76.48,21.29,19.43,8.69,-0.43
Na2S2@FeN4,Fe–C–Na,8,71.96,71.66,8.75,8.19,3.09,0.89
Na2S2@FeN4,Na–C–Na,1,80.07,80.07,nan,0.00,nan,nan
Na2S2@FeN4,C–N–C,4,120.00,120.00,0.00,0.00,0.00,-1.71
Na2S2@FeN4,C–N–Fe,8,120.00,120.00,20.43,19.11,7.22,0.00
Na2S2@FeN4,C–C–Na,36,92.05,106.33,27.35,26.97,4.56,-0.55
Na2S2@FeN4,C–N–Na,6,90.52,79.60,25.38,23.17,10.36,0.83
Na2S2@FeN4,C–N–S,2,105.84,105.84,12.97,9.17,9.17,nan
Na2S2@FeN4,Fe–N–S,1,55.44,55.44,nan,0.00,nan,nan
Na2S2@FeN4,C–Fe–C,45,100.00,97.35,49.37,48.82,7.36,0.07
Na2S2@FeN4,C–Fe–N,40,90.00,89.97,50.01,49.38,7.91,0.00
Na2S2@FeN4,C–Fe–S,20,90.00,90.00,12.20,11.89,2.73,0.00
Na2S2@FeN4,C–Fe–Na,20,90.00,90.02,33.97,33.11,7.60,-0.00
Na2S2@FeN4,N–Fe–N,6,119.98,98.21,47.02,42.93,19.20,0.86
Na2S2@FeN4,N–Fe–S,8,90.00,90.00,12.61,11.80,4.46,-0.00
Na2S2@FeN4,Fe–N–Na,3,96.53,90.85,12.09,9.87,6.98,1.65
Na2S2@FeN4,C–C–C,126,120.00,120.00,0.00,0.00,0.00,-0.73
