name,Atoms,Count,Mean /Å,Median /Å,Sam. std. dev.,Pop. std. dev.,Std. error,Skewness
Na2S2@FeN4,Fe–S,1,2.3508,2.3508,nan,0.0000,nan,nan
Na2S2@FeN4,S–Na,4,2.6998,2.6807,0.0735,0.0637,0.0368,1.0663
Na2S2@FeN4,S–S,1,2.0963,2.0963,nan,0.0000,nan,nan
Na2S2@FeN4,N–Fe,4,1.8865,1.8865,0.0013,0.0011,0.0006,0.0018
Na2S2@FeN4,C–N,8,1.4261,1.4261,0.0000,0.0000,0.0000,0.0000
Na2S2@FeN4,C–C,78,1.4261,1.4261,0.0000,0.0000,0.0000,0.0000
Na2S2@FeN4-PC,C–C,72,1.4261,1.4261,0.0000,0.0000,0.0000,-2.0857
Na2S2@FeN4-PC,Fe–S,1,2.2540,2.2540,nan,0.0000,nan,nan
Na2S2@FeN4-PC,N–Fe,4,1.8865,1.8865,0.0013,0.0011,0.0006,0.0018
Na2S2@FeN4-PC,C–N,8,1.4261,1.4261,0.0000,0.0000,0.0000,0.0000
Na2S2@FeN4-PC,S–S,1,2.0474,2.0474,nan,0.0000,nan,nan
Na2S4@FeN4,C–N,8,1.4261,1.4261,0.0000,0.0000,0.0000,0.0000
Na2S4@FeN4,S–Na,3,2.7331,2.7115,0.0687,0.0561,0.0397,1.2764
Na2S4@FeN4,S–S,3,2.0908,2.0937,0.0109,0.0089,0.0063,-1.1163
Na2S4@FeN4,Fe–S,1,2.3037,2.3037,nan,0.0000,nan,nan
Na2S4@FeN4,N–Fe,4,1.8865,1.8865,0.0013,0.0011,0.0006,0.0018
Na2S4@FeN4,C–C,78,1.4261,1.4261,0.0000,0.0000,0.0000,0.6434
Na2S4@FeN4-PC,N–Fe,4,1.8865,1.8865,0.0013,0.0011,0.0006,0.0018
Na2S4@FeN4-PC,Fe–S,1,2.2694,2.2694,nan,0.0000,nan,nan
Na2S4@FeN4-PC,C–N,8,1.4261,1.4261,0.0000,0.0000,0.0000,0.0000
Na2S4@FeN4-PC,C–C,78,1.4261,1.4261,0.0000,0.0000,0.0000,0.6434
Na2S4@FeN4-PC,S–S,3,2.0782,2.0800,0.0233,0.0191,0.0135,-0.3470
Na2S6@FeN4,C–N,8,1.4261,1.4261,0.0000,0.0000,0.0000,0.0000
Na2S6@FeN4,S–Na,6,2.8156,2.8145,0.0319,0.0292,0.0130,0.0832
Na2S6@FeN4,S–S,4,1.9989,1.9989,0.0168,0.0145,0.0084,-0.0001
Na2S6@FeN4,Fe–Na,2,3.2550,3.2550,0.0092,0.0065,0.0065,nan
Na2S6@FeN4,C–C,78,1.4261,1.4261,0.0000,0.0000,0.0000,0.6434
Na2S6@FeN4,N–Fe,4,1.8865,1.8865,0.0013,0.0011,0.0006,0.0018
Na2S6@FeN4-PC,C–N,8,1.4261,1.4261,0.0000,0.0000,0.0000,0.0000
Na2S6@FeN4-PC,N–Fe,4,1.8865,1.8865,0.0013,0.0011,0.0006,0.0018
Na2S6@FeN4-PC,S–S,5,2.0709,2.0658,0.0449,0.0402,0.0201,1.7074
Na2S6@FeN4-PC,C–C,78,1.4261,1.4261,0.0000,0.0000,0.0000,0.6434
Na2S6@FeN4-glyme,S–Na,3,2.8809,2.8847,0.0235,0.0192,0.0136,-0.7086
Na2S6@FeN4-glyme,S–S,4,2.0031,2.0039,0.0027,0.0024,0.0014,-1.3852
Na2S6@FeN4-glyme,N–Fe,4,1.8865,1.8865,0.0013,0.0011,0.0006,0.0018
Na2S6@FeN4-glyme,C–N,8,1.4261,1.4261,0.0000,0.0000,0.0000,0.0000
Na2S6@FeN4-glyme,C–C,78,1.4261,1.4261,0.0000,0.0000,0.0000,0.6434
Na2S8@FeN4,Na–Na,1,3.3197,3.3197,nan,0.0000,nan,nan
Na2S8@FeN4,S–Na,5,2.8490,2.8290,0.0509,0.0455,0.0227,0.3225
Na2S8@FeN4,S–S,6,2.0399,2.0203,0.0482,0.0440,0.0197,0.6276
Na2S8@FeN4,Fe–Na,1,3.2541,3.2541,nan,0.0000,nan,nan
Na2S8@FeN4,N–Fe,4,1.8865,1.8865,0.0013,0.0011,0.0006,0.0018
Na2S8@FeN4,C–N,8,1.4261,1.4261,0.0000,0.0000,0.0000,0.0000
Na2S8@FeN4,C–C,78,1.4261,1.4261,0.0000,0.0000,0.0000,0.6434
Na2S8@FeN4-PC,C–N,8,1.4261,1.4261,0.0000,0.0000,0.0000,0.0000
Na2S8@FeN4-PC,N–Fe,4,1.8865,1.8865,0.0013,0.0011,0.0006,0.0018
Na2S8@FeN4-PC,S–S,6,2.0430,2.0219,0.0456,0.0416,0.0186,0.8639
Na2S8@FeN4-PC,C–C,78,1.4261,1.4261,0.0000,0.0000,0.0000,0.6434
Na2S8@FeN4-glyme,S–Na,4,2.8506,2.8520,0.0767,0.0665,0.0384,-0.0225
Na2S8@FeN4-glyme,S–S,7,2.0749,2.0531,0.0459,0.0425,0.0173,1.5172
Na2S8@FeN4-glyme,Fe–Na,1,3.0347,3.0347,nan,0.0000,nan,nan
Na2S8@FeN4-glyme,N–Fe,4,1.8865,1.8865,0.0013,0.0011,0.0006,0.0018
Na2S8@FeN4-glyme,C–N,8,1.4261,1.4261,0.0000,0.0000,0.0000,0.0000
Na2S8@FeN4-glyme,C–C,78,1.4261,1.4261,0.0000,0.0000,0.0000,0.6434
Na2S@FeN4,N–Fe,4,1.8865,1.8865,0.0013,0.0011,0.0006,0.0018
Na2S@FeN4,C–N,8,1.4261,1.4261,0.0000,0.0000,0.0000,0.0000
Na2S@FeN4,C–C,72,1.4261,1.4261,0.0000,0.0000,0.0000,-2.0857
Na2S@FeN4,S–Na,2,2.5574,2.5574,0.0172,0.0121,0.0121,nan
Na2S@FeN4,Fe–Na,1,2.9396,2.9396,nan,0.0000,nan,nan
Na2S@FeN4-PC,C–C,72,1.4261,1.4261,0.0000,0.0000,0.0000,-2.0857
Na2S@FeN4-PC,C–N,8,1.4261,1.4261,0.0000,0.0000,0.0000,0.0000
Na2S@FeN4-PC,N–Fe,4,1.8865,1.8865,0.0013,0.0011,0.0006,0.0018
Na2S@FeN4-PC,Fe–Na,1,3.1466,3.1466,nan,0.0000,nan,nan
Na2S@FeN4-glyme,S–Na,2,2.5640,2.5640,0.0131,0.0093,0.0093,nan
Na2S@FeN4-glyme,N–Fe,4,1.8865,1.8865,0.0013,0.0011,0.0006,0.0018
Na2S@FeN4-glyme,C–C,72,1.4261,1.4261,0.0000,0.0000,0.0000,-2.0857
Na2S@FeN4-glyme,Fe–Na,1,2.9399,2.9399,nan,0.0000,nan,nan
Na2S@FeN4-glyme,C–N,8,1.4261,1.4261,0.0000,0.0000,0.0000,0.0000
