name,Atoms,Count,Mean /°,Median /°,Sam. std. dev.,Pop. std. dev.,Std. error,Skewness
Na2S2@N_graphene-PC-vdw,C–C–C,161,120.00,120.00,0.00,0.00,0.00,0.26
Na2S2@N_graphene-PC-vdw,C–C–N,6,120.00,120.00,0.00,0.00,0.00,-0.08
Na2S2@N_graphene-PC-vdw,C–N–C,3,120.00,120.00,0.00,0.00,0.00,1.01
Na2S2@N_graphene-glyme-vdw,C–C–C,161,120.00,120.00,0.00,0.00,0.00,0.26
Na2S2@N_graphene-glyme-vdw,C–C–N,6,120.00,120.00,0.00,0.00,0.00,-0.08
Na2S2@N_graphene-glyme-vdw,C–N–C,3,120.00,120.00,0.00,0.00,0.00,1.01
Na2S2@N_graphene-glyme-vdw,S–S–Na,4,68.21,68.22,0.34,0.30,0.17,-0.16
Na2S2@N_graphene-glyme-vdw,Na–S–Na,2,136.41,136.41,0.28,0.19,0.19,nan
Na2S2@N_graphene-glyme-vdw,S–Na–S,2,43.59,43.59,0.04,0.03,0.03,nan
Na2S2@N_graphene-vdw,S–Na–S,2,45.61,45.61,0.16,0.11,0.11,nan
Na2S2@N_graphene-vdw,Na–S–Na,2,114.09,114.09,0.43,0.30,0.30,nan
Na2S2@N_graphene-vdw,S–S–Na,4,67.20,67.25,0.30,0.26,0.15,-0.73
Na2S2@N_graphene-vdw,C–C–C,161,120.00,120.00,0.00,0.00,0.00,0.26
Na2S2@N_graphene-vdw,C–C–N,6,120.00,120.00,0.00,0.00,0.00,-0.08
Na2S2@N_graphene-vdw,C–N–C,3,120.00,120.00,0.00,0.00,0.00,1.01
Na2S4@N_graphene-PC-vdw,C–C–C,161,120.00,120.00,0.00,0.00,0.00,0.26
Na2S4@N_graphene-PC-vdw,S–S–S,2,112.35,112.35,0.18,0.13,0.13,nan
Na2S4@N_graphene-PC-vdw,C–N–C,3,120.00,120.00,0.00,0.00,0.00,1.01
Na2S4@N_graphene-PC-vdw,C–C–N,6,120.00,120.00,0.00,0.00,0.00,-0.08
Na2S4@N_graphene-glyme-vdw,S–Na–S,2,73.86,73.86,0.04,0.03,0.03,nan
Na2S4@N_graphene-glyme-vdw,C–N–C,3,120.00,120.00,0.00,0.00,0.00,1.01
Na2S4@N_graphene-glyme-vdw,S–S–Na,4,87.26,87.26,0.95,0.82,0.47,-0.01
Na2S4@N_graphene-glyme-vdw,C–C–N,6,120.00,120.00,0.00,0.00,0.00,-0.08
Na2S4@N_graphene-glyme-vdw,C–C–C,161,120.00,120.00,0.00,0.00,0.00,0.26
Na2S4@N_graphene-glyme-vdw,Na–S–Na,2,104.09,104.09,0.37,0.26,0.26,nan
Na2S4@N_graphene-vdw,C–C–C,161,120.00,120.00,0.00,0.00,0.00,0.26
Na2S4@N_graphene-vdw,C–C–N,6,120.00,120.00,0.00,0.00,0.00,-0.08
Na2S4@N_graphene-vdw,C–N–C,3,120.00,120.00,0.00,0.00,0.00,1.01
Na2S4@N_graphene-vdw,S–S–Na,6,79.72,79.45,10.70,9.77,4.37,-0.14
Na2S4@N_graphene-vdw,Na–S–Na,2,85.02,85.02,0.62,0.44,0.44,nan
Na2S4@N_graphene-vdw,S–S–S,2,109.23,109.23,0.12,0.08,0.08,nan
Na2S4@N_graphene-vdw,S–Na–S,4,73.47,81.36,21.91,18.97,10.95,-1.45
Na2S6@N_graphene-PC-vdw,C–N–C,3,120.00,119.97,0.05,0.04,0.03,1.72
Na2S6@N_graphene-PC-vdw,S–S–S,2,114.04,114.04,0.03,0.02,0.02,nan
Na2S6@N_graphene-PC-vdw,C–C–C,161,120.01,120.01,0.06,0.06,0.00,-0.04
Na2S6@N_graphene-PC-vdw,C–C–N,6,119.95,119.95,0.04,0.04,0.02,0.02
Na2S6@N_graphene-glyme-vdw,S–S–S,2,111.71,111.71,0.08,0.05,0.05,nan
Na2S6@N_graphene-glyme-vdw,C–C–C,161,120.01,120.01,0.06,0.06,0.00,-0.04
Na2S6@N_graphene-glyme-vdw,C–C–N,6,119.95,119.95,0.04,0.04,0.02,0.02
Na2S6@N_graphene-glyme-vdw,S–S–Na,3,86.56,81.02,10.61,8.66,6.12,1.71
Na2S6@N_graphene-glyme-vdw,C–N–C,3,120.00,119.97,0.05,0.04,0.03,1.72
Na2S6@N_graphene-glyme-vdw,S–Na–S,3,83.45,75.63,15.86,12.95,9.16,1.68
