name,Atoms,Count,Mean /Å,Median /Å,Sam. std. dev.,Pop. std. dev.,Std. error,Skewness
Na2S2@N_graphene-PC-vdw,C–C,93,1.4261,1.4261,0.0000,0.0000,0.0000,-0.6007
Na2S2@N_graphene-PC-vdw,C–Na,7,3.6738,3.6304,0.1603,0.1484,0.0606,0.3392
Na2S2@N_graphene-PC-vdw,C–N,3,1.4261,1.4261,0.0000,0.0000,0.0000,0.0000
Na2S2@N_graphene-PC-vdw,S–S,1,2.0449,2.0449,nan,0.0000,nan,nan
Na2S2@N_graphene-PC-vdw,S–Na,4,3.8546,3.8514,0.0218,0.0189,0.0109,0.6404
Na2S2@N_graphene-glyme-vdw,C–C,93,1.4261,1.4261,0.0000,0.0000,0.0000,-0.6007
Na2S2@N_graphene-glyme-vdw,C–Na,6,3.6274,3.7061,0.2306,0.2106,0.0942,-0.7147
Na2S2@N_graphene-glyme-vdw,C–N,3,1.4261,1.4261,0.0000,0.0000,0.0000,0.0000
Na2S2@N_graphene-glyme-vdw,S–S,1,2.0733,2.0733,nan,0.0000,nan,nan
Na2S2@N_graphene-glyme-vdw,S–Na,4,2.7922,2.7940,0.0070,0.0061,0.0035,-0.8842
Na2S2@N_graphene-glyme-vdw,Na–Na,1,5.1852,5.1852,nan,0.0000,nan,nan
Na2S2@N_graphene-vdw,Na–Na,1,4.5238,4.5238,nan,0.0000,nan,nan
Na2S2@N_graphene-vdw,S–Na,4,2.6956,2.6974,0.0092,0.0080,0.0046,-1.0485
Na2S2@N_graphene-vdw,S–S,1,2.0896,2.0896,nan,0.0000,nan,nan
Na2S2@N_graphene-vdw,C–C,93,1.4261,1.4261,0.0000,0.0000,0.0000,-0.6007
Na2S2@N_graphene-vdw,C–N,3,1.4261,1.4261,0.0000,0.0000,0.0000,0.0000
Na2S2@N_graphene-vdw,C–Na,18,3.3836,3.3904,0.3501,0.3402,0.0825,-0.2873
Na2S2@N_graphene-vdw,N–Na,1,3.0845,3.0845,nan,0.0000,nan,nan
Na2S4@N_graphene-PC-vdw,C–Na,7,3.6612,3.6617,0.1139,0.1055,0.0431,0.0266
Na2S4@N_graphene-PC-vdw,S–Na,5,3.8808,3.9089,0.1387,0.1241,0.0620,0.1070
Na2S4@N_graphene-PC-vdw,S–S,3,2.0666,2.0454,0.0373,0.0304,0.0215,1.7314
Na2S4@N_graphene-PC-vdw,C–N,3,1.4261,1.4261,0.0000,0.0000,0.0000,0.0000
Na2S4@N_graphene-PC-vdw,C–C,93,1.4261,1.4261,0.0000,0.0000,0.0000,-0.6007
Na2S4@N_graphene-glyme-vdw,C–C,93,1.4261,1.4261,0.0000,0.0000,0.0000,-0.6007
Na2S4@N_graphene-glyme-vdw,S–Na,8,3.1338,3.1237,0.2976,0.2784,0.1052,0.0121
Na2S4@N_graphene-glyme-vdw,S–S,3,2.0962,2.0093,0.1526,0.1246,0.0881,1.7316
Na2S4@N_graphene-glyme-vdw,C–N,3,1.4261,1.4261,0.0000,0.0000,0.0000,0.0000
Na2S4@N_graphene-glyme-vdw,C–Na,11,3.5718,3.5898,0.2108,0.2010,0.0635,-0.0885
Na2S4@N_graphene-glyme-vdw,Na–Na,1,4.5037,4.5037,nan,0.0000,nan,nan
Na2S4@N_graphene-vdw,C–C,93,1.4261,1.4261,0.0000,0.0000,0.0000,-0.6007
Na2S4@N_graphene-vdw,C–Na,19,3.5008,3.6129,0.3308,0.3219,0.0759,-0.4404
Na2S4@N_graphene-vdw,C–N,3,1.4261,1.4261,0.0000,0.0000,0.0000,0.0000
Na2S4@N_graphene-vdw,S–S,3,2.0788,2.0594,0.0344,0.0281,0.0198,1.7309
Na2S4@N_graphene-vdw,S–Na,8,2.9841,2.8459,0.3101,0.2901,0.1096,1.2381
Na2S4@N_graphene-vdw,Na–Na,1,3.7409,3.7409,nan,0.0000,nan,nan
Na2S6@N_graphene-PC-vdw,S–S,6,2.4699,2.0153,0.7051,0.6437,0.2879,0.9682
Na2S6@N_graphene-PC-vdw,S–Na,5,4.1928,4.1728,0.1095,0.0979,0.0490,1.5016
Na2S6@N_graphene-PC-vdw,C–N,3,1.4288,1.4287,0.0003,0.0003,0.0002,1.2943
Na2S6@N_graphene-PC-vdw,C–C,93,1.4260,1.4258,0.0006,0.0006,0.0001,2.5792
Na2S6@N_graphene-glyme-vdw,S–Na,10,3.1602,3.0080,0.4026,0.3820,0.1273,1.1074
Na2S6@N_graphene-glyme-vdw,Na–Na,1,4.6278,4.6278,nan,0.0000,nan,nan
Na2S6@N_graphene-glyme-vdw,C–Na,9,3.4099,3.3867,0.3244,0.3059,0.1081,0.0146
Na2S6@N_graphene-glyme-vdw,C–N,3,1.4288,1.4287,0.0003,0.0003,0.0002,1.2943
Na2S6@N_graphene-glyme-vdw,C–C,93,1.4260,1.4258,0.0006,0.0006,0.0001,2.5792
Na2S6@N_graphene-glyme-vdw,S–S,7,2.4993,2.0095,0.6374,0.5902,0.2409,0.5857
Na2S6@N_graphene-vdw,Na–Na,1,4.2202,4.2202,nan,0.0000,nan,nan
Na2S6@N_graphene-vdw,S–Na,10,3.0604,2.8381,0.3831,0.3635,0.1212,1.2500
Na2S6@N_graphene-vdw,S–S,7,2.5023,2.0185,0.6371,0.5898,0.2408,0.5499
Na2S6@N_graphene-vdw,C–Na,16,3.4747,3.4986,0.2609,0.2526,0.0652,-0.1471
Na2S6@N_graphene-vdw,C–C,93,1.4260,1.4258,0.0006,0.0006,0.0001,2.5792
Na2S6@N_graphene-vdw,C–N,3,1.4288,1.4287,0.0003,0.0003,0.0002,1.2943
Na2S8@N_graphene,Na–Na,1,3.5224,3.5224,nan,0.0000,nan,nan
Na2S8@N_graphene,S–Na,13,3.1430,2.9072,0.3606,0.3465,0.1000,0.4052
Na2S8@N_graphene,S–S,8,2.3846,2.0407,0.6100,0.5706,0.2157,1.3342
Na2S8@N_graphene,C–N,3,1.4288,1.4287,0.0003,0.0003,0.0002,1.2943
Na2S8@N_graphene,C–Na,6,3.5938,3.6306,0.2350,0.2145,0.0959,-0.3260
Na2S8@N_graphene,C–C,93,1.4260,1.4258,0.0006,0.0006,0.0001,2.5792
Na2S8@N_graphene-PC-vdw,Na–Na,1,4.6191,4.6191,nan,0.0000,nan,nan
Na2S8@N_graphene-PC-vdw,S–S,7,2.2352,2.0204,0.5059,0.4683,0.1912,2.6074
Na2S8@N_graphene-PC-vdw,S–Na,11,4.0393,3.9767,0.1646,0.1570,0.0496,1.3068
Na2S8@N_graphene-PC-vdw,C–Na,3,3.7755,3.7385,0.1238,0.1010,0.0714,1.2261
Na2S8@N_graphene-PC-vdw,C–C,93,1.4260,1.4258,0.0006,0.0006,0.0001,2.5792
Na2S8@N_graphene-PC-vdw,C–N,3,1.4288,1.4287,0.0003,0.0003,0.0002,1.2943
Na2S8@N_graphene-glyme-vdw,Na–Na,1,4.0432,4.0432,nan,0.0000,nan,nan
Na2S8@N_graphene-glyme-vdw,S–Na,14,3.3548,3.4109,0.4833,0.4658,0.1292,0.4224
Na2S8@N_graphene-glyme-vdw,S–S,8,2.3795,2.0378,0.6159,0.5761,0.2178,1.3789
Na2S8@N_graphene-glyme-vdw,C–N,3,1.4288,1.4287,0.0003,0.0003,0.0002,1.2943
Na2S8@N_graphene-glyme-vdw,C–Na,5,3.6360,3.5970,0.2122,0.1898,0.0949,-0.0581
Na2S8@N_graphene-glyme-vdw,C–C,93,1.4260,1.4258,0.0006,0.0006,0.0001,2.5792
Na2S@N_graphene-PC-vdw,S–Na,2,3.8315,3.8315,0.0055,0.0039,0.0039,nan
Na2S@N_graphene-PC-vdw,C–N,3,1.4261,1.4261,0.0000,0.0000,0.0000,0.0000
Na2S@N_graphene-PC-vdw,C–Na,8,3.6590,3.7016,0.1448,0.1355,0.0512,-0.7137
Na2S@N_graphene-PC-vdw,C–C,88,1.4261,1.4261,0.0000,0.0000,0.0000,0.8400
Na2S@N_graphene-glyme-vdw,C–N,3,1.4261,1.4261,0.0000,0.0000,0.0000,0.0000
Na2S@N_graphene-glyme-vdw,S–Na,2,2.6070,2.6070,0.0013,0.0009,0.0009,nan
Na2S@N_graphene-glyme-vdw,C–Na,7,3.7165,3.7787,0.1141,0.1056,0.0431,-0.1275
Na2S@N_graphene-glyme-vdw,C–C,88,1.4261,1.4261,0.0000,0.0000,0.0000,0.8400
Na2S@N_graphene-glyme-vdw,Na–Na,1,5.1835,5.1835,nan,0.0000,nan,nan
Na2S@N_graphene-vdw,S–Na,2,2.5322,2.5322,0.0026,0.0019,0.0019,nan
Na2S@N_graphene-vdw,C–C,88,1.4261,1.4261,0.0000,0.0000,0.0000,0.8400
Na2S@N_graphene-vdw,C–Na,15,3.3212,3.3608,0.2865,0.2768,0.0740,-0.0201
Na2S@N_graphene-vdw,C–N,3,1.4261,1.4261,0.0000,0.0000,0.0000,0.0000
Na2S@N_graphene-vdw,N–Na,2,3.7142,3.7142,0.1532,0.1083,0.1083,nan
Na2S@N_graphene-vdw,Na–Na,1,4.6465,4.6465,nan,0.0000,nan,nan
