name,Atoms,Count,Mean /Å,Median /Å,Sam. std. dev.,Pop. std. dev.,Std. error,Skewness
Na2S2@graphene,S–S,1,2.0764,2.0764,nan,0.0000,nan,nan
Na2S2@graphene,Na–Na,1,4.0454,4.0454,nan,0.0000,nan,nan
Na2S2@graphene,S–Na,4,2.7134,2.7138,0.0017,0.0014,0.0008,-1.1222
Na2S2@graphene,C–Na,22,3.3740,3.4343,0.4212,0.4115,0.0898,-0.0979
Na2S2@graphene,C–C,96,1.4262,1.4257,0.0012,0.0012,0.0001,1.9814
Na2S2@graphene-PC,C–C,96,1.4261,1.4261,0.0000,0.0000,0.0000,-0.5834
Na2S2@graphene-PC,S–S,1,2.0428,2.0428,nan,0.0000,nan,nan
Na2S2@graphene-PC,S–Na,4,4.0779,4.0862,0.1595,0.1381,0.0797,-0.0592
Na2S2@graphene-glyme,C–C,96,1.4261,1.4259,0.0008,0.0008,0.0001,2.3442
Na2S2@graphene-glyme,S–Na,4,2.8286,2.8294,0.0063,0.0055,0.0031,-0.5499
Na2S2@graphene-glyme,S–S,1,2.0718,2.0718,nan,0.0000,nan,nan
Na2S2@graphene-glyme,Na–Na,1,5.0389,5.0389,nan,0.0000,nan,nan
Na2S4@graphene,Na–Na,1,3.5563,3.5563,nan,0.0000,nan,nan
Na2S4@graphene,S–Na,8,3.0062,2.8762,0.3335,0.3120,0.1179,1.0768
Na2S4@graphene,S–S,5,2.6020,2.1054,0.7245,0.6481,0.3240,0.6052
Na2S4@graphene,C–Na,17,3.4095,3.4530,0.3057,0.2966,0.0742,-0.4135
Na2S4@graphene,C–C,96,1.4261,1.4258,0.0009,0.0009,0.0001,2.0153
Na2S4@graphene-PC,S–Na,4,4.1398,4.1361,0.2142,0.1855,0.1071,0.0052
Na2S4@graphene-PC,C–C,96,1.4261,1.4261,0.0001,0.0001,0.0000,-0.1794
Na2S4@graphene-PC,S–S,3,2.0655,2.0493,0.0283,0.0231,0.0163,1.7320
Na2S4@graphene-glyme,S–Na,8,3.1132,2.9763,0.3307,0.3094,0.1169,1.1216
Na2S4@graphene-glyme,S–S,5,2.5990,2.1219,0.7233,0.6469,0.3235,0.6003
Na2S4@graphene-glyme,C–C,96,1.4261,1.4261,0.0000,0.0000,0.0000,0.0000
Na2S4@graphene-glyme,Na–Na,1,4.0765,4.0765,nan,0.0000,nan,nan
Na2S6@graphene,C–Na,17,3.5089,3.5228,0.3098,0.3006,0.0751,-0.4076
Na2S6@graphene,Na–Na,1,4.0399,4.0399,nan,0.0000,nan,nan
Na2S6@graphene,S–Na,10,3.0730,2.8289,0.4174,0.3959,0.1320,1.3138
Na2S6@graphene,S–S,7,2.4974,2.0185,0.6356,0.5885,0.2402,0.5803
Na2S6@graphene,C–C,96,1.4261,1.4259,0.0008,0.0008,0.0001,2.3442
Na2S6@graphene-PC,S–Na,4,4.1847,4.2043,0.0583,0.0505,0.0292,-1.5708
Na2S6@graphene-PC,C–C,96,1.4261,1.4259,0.0008,0.0008,0.0001,2.3442
Na2S6@graphene-PC,S–S,5,2.0702,2.0701,0.0424,0.0379,0.0190,1.2954
Na2S6@graphene-glyme,Na–Na,1,4.8512,4.8512,nan,0.0000,nan,nan
Na2S6@graphene-glyme,S–Na,10,3.2055,2.9808,0.4017,0.3811,0.1270,1.1515
Na2S6@graphene-glyme,S–S,8,2.5996,2.4225,0.6580,0.6155,0.2326,0.1764
Na2S6@graphene-glyme,C–C,96,1.4261,1.4259,0.0008,0.0008,0.0001,2.3442
Na2S8@graphene,C–C,96,1.4261,1.4261,0.0000,0.0000,0.0000,0.6339
Na2S8@graphene,Na–Na,1,3.6436,3.6436,nan,0.0000,nan,nan
Na2S8@graphene,S–Na,14,3.2433,3.1492,0.4722,0.4550,0.1262,0.7148
Na2S8@graphene,S–S,9,2.4945,2.0474,0.6643,0.6263,0.2214,0.7788
Na2S8@graphene,C–Na,8,3.3213,3.3121,0.2876,0.2690,0.1017,0.3205
Na2S8@graphene-PC,C–C,96,1.4261,1.4261,0.0000,0.0000,0.0000,0.6339
Na2S8@graphene-PC,S–S,7,2.2316,2.0254,0.5029,0.4656,0.1901,2.6122
Na2S8@graphene-PC,S–Na,2,3.9796,3.9796,0.0579,0.0409,0.0409,nan
Na2S8@graphene-PC,Na–Na,1,5.2869,5.2869,nan,0.0000,nan,nan
Na2S8@graphene-glyme,Na–Na,1,3.8591,3.8591,nan,0.0000,nan,nan
Na2S8@graphene-glyme,S–Na,14,3.3116,3.1351,0.4897,0.4719,0.1309,0.8069
Na2S8@graphene-glyme,S–S,8,2.3808,2.0318,0.6082,0.5690,0.2150,1.3190
Na2S8@graphene-glyme,C–Na,8,3.5566,3.6336,0.2616,0.2447,0.0925,-0.5208
Na2S8@graphene-glyme,C–C,96,1.4261,1.4261,0.0000,0.0000,0.0000,0.6339
Na2S@graphene,C–Na,20,3.3732,3.4397,0.3609,0.3518,0.0807,-0.3525
Na2S@graphene,C–C,96,1.4261,1.4257,0.0011,0.0010,0.0001,2.3046
Na2S@graphene,S–Na,2,2.5466,2.5466,0.0013,0.0009,0.0009,nan
Na2S@graphene,Na–Na,1,4.0776,4.0776,nan,0.0000,nan,nan
Na2S@graphene-PC,C–C,96,1.4260,1.4262,0.0010,0.0010,0.0001,-0.0930
Na2S@graphene-PC,C–Na,12,3.5972,3.5768,0.1768,0.1693,0.0510,0.2751
Na2S@graphene-PC,S–Na,2,3.5172,3.5172,0.0116,0.0082,0.0082,nan
Na2S@graphene-glyme,Na–Na,1,4.0777,4.0777,nan,0.0000,nan,nan
Na2S@graphene-glyme,C–Na,20,3.3732,3.4397,0.3609,0.3518,0.0807,-0.3525
Na2S@graphene-glyme,C–C,96,1.4261,1.4257,0.0011,0.0010,0.0001,2.3047
Na2S@graphene-glyme,S–Na,2,2.5466,2.5466,0.0013,0.0009,0.0009,nan
