name,Atoms,Count,Mean /°,Median /°,Sam. std. dev.,Pop. std. dev.,Std. error,Skewness
Na2S,Na–S–Na,1,115.36,115.36,nan,0.00,nan,nan
Na2S,S–Na–Na,2,32.32,32.32,0.00,0.00,0.00,nan
Na2S-PC,Na–S–Na,1,83.86,83.86,nan,0.00,nan,nan
Na2S-glyme,Na–S–Na,1,113.71,113.71,nan,0.00,nan,nan
Na2S-glyme,S–Na–Na,2,33.14,33.14,0.01,0.01,0.01,nan
Na2S2,S–Na–Na,4,34.03,34.03,0.01,0.01,0.00,1.63
Na2S2,S–Na–S,2,51.23,51.23,0.01,0.00,0.00,nan
Na2S2,Na–S–Na,2,111.94,111.94,0.01,0.01,0.01,nan
Na2S2,S–S–Na,4,64.38,64.38,0.02,0.02,0.01,0.50
Na2S2-PC,S–Na–Na,4,33.15,33.15,0.02,0.02,0.01,-0.01
Na2S2-PC,S–Na–S,2,37.97,37.97,0.00,0.00,0.00,nan
Na2S2-PC,Na–S–Na,2,113.69,113.69,0.05,0.04,0.04,nan
Na2S2-PC,S–S–Na,4,71.02,71.02,0.04,0.04,0.02,-0.00
Na2S2-glyme,S–Na–Na,4,33.06,33.05,0.06,0.05,0.03,0.14
Na2S2-glyme,S–Na–S,2,48.46,48.46,0.01,0.01,0.01,nan
Na2S2-glyme,Na–S–Na,2,113.89,113.89,0.14,0.10,0.10,nan
Na2S2-glyme,S–S–Na,4,65.77,65.77,0.09,0.08,0.04,0.14
Na2S4,S–Na–Na,8,51.76,49.03,6.50,6.08,2.30,1.33
Na2S4,S–S–S,2,109.11,109.11,0.04,0.03,0.03,nan
Na2S4,Na–S–Na,4,76.49,76.47,6.25,5.41,3.12,0.00
Na2S4,S–S–Na,12,69.43,67.40,13.52,12.94,3.90,0.27
Na2S4,S–Na–S,12,60.62,56.65,21.94,21.01,6.33,0.41
Na2S4-PC,S–S–Na,8,87.25,87.15,12.54,11.73,4.43,0.00
Na2S4-PC,Na–S–Na,2,92.80,92.80,0.08,0.05,0.05,nan
Na2S4-PC,S–S–S,2,112.59,112.59,0.01,0.01,0.01,nan
Na2S4-PC,S–Na–S,6,47.70,49.37,16.08,14.68,6.57,-0.23
Na2S4-glyme,S–Na–S,12,57.16,53.42,20.97,20.07,6.05,0.45
Na2S4-glyme,Na–S–Na,4,77.50,77.48,6.91,5.99,3.46,0.00
Na2S4-glyme,S–S–Na,20,64.69,61.16,14.35,13.99,3.21,0.77
Na2S4-glyme,S–S–S,8,67.53,62.87,34.86,32.61,12.33,0.15
Na2S4-glyme,S–Na–Na,8,51.25,48.21,6.71,6.28,2.37,1.38
Na2S6,S–Na–Na,10,56.05,45.31,21.97,20.84,6.95,1.49
Na2S6,S–Na–S,20,64.05,69.72,22.01,21.45,4.92,0.23
Na2S6,Na–S–Na,4,87.97,87.97,11.32,9.80,5.66,0.00
Na2S6,S–S–Na,24,76.59,69.74,27.17,26.60,5.55,1.19
Na2S6,S–S–S,10,76.58,100.32,36.49,34.62,11.54,-0.44
Na2S6-PC,S–Na–S,20,52.89,58.36,18.89,18.41,4.22,0.08
Na2S6-PC,Na–S–Na,4,90.77,90.75,10.81,9.36,5.41,0.00
Na2S6-PC,S–Na–Na,10,52.69,45.73,17.75,16.84,5.61,1.45
Na2S6-PC,S–S–S,10,77.53,102.04,39.09,37.08,12.36,-0.44
Na2S6-PC,S–S–Na,24,81.98,71.81,28.45,27.85,5.81,1.23
Na2S6-glyme,S–Na–Na,10,51.69,43.25,21.38,20.29,6.76,1.38
Na2S6-glyme,S–Na–S,20,58.11,63.22,19.75,19.25,4.42,0.27
Na2S6-glyme,Na–S–Na,4,95.87,95.78,14.32,12.41,7.16,0.00
Na2S6-glyme,S–S–Na,28,75.40,60.33,27.94,27.43,5.28,1.27
Na2S6-glyme,S–S–S,14,76.85,79.94,30.17,29.08,8.06,-0.58
Na2S8,Na–S–Na,4,70.63,69.16,7.73,6.70,3.87,0.97
Na2S8,S–S–Na,30,74.47,67.71,21.67,21.31,3.96,1.14
Na2S8,S–S–S,17,87.50,107.94,41.43,40.19,10.05,-0.36
Na2S8,S–Na–Na,12,66.41,57.89,18.43,17.64,5.32,0.99
Na2S8,S–Na–S,30,79.69,71.69,34.31,33.73,6.26,0.43
Na2S8-PC,S–S–S,13,88.65,105.96,38.42,36.92,10.66,-0.69
Na2S8-PC,S–S–Na,8,111.48,114.01,18.98,17.75,6.71,0.24
Na2S8-PC,S–Na–S,2,71.08,71.08,10.51,7.43,7.43,nan
Na2S8-glyme,S–Na–Na,12,59.70,53.20,13.70,13.11,3.95,0.59
Na2S8-glyme,S–S–Na,27,74.89,75.64,24.38,23.93,4.69,0.31
Na2S8-glyme,S–S–S,13,89.24,107.93,37.40,35.93,10.37,-0.85
Na2S8-glyme,S–Na–S,31,73.07,83.47,31.44,30.93,5.65,-0.18
Na2S8-glyme,Na–S–Na,5,67.11,58.28,13.64,12.20,6.10,0.61
