name,Atoms,Count,Mean /Å,Median /Å,Sam. std. dev.,Pop. std. dev.,Std. error,Skewness
Na2S,S–Na,2,2.4472,2.4472,0.0001,0.0000,0.0000,nan
Na2S,Na–Na,1,4.1360,4.1360,nan,0.0000,nan,nan
Na2S-PC,S–Na,2,4.3602,4.3602,0.0053,0.0037,0.0037,nan
Na2S-glyme,S–Na,2,2.5218,2.5218,0.0005,0.0004,0.0004,nan
Na2S-glyme,Na–Na,1,4.2230,4.2230,nan,0.0000,nan,nan
Na2S2,S–S,1,2.2208,2.2208,nan,0.0000,nan,nan
Na2S2,S–Na,4,2.5683,2.5681,0.0004,0.0004,0.0002,1.5424
Na2S2,Na–Na,1,4.2569,4.2569,nan,0.0000,nan,nan
Na2S2-PC,S–S,1,2.0780,2.0780,nan,0.0000,nan,nan
Na2S2-PC,S–Na,4,3.1940,3.1940,0.0008,0.0007,0.0004,-0.0357
Na2S2-PC,Na–Na,1,5.3481,5.3481,nan,0.0000,nan,nan
Na2S2-glyme,S–S,1,2.1925,2.1925,nan,0.0000,nan,nan
Na2S2-glyme,S–Na,4,2.6714,2.6711,0.0019,0.0017,0.0010,0.6445
Na2S2-glyme,Na–Na,1,4.4781,4.4781,nan,0.0000,nan,nan
Na2S4,Na–Na,1,3.5537,3.5537,nan,0.0000,nan,nan
Na2S4,S–Na,8,2.8701,2.7314,0.2791,0.2610,0.0987,1.4269
Na2S4,S–S,3,2.0994,2.0990,0.0013,0.0011,0.0008,1.3484
Na2S4-PC,S–S,3,2.0820,2.0849,0.0058,0.0047,0.0034,-1.6845
Na2S4-PC,S–Na,6,4.1556,4.1672,0.0277,0.0253,0.0113,-0.8045
Na2S4-glyme,S–Na,8,3.0103,2.8549,0.3077,0.2878,0.1088,1.4187
Na2S4-glyme,S–S,5,2.6142,2.0918,0.7173,0.6416,0.3208,0.6086
Na2S4-glyme,Na–Na,1,3.7659,3.7659,nan,0.0000,nan,nan
Na2S6,Na–Na,1,4.1837,4.1837,nan,0.0000,nan,nan
Na2S6,S–Na,10,2.9735,2.7874,0.3338,0.3167,0.1056,1.2980
Na2S6,S–S,7,2.4851,2.0314,0.6242,0.5779,0.2359,0.7289
Na2S6-PC,S–Na,10,3.6034,3.4374,0.3211,0.3046,0.1015,1.0544
Na2S6-PC,Na–Na,1,5.1436,5.1436,nan,0.0000,nan,nan
Na2S6-PC,S–S,7,2.4674,2.0169,0.6539,0.6053,0.2471,0.6064
Na2S6-glyme,Na–Na,1,4.7555,4.7555,nan,0.0000,nan,nan
Na2S6-glyme,S–Na,10,3.1629,2.9495,0.3899,0.3699,0.1233,1.1561
Na2S6-glyme,S–S,8,2.5889,2.3454,0.6570,0.6145,0.2323,0.3039
Na2S8,S–Na,12,3.0365,3.0512,0.2582,0.2473,0.0746,0.1325
Na2S8,S–S,10,2.5026,2.2174,0.6281,0.5958,0.1986,0.7956
Na2S8,Na–Na,1,3.5215,3.5215,nan,0.0000,nan,nan
Na2S8-PC,S–S,9,2.3889,2.0492,0.5801,0.5470,0.1934,1.4031
Na2S8-PC,S–Na,4,4.2112,4.2318,0.0950,0.0823,0.0475,-1.0049
Na2S8-glyme,S–S,9,2.3630,2.0652,0.5679,0.5354,0.1893,1.6014
Na2S8-glyme,S–Na,12,3.4872,3.4157,0.6004,0.5748,0.1733,0.2993
Na2S8-glyme,Na–Na,1,3.7359,3.7359,nan,0.0000,nan,nan
