name,Atoms,Count,Mean /°,Median /°,Sam. std. dev.,Pop. std. dev.,Std. error,Skewness
FeN4,N–C–Fe,8,34.76,34.75,12.13,11.34,4.29,0.00
FeN4,C–C–Fe,22,114.55,96.60,44.90,43.87,9.57,0.15
FeN4,C–N–C,4,120.00,120.00,0.00,0.00,0.00,-1.71
FeN4,C–N–Fe,8,120.00,120.00,20.43,19.11,7.22,0.00
FeN4,C–Fe–C,45,100.00,97.35,49.37,48.82,7.36,0.07
FeN4,C–Fe–N,40,90.00,89.97,50.01,49.38,7.91,0.00
FeN4,N–Fe–N,6,119.98,98.21,47.02,42.93,19.20,0.86
FeN4,C–C–C,116,120.00,120.00,0.00,0.00,0.00,-0.46
FeN4,C–C–N,16,120.00,120.00,0.00,0.00,0.00,-1.13
FeN4-PC,C–C–C,116,120.00,120.00,0.00,0.00,0.00,-0.46
FeN4-PC,N–Fe–N,6,119.98,98.21,47.02,42.93,19.20,0.86
FeN4-PC,C–Fe–N,40,90.00,89.97,50.01,49.38,7.91,0.00
FeN4-PC,C–Fe–C,45,100.00,97.35,49.37,48.82,7.36,0.07
FeN4-PC,C–N–Fe,8,120.00,120.00,20.43,19.11,7.22,0.00
FeN4-PC,C–N–C,4,120.00,120.00,0.00,0.00,0.00,-1.71
FeN4-PC,N–C–Fe,8,34.76,34.75,12.13,11.34,4.29,0.00
FeN4-PC,C–C–Fe,22,114.55,96.60,44.90,43.87,9.57,0.15
FeN4-PC,C–C–N,16,120.00,120.00,0.00,0.00,0.00,-1.13
FeN4-glyme,N–Fe–N,6,119.98,98.21,47.02,42.93,19.20,0.86
FeN4-glyme,C–Fe–N,40,90.00,89.97,50.01,49.38,7.91,0.00
FeN4-glyme,C–Fe–C,45,100.00,97.35,49.37,48.82,7.36,0.07
FeN4-glyme,C–N–Fe,8,120.00,120.00,20.43,19.11,7.22,0.00
FeN4-glyme,C–N–C,4,120.00,120.00,0.00,0.00,0.00,-1.71
FeN4-glyme,C–C–Fe,22,114.55,96.60,44.90,43.87,9.57,0.15
FeN4-glyme,C–C–N,16,120.00,120.00,0.00,0.00,0.00,-1.13
FeN4-glyme,C–C–C,116,120.00,120.00,0.00,0.00,0.00,-0.46
FeN4-glyme,N–C–Fe,8,34.76,34.75,12.13,11.34,4.29,0.00
N_graphene,C–C–N,6,119.95,119.95,0.04,0.04,0.02,0.02
N_graphene,C–C–C,161,120.01,120.01,0.06,0.06,0.00,-0.04
N_graphene,C–N–C,3,120.00,119.97,0.05,0.04,0.03,1.72
N_graphene-PC,C–C–C,236,112.41,120.00,28.09,28.03,1.83,-1.80
N_graphene-PC,C–C–N,12,75.04,75.04,47.04,45.04,13.58,0.00
N_graphene-PC,C–N–C,3,120.00,120.00,0.00,0.00,0.00,1.73
N_graphene-glyme,C–C–N,12,75.04,75.04,47.04,45.04,13.58,0.00
N_graphene-glyme,C–N–C,3,120.00,120.00,0.00,0.00,0.00,1.73
N_graphene-glyme,C–C–C,236,112.41,120.00,28.09,28.03,1.83,-1.80
NiS2,Ni–Ni–S,1466,82.84,76.16,37.48,37.47,0.98,0.22
NiS2,Ni–Ni–Ni,620,87.87,90.00,32.91,32.88,1.32,1.08
NiS2,Ni–S–Ni,360,100.19,82.71,26.42,26.38,1.39,0.60
NiS2,Ni–S–S,1130,88.35,84.76,38.52,38.51,1.15,0.40
NiS2,S–S–S,654,96.13,115.68,26.87,26.85,1.05,-0.06
NiS2,S–Ni–S,701,94.59,88.36,36.62,36.60,1.38,0.73
NiS2-PC,S–S–S,654,96.13,115.68,26.87,26.85,1.05,-0.06
NiS2-PC,Ni–S–S,1130,88.35,84.76,38.52,38.51,1.15,0.40
NiS2-PC,Ni–S–Ni,360,100.19,82.71,26.42,26.38,1.39,0.60
NiS2-PC,Ni–Ni–Ni,620,87.87,90.00,32.91,32.88,1.32,1.08
NiS2-PC,Ni–Ni–S,1466,82.84,76.16,37.48,37.47,0.98,0.22
NiS2-PC,S–Ni–S,701,94.59,88.36,36.62,36.60,1.38,0.73
NiS2-glyme,Ni–S–S,1130,88.35,84.76,38.52,38.51,1.15,0.40
NiS2-glyme,Ni–S–Ni,360,100.19,82.71,26.42,26.38,1.39,0.60
NiS2-glyme,S–S–S,654,96.13,115.68,26.87,26.85,1.05,-0.06
NiS2-glyme,Ni–Ni–Ni,620,87.87,90.00,32.91,32.88,1.32,1.08
NiS2-glyme,Ni–Ni–S,1466,82.84,76.16,37.48,37.47,0.98,0.22
NiS2-glyme,S–Ni–S,701,94.59,88.36,36.62,36.60,1.38,0.73
NiS2_S,S–Ni–S,701,94.59,88.36,36.62,36.60,1.38,0.73
NiS2_S,Ni–S–Ni,360,100.19,82.71,26.42,26.38,1.39,0.60
NiS2_S,Ni–S–S,1130,88.35,84.76,38.52,38.51,1.15,0.40
NiS2_S,S–S–S,654,96.13,115.68,26.87,26.85,1.05,-0.06
NiS2_S,Ni–Ni–Ni,620,87.87,90.00,32.91,32.88,1.32,1.08
NiS2_S,Ni–Ni–S,1466,82.84,76.16,37.48,37.47,0.98,0.22
NiS2_S-PC,Ni–Ni–Ni,620,87.87,90.00,32.91,32.88,1.32,1.08
NiS2_S-PC,Ni–Ni–S,1466,82.84,76.16,37.48,37.47,0.98,0.22
NiS2_S-PC,S–Ni–S,701,94.59,88.36,36.62,36.60,1.38,0.73
NiS2_S-PC,Ni–S–Ni,360,100.19,82.71,26.42,26.38,1.39,0.60
NiS2_S-PC,Ni–S–S,1130,88.35,84.76,38.52,38.51,1.15,0.40
NiS2_S-PC,S–S–S,654,96.13,115.68,26.87,26.85,1.05,-0.06
NiS2_S-glyme,Ni–Ni–S,1466,82.84,76.16,37.48,37.47,0.98,0.22
NiS2_S-glyme,Ni–Ni–Ni,620,87.87,90.00,32.91,32.88,1.32,1.08
NiS2_S-glyme,Ni–S–S,1130,88.35,84.76,38.52,38.51,1.15,0.40
NiS2_S-glyme,S–S–S,654,96.13,115.68,26.87,26.85,1.05,-0.06
NiS2_S-glyme,S–Ni–S,701,94.59,88.36,36.62,36.60,1.38,0.73
NiS2_S-glyme,Ni–S–Ni,360,100.19,82.71,26.42,26.38,1.39,0.60
TiO2,Ti–Ti–Ti,240,92.25,85.06,38.35,38.27,2.48,0.46
TiO2,Ti–O–Ti,129,106.35,111.28,23.51,23.42,2.07,-0.21
TiO2,O–Ti–O,308,95.93,90.00,38.37,38.31,2.19,0.62
TiO2,Ti–Ti–O,633,82.24,71.64,42.48,42.44,1.69,0.21
TiO2-PC,Ti–O–Ti,129,106.35,111.28,23.51,23.42,2.07,-0.21
TiO2-PC,O–Ti–O,308,95.93,90.00,38.37,38.31,2.19,0.62
TiO2-PC,Ti–Ti–O,633,82.24,71.64,42.48,42.44,1.69,0.21
TiO2-PC,Ti–Ti–Ti,240,92.25,85.06,38.35,38.27,2.48,0.46
