name,Atoms,Count,Mean /Å,Median /Å,Sam. std. dev.,Pop. std. dev.,Std. error,Skewness
FeN4,C–N,8,1.4261,1.4261,0.0000,0.0000,0.0000,0.0000
FeN4,N–Fe,4,1.8865,1.8865,0.0013,0.0011,0.0006,0.0018
FeN4,C–Fe,10,2.9846,3.1067,0.3972,0.3768,0.1256,0.2563
FeN4,C–C,72,1.4261,1.4261,0.0000,0.0000,0.0000,-2.0857
FeN4-PC,C–C,72,1.4261,1.4261,0.0000,0.0000,0.0000,-2.0857
FeN4-PC,C–N,8,1.4261,1.4261,0.0000,0.0000,0.0000,0.0000
FeN4-PC,C–Fe,10,2.9846,3.1067,0.3972,0.3768,0.1256,0.2563
FeN4-PC,N–Fe,4,1.8865,1.8865,0.0013,0.0011,0.0006,0.0018
FeN4-glyme,C–C,72,1.4261,1.4261,0.0000,0.0000,0.0000,-2.0857
FeN4-glyme,C–Fe,10,2.9846,3.1067,0.3972,0.3768,0.1256,0.2563
FeN4-glyme,C–N,8,1.4261,1.4261,0.0000,0.0000,0.0000,0.0000
FeN4-glyme,N–Fe,4,1.8865,1.8865,0.0013,0.0011,0.0006,0.0018
N_graphene,C–N,3,1.4288,1.4287,0.0003,0.0003,0.0002,1.2943
N_graphene,C–C,93,1.4260,1.4258,0.0006,0.0006,0.0001,2.5792
N_graphene-PC,C–N,3,1.4138,1.4138,0.0000,0.0000,0.0000,0.0000
N_graphene-PC,C–C,105,1.5438,1.4267,0.3288,0.3272,0.0321,2.4597
N_graphene-glyme,C–C,105,1.5438,1.4267,0.3288,0.3272,0.0321,2.4597
N_graphene-glyme,C–N,3,1.4138,1.4138,0.0000,0.0000,0.0000,0.0000
NiS2,Ni–S,226,2.8504,2.3943,0.5619,0.5607,0.0374,0.4186
NiS2,S–S,169,3.1858,3.2785,0.3220,0.3210,0.0248,-3.2039
NiS2,Ni–Ni,110,4.0139,4.0139,0.0000,0.0000,0.0000,0.0000
NiS2-PC,S–S,169,3.1858,3.2785,0.3220,0.3210,0.0248,-3.2039
NiS2-PC,Ni–S,226,2.8504,2.3943,0.5619,0.5607,0.0374,0.4186
NiS2-PC,Ni–Ni,110,4.0139,4.0139,0.0000,0.0000,0.0000,0.0000
NiS2-glyme,S–S,169,3.1858,3.2785,0.3220,0.3210,0.0248,-3.2039
NiS2-glyme,Ni–S,226,2.8504,2.3943,0.5619,0.5607,0.0374,0.4186
NiS2-glyme,Ni–Ni,110,4.0139,4.0139,0.0000,0.0000,0.0000,0.0000
NiS2_S,Ni–Ni,110,4.0139,4.0139,0.0000,0.0000,0.0000,0.0000
NiS2_S,Ni–S,226,2.8504,2.3943,0.5619,0.5607,0.0374,0.4186
NiS2_S,S–S,169,3.1858,3.2785,0.3220,0.3210,0.0248,-3.2039
NiS2_S-PC,Ni–Ni,110,4.0139,4.0139,0.0000,0.0000,0.0000,0.0000
NiS2_S-PC,Ni–S,226,2.8504,2.3943,0.5619,0.5607,0.0374,0.4186
NiS2_S-PC,S–S,169,3.1858,3.2785,0.3220,0.3210,0.0248,-3.2039
NiS2_S-glyme,Ni–Ni,110,4.0139,4.0139,0.0000,0.0000,0.0000,0.0000
NiS2_S-glyme,Ni–S,226,2.8504,2.3943,0.5619,0.5607,0.0374,0.4186
NiS2_S-glyme,S–S,169,3.1858,3.2785,0.3220,0.3210,0.0248,-3.2039
TiO2,Ti–Ti,49,4.0710,3.5692,0.5175,0.5122,0.0739,0.0421
TiO2,Ti–O,109,2.6348,1.9834,0.7586,0.7551,0.0727,0.2426
TiO2-PC,Ti–Ti,49,4.0710,3.5692,0.5175,0.5122,0.0739,0.0421
TiO2-PC,Ti–O,109,2.6348,1.9834,0.7586,0.7551,0.0727,0.2426
TiO2-glyme,Ti–O,109,2.6348,1.9834,0.7586,0.7551,0.0727,0.2426
TiO2-glyme,Ti–Ti,49,4.0710,3.5692,0.5175,0.5122,0.0739,0.0421
