name,NaPS,Sorbent,Distance,NaPS Atom,NaPS Atom Position,Sorbent Atom,Sorbent Atom Position,solvent,electronic_scf,vdw
Na2S2@NiS2-glyme,Na2S2,NiS2,2.149382479970003,S,"(np.float64(10.372002), np.float64(6.112823), np.float64(7.538521))",Ni,"(np.float64(11.353022), np.float64(5.676512), np.float64(5.676512))",Glyme,False,False
Na2S2@NiS2-PC,Na2S2,NiS2,2.1119064436278894,S,"(np.float64(8.690833), np.float64(8.880772), np.float64(7.748996))",Ni,"(np.float64(8.514767), np.float64(8.514767), np.float64(5.676512))",PC,False,False
Na2S2@NiS2,Na2S2,NiS2,2.1731081141362942,S,"(np.float64(10.607902), np.float64(6.278931), np.float64(7.62697))",Ni,"(np.float64(11.353022), np.float64(5.676512), np.float64(5.676512))",Vacuum,False,False
Na2S4@NiS2-glyme,Na2S4,NiS2,2.129468172466074,S,"(np.float64(10.559355), np.float64(6.217633), np.float64(7.577016))",Ni,"(np.float64(11.353022), np.float64(5.676512), np.float64(5.676512))",Glyme,False,False
Na2S4@NiS2-PC,Na2S4,NiS2,2.1480074007544756,S,"(np.float64(4.97375), np.float64(7.894234), np.float64(6.275302))",S,"(np.float64(6.275162), np.float64(9.113418), np.float64(5.077866))",PC,False,False
Na2S4@NiS2,Na2S4,NiS2,2.3206796196763135,S,"(np.float64(9.867113), np.float64(6.987258), np.float64(6.88464))",Ni,"(np.float64(11.353022), np.float64(5.676512), np.float64(5.676512))",Vacuum,False,False
Na2S6@NiS2-glyme,Na2S6,NiS2,2.151119773439173,S,"(np.float64(4.970523), np.float64(13.568659), np.float64(6.275252))",S,"(np.float64(6.275162), np.float64(14.789923), np.float64(5.07786))",Glyme,False,False
Na2S6@NiS2-PC,Na2S6,NiS2,2.1587555301761245,S,"(np.float64(4.967783), np.float64(13.568978), np.float64(6.28628))",S,"(np.float64(6.275162), np.float64(14.789923), np.float64(5.07786))",PC,False,False
Na2S6@NiS2,Na2S6,NiS2,2.148941924339511,S,"(np.float64(4.97548), np.float64(13.569249), np.float64(6.277332))",S,"(np.float64(6.275162), np.float64(14.789923), np.float64(5.07786))",Vacuum,False,False
Na2S8@NiS2-glyme,Na2S8,NiS2,2.124256897266665,S,"(np.float64(9.203227), np.float64(10.745381), np.float64(6.261366))",S,"(np.float64(7.916116), np.float64(11.951673), np.float64(5.077866))",Glyme,False,False
Na2S8@NiS2-PC,Na2S8,NiS2,2.1221389451374293,S,"(np.float64(5.620286), np.float64(11.837855), np.float64(7.74176))",Ni,"(np.float64(5.676512), np.float64(11.353022), np.float64(5.676512))",PC,False,False
Na2S8@NiS2,Na2S8,NiS2,2.1203830759834417,S,"(np.float64(9.20377), np.float64(10.762853), np.float64(6.271465))",S,"(np.float64(7.916116), np.float64(11.951673), np.float64(5.077866))",Vacuum,False,False
Na2S@NiS2-glyme,Na2S,NiS2,2.2500262887695333,S,"(np.float64(9.282563), np.float64(4.960735), np.float64(6.289362))",S,"(np.float64(7.916116), np.float64(6.275162), np.float64(5.077866))",Glyme,False,False
Na2S@NiS2-PC,Na2S,NiS2,2.2247681749831827,S,"(np.float64(9.273528), np.float64(4.985019), np.float64(6.278931))",S,"(np.float64(7.916116), np.float64(6.275162), np.float64(5.077866))",PC,False,False
Na2S@NiS2,Na2S,NiS2,2.2653377439679927,S,"(np.float64(9.302813), np.float64(4.961903), np.float64(6.322834))",Ni,"(np.float64(11.353022), np.float64(5.676512), np.float64(5.676512))",Vacuum,False,False
