name,NaPS,Sorbent,Distance,NaPS Atom,NaPS Atom Position,Sorbent Atom,Sorbent Atom Position,solvent,electronic_scf,vdw
Na2S2@graphene_vdw-glyme,Na2S2,graphene_vdw,3.3368529378478753,Na,"(np.float64(5.262849), np.float64(3.579499), np.float64(13.242111))",C,"(np.float64(4.917511), np.float64(2.849437), np.float64(10.004467))",Glyme,True,True
Na2S2@graphene_vdw-PC,Na2S2,graphene_vdw,3.4872718112680854,Na,"(np.float64(5.710351), np.float64(2.518219), np.float64(13.450738))",C,"(np.float64(6.153309), np.float64(2.137184), np.float64(10.012764))",PC,True,True
Na2S2@graphene_vdw,Na2S2,graphene_vdw,2.719156683119785,Na,"(np.float64(5.194652), np.float64(3.958957), np.float64(12.672339))",C,"(np.float64(4.916463), np.float64(4.278104), np.float64(9.986344))",Vacuum,True,True
Na2S4@graphene_vdw-glyme,Na2S4,graphene_vdw,3.261583112248712,Na,"(np.float64(2.343924), np.float64(4.575479), np.float64(10.68109))",C,"(np.float64(2.470339), np.float64(4.274274), np.float64(7.435906))",Glyme,False,True
Na2S4@graphene_vdw-PC,Na2S4,graphene_vdw,3.3608487833202196,S,"(np.float64(2.9333), np.float64(7.317377), np.float64(10.656191))",C,"(np.float64(2.473422), np.float64(7.128842), np.float64(7.332297))",PC,False,True
Na2S4@graphene_vdw,Na2S4,graphene_vdw,2.9331907349171815,Na,"(np.float64(2.74604), np.float64(4.744319), np.float64(10.317798))",C,"(np.float64(2.468754), np.float64(4.274417), np.float64(7.4358))",Vacuum,False,True
Na2S6@graphene_vdw-glyme,Na2S6,graphene_vdw,3.5604269355358227,S,"(np.float64(4.398043), np.float64(7.466574), np.float64(13.342247))",C,"(np.float64(4.945153), np.float64(7.132732), np.float64(9.839982))",Glyme,True,True
Na2S6@graphene_vdw-PC,Na2S6,graphene_vdw,3.4895282365054725,S,"(np.float64(3.611927), np.float64(4.260204), np.float64(13.210503))",C,"(np.float64(3.707889), np.float64(4.991443), np.float64(9.799801))",PC,True,True
Na2S6@graphene_vdw,Na2S6,graphene_vdw,2.9945186208886736,Na,"(np.float64(5.973046), np.float64(5.276248), np.float64(12.82933))",C,"(np.float64(6.178247), np.float64(4.9916), np.float64(9.855442))",Vacuum,True,True
Na2S8@graphene_vdw-glyme,Na2S8,graphene_vdw,3.339231985602977,Na,"(np.float64(5.783296), np.float64(4.571041), np.float64(3.764283))",C,"(np.float64(6.175013), np.float64(4.9912), np.float64(0.474831))",Glyme,True,True
Na2S8@graphene_vdw-PC,Na2S8,graphene_vdw,3.5383792934918668,S,"(np.float64(2.300249), np.float64(6.407278), np.float64(3.934391))",C,"(np.float64(2.470015), np.float64(7.130294), np.float64(0.474831))",PC,True,True
Na2S8@graphene_vdw,Na2S8,graphene_vdw,2.8230828108225943,Na,"(np.float64(4.806589), np.float64(4.410139), np.float64(3.29167))",C,"(np.float64(4.94001), np.float64(4.278179), np.float64(0.474831))",Vacuum,True,True
Na2S@graphene_vdw-glyme,Na2S,graphene_vdw,3.3643174666805744,Na,"(np.float64(6.354891), np.float64(6.211843), np.float64(15.712833))",C,"(np.float64(6.178459), np.float64(6.420891), np.float64(12.359655))",Glyme,True,True
Na2S@graphene_vdw-PC,Na2S,graphene_vdw,3.4701733243534107,Na,"(np.float64(0.703532), np.float64(6.133548), np.float64(15.77167))",C,"(np.float64(1.240049), np.float64(6.419962), np.float64(12.355207))",PC,True,True
Na2S@graphene_vdw,Na2S,graphene_vdw,2.7951944188918234,Na,"(np.float64(6.008862), np.float64(6.216273), np.float64(15.194169))",C,"(np.float64(6.179816), np.float64(6.420431), np.float64(12.411687))",Vacuum,True,True
