name,NaPS,Sorbent,Distance,NaPS Atom,NaPS Atom Position,Sorbent Atom,Sorbent Atom Position,solvent,electronic_scf,vdw
Na2S2@N_graphene-glyme-vdw,Na2S2,N_graphene,3.3055891356847424,Na,"(np.float64(6.681381), np.float64(8.053394), np.float64(4.318171))",C,"(np.float64(6.175033), np.float64(7.843336), np.float64(1.058354))",Glyme,True,True
Na2S2@N_graphene-PC-vdw,Na2S2,N_graphene,3.495201586487538,Na,"(np.float64(7.944438), np.float64(8.542991), np.float64(4.512434))",C,"(np.float64(7.410035), np.float64(8.556367), np.float64(1.058354))",PC,True,True
Na2S2@N_graphene-vdw,Na2S2,N_graphene,2.75929136685744,Na,"(np.float64(6.622291), np.float64(8.085011), np.float64(3.770409))",C,"(np.float64(6.175033), np.float64(7.843336), np.float64(1.058354))",Vacuum,True,True
Na2S4@N_graphene-glyme-vdw,Na2S4,N_graphene,3.2684449051665223,Na,"(np.float64(2.705153), np.float64(10.357584), np.float64(4.296671))",C,"(np.float64(2.470005), np.float64(9.98243), np.float64(1.058354))",Glyme,True,True
Na2S4@N_graphene-PC-vdw,Na2S4,N_graphene,3.5055475741231925,Na,"(np.float64(-0.379844), np.float64(5.383628), np.float64(4.528481))",C,"(np.float64(1e-05), np.float64(5.704242), np.float64(1.058354))",PC,True,True
Na2S4@N_graphene-vdw,Na2S4,N_graphene,2.86825244794631,Na,"(np.float64(2.380384), np.float64(10.067652), np.float64(3.923939))",C,"(np.float64(2.470005), np.float64(9.98243), np.float64(1.058354))",Vacuum,True,True
Na2S6@N_graphene-glyme-vdw,Na2S6,N_graphene,2.9412504460518147,Na,"(np.float64(0.708463), np.float64(8.191199), np.float64(3.183945))",C,"(np.float64(0.001583), np.float64(8.559259), np.float64(0.352725))",Glyme,True,True
Na2S6@N_graphene-PC-vdw,Na2S6,N_graphene,3.446848530369445,S,"(np.float64(1.336204), np.float64(9.282541), np.float64(3.787074))",C,"(np.float64(1.237454), np.float64(9.272484), np.float64(0.341655))",PC,True,True
Na2S6@N_graphene-vdw,Na2S6,N_graphene,3.080186314239611,Na,"(np.float64(2.994563), np.float64(9.424191), np.float64(3.313887))",C,"(np.float64(3.708667), np.float64(9.272804), np.float64(0.321449))",Vacuum,False,True
Na2S8@N_graphene-glyme-vdw,Na2S8,N_graphene,3.3675592728747925,Na,"(np.float64(3.344673), np.float64(5.348653), np.float64(3.645099))",C,"(np.float64(3.706867), np.float64(4.991261), np.float64(0.316204))",Glyme,False,True
Na2S8@N_graphene-PC-vdw,Na2S8,N_graphene,3.4588994985007875,S,"(np.float64(6.921482), np.float64(4.053629), np.float64(3.770564))",C,"(np.float64(7.415136), np.float64(4.277447), np.float64(0.354397))",PC,False,True
Na2S8@N_graphene,Na2S8,N_graphene,3.2651126948583262,Na,"(np.float64(3.369953), np.float64(5.379056), np.float64(3.540652))",C,"(np.float64(3.706867), np.float64(4.991261), np.float64(0.316204))",Vacuum,True,True
Na2S@N_graphene-glyme-vdw,Na2S,N_graphene,3.5685289476400497,Na,"(np.float64(0.992947), np.float64(5.655058), np.float64(5.065291))",C,"(np.float64(1.235013), np.float64(6.417293), np.float64(1.587533))",Glyme,False,True
Na2S@N_graphene-PC-vdw,Na2S,N_graphene,3.442328151762989,Na,"(np.float64(7.282475), np.float64(5.793854), np.float64(5.026329))",C,"(np.float64(7.410055), np.float64(5.704252), np.float64(1.587533))",PC,True,True
Na2S@N_graphene-vdw,Na2S,N_graphene,2.8832621561776164,Na,"(np.float64(5.889207), np.float64(5.852092), np.float64(4.40037))",C,"(np.float64(6.175033), np.float64(6.417293), np.float64(1.587533))",Vacuum,False,True
