name,NaPS,sorbent,Atoms,solvent,electronic_scf,vdw,Count,Mean /°,Median /°,Sam. std. dev.,Pop. std. dev.,Std. error,Skewness
Na2S2@FeN4,Na2S2,FeN4,S–S–Na,Vacuum,True,False,4,67.19,66.99,3.55,3.07,1.77,0.25
Na2S2@FeN4,Na2S2,FeN4,S–S–Na,Vacuum,True,False,4,67.19,66.99,3.55,3.07,1.77,0.25
Na2S2@FeN4,Na2S2,FeN4,S–S–Na,Vacuum,True,False,4,67.19,66.99,3.55,3.07,1.77,0.25
Na2S2@FeN4,Na2S2,FeN4,S–S–Na,Vacuum,True,False,4,67.19,66.99,3.55,3.07,1.77,0.25
Na2S2@FeN4,Na2S2,FeN4,S–S–Na,Vacuum,True,False,4,67.19,66.99,3.55,3.07,1.77,0.25
Na2S2@FeN4,Na2S2,FeN4,S–S–Na,Vacuum,True,False,4,67.19,66.99,3.55,3.07,1.77,0.25
Na2S2@FeN4,Na2S2,FeN4,S–S–Na,Vacuum,True,False,4,67.19,66.99,3.55,3.07,1.77,0.25
Na2S2@FeN4,Na2S2,FeN4,S–S–Na,Vacuum,True,False,4,67.19,66.99,3.55,3.07,1.77,0.25
Na2S2@FeN4,Na2S2,FeN4,S–S–Na,Vacuum,True,False,4,67.19,66.99,3.55,3.07,1.77,0.25
Na2S2@FeN4,Na2S2,FeN4,S–S–Na,Vacuum,True,False,4,67.19,66.99,3.55,3.07,1.77,0.25
Na2S2@FeN4,Na2S2,FeN4,S–S–Na,Vacuum,True,False,4,67.19,66.99,3.55,3.07,1.77,0.25
Na2S2@FeN4,Na2S2,FeN4,S–S–Na,Vacuum,True,False,4,67.19,66.99,3.55,3.07,1.77,0.25
Na2S2@FeN4,Na2S2,FeN4,S–S–Na,Vacuum,True,False,4,67.19,66.99,3.55,3.07,1.77,0.25
Na2S2@FeN4,Na2S2,FeN4,S–S–Na,Vacuum,True,False,4,67.19,66.99,3.55,3.07,1.77,0.25
Na2S2@FeN4,Na2S2,FeN4,S–S–Na,Vacuum,True,False,4,67.19,66.99,3.55,3.07,1.77,0.25
Na2S2@FeN4,Na2S2,FeN4,S–S–Na,Vacuum,True,False,4,67.19,66.99,3.55,3.07,1.77,0.25
Na2S2@FeN4,Na2S2,FeN4,S–S–Na,Vacuum,True,False,4,67.19,66.99,3.55,3.07,1.77,0.25
Na2S2@FeN4,Na2S2,FeN4,S–S–Na,Vacuum,True,False,4,67.19,66.99,3.55,3.07,1.77,0.25
Na2S2@FeN4,Na2S2,FeN4,S–S–Na,Vacuum,True,False,4,67.19,66.99,3.55,3.07,1.77,0.25
Na2S2@FeN4,Na2S2,FeN4,S–S–Na,Vacuum,True,False,4,67.19,66.99,3.55,3.07,1.77,0.25
Na2S2@FeN4,Na2S2,FeN4,S–S–Na,Vacuum,True,False,4,67.19,66.99,3.55,3.07,1.77,0.25
Na2S2@FeN4,Na2S2,FeN4,S–S–Na,Vacuum,True,False,4,67.19,66.99,3.55,3.07,1.77,0.25
Na2S2@FeN4,Na2S2,FeN4,S–S–Na,Vacuum,True,False,4,67.19,66.99,3.55,3.07,1.77,0.25
Na2S2@FeN4,Na2S2,FeN4,S–S–Na,Vacuum,True,False,4,67.19,66.99,3.55,3.07,1.77,0.25
Na2S2@FeN4,Na2S2,FeN4,S–S–Na,Vacuum,True,False,4,67.19,66.99,3.55,3.07,1.77,0.25
Na2S2@FeN4,Na2S2,FeN4,S–S–Na,Vacuum,True,False,4,67.19,66.99,3.55,3.07,1.77,0.25
Na2S2@FeN4,Na2S2,FeN4,S–S–Na,Vacuum,True,False,4,67.19,66.99,3.55,3.07,1.77,0.25
Na2S2@FeN4,Na2S2,FeN4,S–S–Na,Vacuum,True,False,4,67.19,66.99,3.55,3.07,1.77,0.25
Na2S2@FeN4,Na2S2,FeN4,S–S–Na,Vacuum,True,False,4,67.19,66.99,3.55,3.07,1.77,0.25
Na2S2@FeN4,Na2S2,FeN4,S–S–Na,Vacuum,True,False,4,67.19,66.99,3.55,3.07,1.77,0.25
Na2S2@FeN4,Na2S2,FeN4,S–S–Na,Vacuum,True,False,4,67.19,66.99,3.55,3.07,1.77,0.25
