name,NaPS,sorbent,Atoms,Mean,solvent,electronic_scf,vdw,Count,Median,Sam. std. dev.,Pop. std. dev.,Std. error,Skewness
Na2S2@N_graphene-PC-vdw,Na2S2,N_graphene,N–C–Na,106.99,PC,True,True,1,106.99,nan,0.00,nan,nan
Na2S2@N_graphene-PC-vdw,Na2S2,N_graphene,S–Na–S,30.76,PC,True,True,2,30.76,0.04,0.03,0.03,nan
Na2S2@N_graphene-PC-vdw,Na2S2,N_graphene,C–Na–S,92.43,PC,True,True,14,89.60,12.05,11.61,3.22,0.22
Na2S2@N_graphene-PC-vdw,Na2S2,N_graphene,C–Na–C,29.41,PC,True,True,9,23.16,8.44,7.96,2.81,0.27
Na2S2@N_graphene-PC-vdw,Na2S2,N_graphene,Na–S–Na,147.05,PC,True,True,2,147.05,2.40,1.70,1.70,nan
Na2S2@N_graphene-PC-vdw,Na2S2,N_graphene,S–S–Na,74.62,PC,True,True,4,74.61,1.16,1.00,0.58,0.06
Na2S2@N_graphene-PC-vdw,Na2S2,N_graphene,C–N–C,120.00,PC,True,True,3,120.00,0.00,0.00,0.00,1.01
Na2S2@N_graphene-PC-vdw,Na2S2,N_graphene,C–C–N,120.00,PC,True,True,6,120.00,0.00,0.00,0.00,-0.08
Na2S2@N_graphene-PC-vdw,Na2S2,N_graphene,C–C–Na,88.52,PC,True,True,18,93.04,14.17,13.77,3.34,-0.50
Na2S2@N_graphene-PC-vdw,Na2S2,N_graphene,C–C–C,120.00,PC,True,True,161,120.00,0.00,0.00,0.00,0.26
Na2S2@N_graphene-glyme-vdw,Na2S2,N_graphene,C–C–C,120.00,Glyme,True,True,161,120.00,0.00,0.00,0.00,0.26
Na2S2@N_graphene-glyme-vdw,Na2S2,N_graphene,C–Na–S,98.88,Glyme,True,True,12,98.09,19.89,19.04,5.74,0.00
Na2S2@N_graphene-glyme-vdw,Na2S2,N_graphene,C–C–Na,86.78,Glyme,True,True,16,94.30,17.16,16.62,4.29,-0.51
Na2S2@N_graphene-glyme-vdw,Na2S2,N_graphene,C–Na–Na,99.87,Glyme,True,True,6,100.47,21.22,19.37,8.66,-0.01
Na2S2@N_graphene-glyme-vdw,Na2S2,N_graphene,C–N–C,120.00,Glyme,True,True,3,120.00,0.00,0.00,0.00,1.01
Na2S2@N_graphene-glyme-vdw,Na2S2,N_graphene,S–S–Na,68.21,Glyme,True,True,4,68.22,0.34,0.30,0.17,-0.16
Na2S2@N_graphene-glyme-vdw,Na2S2,N_graphene,C–C–N,120.00,Glyme,True,True,6,120.00,0.00,0.00,0.00,-0.08
Na2S2@N_graphene-glyme-vdw,Na2S2,N_graphene,S–Na–S,43.59,Glyme,True,True,2,43.59,0.04,0.03,0.03,nan
Na2S2@N_graphene-glyme-vdw,Na2S2,N_graphene,S–Na–Na,21.80,Glyme,True,True,4,21.81,0.12,0.11,0.06,-0.53
Na2S2@N_graphene-glyme-vdw,Na2S2,N_graphene,C–Na–C,37.23,Glyme,True,True,15,39.40,12.69,12.26,3.28,0.34
Na2S2@N_graphene-glyme-vdw,Na2S2,N_graphene,Na–S–Na,136.41,Glyme,True,True,2,136.41,0.28,0.19,0.19,nan
Na2S2@N_graphene-vdw,Na2S2,N_graphene,C–Na–N,40.89,Vacuum,True,True,8,43.46,15.85,14.83,5.60,0.14
Na2S2@N_graphene-vdw,Na2S2,N_graphene,S–Na–Na,32.96,Vacuum,True,True,4,32.98,0.20,0.18,0.10,-0.61
Na2S2@N_graphene-vdw,Na2S2,N_graphene,S–Na–S,45.61,Vacuum,True,True,2,45.61,0.16,0.11,0.11,nan
Na2S2@N_graphene-vdw,Na2S2,N_graphene,N–Na–Na,66.04,Vacuum,True,True,1,66.04,nan,0.00,nan,nan
Na2S2@N_graphene-vdw,Na2S2,N_graphene,N–Na–S,89.28,Vacuum,True,True,2,89.28,9.79,6.93,6.93,nan
