name,NaPS,sorbent,Atoms,Mean,solvent,electronic_scf,vdw,Count,Median,Sam. std. dev.,Pop. std. dev.,Std. error,Skewness
Na2S2@NiS2_S,Na2S2,NiS2_S,Ni–S–S,88.39,Vacuum,False,False,1140,84.76,38.54,38.52,1.14,0.39
Na2S2@NiS2_S,Na2S2,NiS2_S,Ni–Ni–S,83.15,Vacuum,False,False,1482,89.46,37.49,37.48,0.97,0.21
Na2S2@NiS2_S,Na2S2,NiS2_S,Ni–Ni–Na,111.67,Vacuum,False,False,21,110.29,32.21,31.44,7.03,0.10
Na2S2@NiS2_S,Na2S2,NiS2_S,S–Ni–Na,88.44,Vacuum,False,False,29,92.48,33.63,33.05,6.25,0.00
Na2S2@NiS2_S,Na2S2,NiS2_S,Ni–S–Ni,100.19,Vacuum,False,False,360,82.71,26.42,26.38,1.39,0.60
Na2S2@NiS2_S,Na2S2,NiS2_S,S–S–S,96.37,Vacuum,False,False,671,115.68,27.17,27.15,1.05,-0.04
Na2S2@NiS2_S,Na2S2,NiS2_S,S–Ni–S,94.47,Vacuum,False,False,721,88.36,36.51,36.48,1.36,0.72
Na2S2@NiS2_S,Na2S2,NiS2_S,S–S–Na,92.93,Vacuum,False,False,58,90.32,37.75,37.43,4.96,0.32
Na2S2@NiS2_S,Na2S2,NiS2_S,Ni–Na–S,61.71,Vacuum,False,False,20,58.26,26.90,26.21,6.01,0.31
Na2S2@NiS2_S,Na2S2,NiS2_S,S–Na–S,77.52,Vacuum,False,False,36,71.30,28.97,28.57,4.83,0.53
Na2S2@NiS2_S,Na2S2,NiS2_S,Ni–Na–Ni,55.68,Vacuum,False,False,1,55.68,nan,0.00,nan,nan
Na2S2@NiS2_S,Na2S2,NiS2_S,Ni–S–Na,109.03,Vacuum,False,False,23,105.84,27.43,26.83,5.72,0.25
Na2S2@NiS2_S,Na2S2,NiS2_S,Ni–Ni–Ni,87.87,Vacuum,False,False,620,90.00,32.91,32.88,1.32,1.08
Na2S2@NiS2_S-PC,Na2S2,NiS2_S,S–Na–S,53.23,PC,False,False,4,51.52,8.56,7.41,4.28,0.77
Na2S2@NiS2_S-PC,Na2S2,NiS2_S,Ni–Ni–Ni,87.87,PC,False,False,620,90.00,32.91,32.88,1.32,1.08
Na2S2@NiS2_S-PC,Na2S2,NiS2_S,Ni–Ni–S,83.15,PC,False,False,1482,89.02,37.49,37.48,0.97,0.21
