name,NaPS,sorbent,Atoms,solvent,electronic_scf,vdw,Count,Mean /°,Median /°,Sam. std. dev.,Pop. std. dev.,Std. error,Skewness
Na2S2@NiS2_S,Na2S2,NiS2_S,S–Na–S,Vacuum,False,False,3,113.06,132.27,35.14,28.69,20.29,-1.72
Na2S2@NiS2_S,Na2S2,NiS2_S,S–Na–S,Vacuum,False,False,3,113.06,132.27,35.14,28.69,20.29,-1.72
Na2S2@NiS2_S,Na2S2,NiS2_S,S–Na–S,Vacuum,False,False,3,113.06,132.27,35.14,28.69,20.29,-1.72
Na2S2@NiS2_S,Na2S2,NiS2_S,S–Na–S,Vacuum,False,False,3,113.06,132.27,35.14,28.69,20.29,-1.72
Na2S2@NiS2_S,Na2S2,NiS2_S,S–Na–S,Vacuum,False,False,3,113.06,132.27,35.14,28.69,20.29,-1.72
Na2S2@NiS2_S,Na2S2,NiS2_S,S–Na–S,Vacuum,False,False,3,113.06,132.27,35.14,28.69,20.29,-1.72
Na2S2@NiS2_S,Na2S2,NiS2_S,S–Na–S,Vacuum,False,False,3,113.06,132.27,35.14,28.69,20.29,-1.72
Na2S2@NiS2_S,Na2S2,NiS2_S,S–Na–S,Vacuum,False,False,3,113.06,132.27,35.14,28.69,20.29,-1.72
Na2S2@NiS2_S,Na2S2,NiS2_S,S–Na–S,Vacuum,False,False,3,113.06,132.27,35.14,28.69,20.29,-1.72
Na2S2@NiS2_S,Na2S2,NiS2_S,S–Na–S,Vacuum,False,False,3,113.06,132.27,35.14,28.69,20.29,-1.72
Na2S2@NiS2_S,Na2S2,NiS2_S,S–Na–S,Vacuum,False,False,3,113.06,132.27,35.14,28.69,20.29,-1.72
Na2S2@NiS2_S,Na2S2,NiS2_S,S–Na–S,Vacuum,False,False,3,113.06,132.27,35.14,28.69,20.29,-1.72
Na2S2@NiS2_S,Na2S2,NiS2_S,S–Na–S,Vacuum,False,False,3,113.06,132.27,35.14,28.69,20.29,-1.72
Na2S2@NiS2_S,Na2S2,NiS2_S,S–Na–S,Vacuum,False,False,3,113.06,132.27,35.14,28.69,20.29,-1.72
Na2S2@NiS2_S,Na2S2,NiS2_S,S–Na–S,Vacuum,False,False,3,113.06,132.27,35.14,28.69,20.29,-1.72
Na2S2@NiS2_S,Na2S2,NiS2_S,S–Na–S,Vacuum,False,False,3,113.06,132.27,35.14,28.69,20.29,-1.72
Na2S2@NiS2_S,Na2S2,NiS2_S,S–Na–S,Vacuum,False,False,3,113.06,132.27,35.14,28.69,20.29,-1.72
Na2S2@NiS2_S,Na2S2,NiS2_S,S–Na–S,Vacuum,False,False,3,113.06,132.27,35.14,28.69,20.29,-1.72
Na2S2@NiS2_S,Na2S2,NiS2_S,S–Na–S,Vacuum,False,False,3,113.06,132.27,35.14,28.69,20.29,-1.72
Na2S2@NiS2_S,Na2S2,NiS2_S,S–Na–S,Vacuum,False,False,3,113.06,132.27,35.14,28.69,20.29,-1.72
Na2S2@NiS2_S,Na2S2,NiS2_S,S–Na–S,Vacuum,False,False,3,113.06,132.27,35.14,28.69,20.29,-1.72
Na2S2@NiS2_S,Na2S2,NiS2_S,S–Na–S,Vacuum,False,False,3,113.06,132.27,35.14,28.69,20.29,-1.72
Na2S2@NiS2_S,Na2S2,NiS2_S,S–Na–S,Vacuum,False,False,3,113.06,132.27,35.14,28.69,20.29,-1.72
Na2S2@NiS2_S,Na2S2,NiS2_S,S–Na–S,Vacuum,False,False,3,113.06,132.27,35.14,28.69,20.29,-1.72
Na2S2@NiS2_S,Na2S2,NiS2_S,S–Na–S,Vacuum,False,False,3,113.06,132.27,35.14,28.69,20.29,-1.72
Na2S2@NiS2_S,Na2S2,NiS2_S,S–Na–S,Vacuum,False,False,3,113.06,132.27,35.14,28.69,20.29,-1.72
Na2S2@NiS2_S,Na2S2,NiS2_S,S–Na–S,Vacuum,False,False,3,113.06,132.27,35.14,28.69,20.29,-1.72
Na2S2@NiS2_S,Na2S2,NiS2_S,S–Na–S,Vacuum,False,False,3,113.06,132.27,35.14,28.69,20.29,-1.72
Na2S2@NiS2_S,Na2S2,NiS2_S,S–Na–S,Vacuum,False,False,3,113.06,132.27,35.14,28.69,20.29,-1.72
Na2S2@NiS2_S,Na2S2,NiS2_S,S–Na–S,Vacuum,False,False,3,113.06,132.27,35.14,28.69,20.29,-1.72
Na2S2@NiS2_S,Na2S2,NiS2_S,S–Na–S,Vacuum,False,False,3,113.06,132.27,35.14,28.69,20.29,-1.72
Na2S2@NiS2_S,Na2S2,NiS2_S,S–Na–S,Vacuum,False,False,3,113.06,132.27,35.14,28.69,20.29,-1.72
Na2S2@NiS2_S,Na2S2,NiS2_S,S–Na–S,Vacuum,False,False,3,113.06,132.27,35.14,28.69,20.29,-1.72
Na2S2@NiS2_S,Na2S2,NiS2_S,S–Na–S,Vacuum,False,False,3,113.06,132.27,35.14,28.69,20.29,-1.72
Na2S2@NiS2_S,Na2S2,NiS2_S,S–Na–S,Vacuum,False,False,3,113.06,132.27,35.14,28.69,20.29,-1.72
Na2S2@NiS2_S,Na2S2,NiS2_S,S–Na–S,Vacuum,False,False,3,113.06,132.27,35.14,28.69,20.29,-1.72
Na2S2@NiS2_S,Na2S2,NiS2_S,S–Na–S,Vacuum,False,False,3,113.06,132.27,35.14,28.69,20.29,-1.72
Na2S2@NiS2_S,Na2S2,NiS2_S,S–Na–S,Vacuum,False,False,3,113.06,132.27,35.14,28.69,20.29,-1.72
Na2S2@NiS2_S,Na2S2,NiS2_S,S–Na–S,Vacuum,False,False,3,113.06,132.27,35.14,28.69,20.29,-1.72
Na2S2@NiS2_S,Na2S2,NiS2_S,S–Na–S,Vacuum,False,False,3,113.06,132.27,35.14,28.69,20.29,-1.72
Na2S2@NiS2_S,Na2S2,NiS2_S,S–Na–S,Vacuum,False,False,3,113.06,132.27,35.14,28.69,20.29,-1.72
Na2S2@NiS2_S,Na2S2,NiS2_S,S–Na–S,Vacuum,False,False,3,113.06,132.27,35.14,28.69,20.29,-1.72
Na2S2@NiS2_S,Na2S2,NiS2_S,S–Na–S,Vacuum,False,False,3,113.06,132.27,35.14,28.69,20.29,-1.72
Na2S2@NiS2_S,Na2S2,NiS2_S,S–Na–S,Vacuum,False,False,3,113.06,132.27,35.14,28.69,20.29,-1.72
