name,NaPS,sorbent,Atoms,Mean,solvent,electronic_scf,vdw,Count,Median,Sam. std. dev.,Pop. std. dev.,Std. error,Skewness
Na2S2@graphene,Na2S2,graphene,C–Na–Na,89.99,Vacuum,True,False,22,92.28,28.04,27.39,5.98,-0.01
Na2S2@graphene,Na2S2,graphene,S–Na–Na,41.80,Vacuum,True,False,4,41.81,0.03,0.03,0.02,-1.34
Na2S2@graphene,Na2S2,graphene,S–Na–S,44.99,Vacuum,True,False,2,44.99,0.02,0.02,0.02,nan
Na2S2@graphene,Na2S2,graphene,C–Na–S,118.66,Vacuum,True,False,44,114.50,26.54,26.24,4.00,0.13
Na2S2@graphene,Na2S2,graphene,C–Na–C,51.60,Vacuum,True,False,110,48.22,20.07,19.97,1.91,0.18
Na2S2@graphene,Na2S2,graphene,C–C–C,120.01,Vacuum,True,False,170,120.01,0.08,0.08,0.01,-0.20
Na2S2@graphene,Na2S2,graphene,C–C–Na,89.73,Vacuum,True,False,66,87.22,26.40,26.20,3.25,-0.24
Na2S2@graphene,Na2S2,graphene,Na–C–Na,68.33,Vacuum,True,False,3,68.60,2.53,2.06,1.46,-0.47
Na2S2@graphene,Na2S2,graphene,S–S–Na,67.50,Vacuum,True,False,4,67.51,0.07,0.06,0.03,-0.38
Na2S2@graphene,Na2S2,graphene,Na–S–Na,96.39,Vacuum,True,False,2,96.39,0.02,0.02,0.02,nan
Na2S2@graphene-PC,Na2S2,graphene,C–C–C,120.00,PC,True,False,170,120.00,0.00,0.00,0.00,0.85
Na2S2@graphene-PC,Na2S2,graphene,S–S–Na,75.62,PC,True,False,4,75.63,8.68,7.51,4.34,-0.00
Na2S2@graphene-PC,Na2S2,graphene,Na–S–Na,140.86,PC,True,False,2,140.86,15.30,10.82,10.82,nan
Na2S2@graphene-PC,Na2S2,graphene,S–Na–S,28.76,PC,True,False,2,28.76,0.02,0.01,0.01,nan
Na2S2@graphene-glyme,Na2S2,graphene,C–C–C,120.00,Glyme,True,False,170,120.00,0.06,0.06,0.00,0.00
Na2S2@graphene-glyme,Na2S2,graphene,S–Na–S,42.97,Glyme,True,False,2,42.97,0.11,0.08,0.08,nan
Na2S2@graphene-glyme,Na2S2,graphene,Na–S–Na,125.92,Glyme,True,False,2,125.92,0.24,0.17,0.17,nan
Na2S2@graphene-glyme,Na2S2,graphene,S–S–Na,68.52,Glyme,True,False,4,68.56,0.14,0.12,0.07,-1.01
Na2S2@graphene-glyme,Na2S2,graphene,S–Na–Na,27.04,Glyme,True,False,4,27.05,0.11,0.10,0.06,-0.39
Na2S4@graphene,Na2S4,graphene,Na–C–Na,62.70,Vacuum,False,False,1,62.70,nan,0.00,nan,nan
Na2S4@graphene,Na2S4,graphene,C–C–Na,89.91,Vacuum,False,False,51,93.65,22.77,22.55,3.19,-0.03
Na2S4@graphene,Na2S4,graphene,C–C–C,120.00,Vacuum,False,False,170,120.00,0.06,0.06,0.00,0.01
Na2S4@graphene,Na2S4,graphene,C–Na–C,44.77,Vacuum,False,False,64,43.85,16.34,16.21,2.04,0.27
Na2S4@graphene,Na2S4,graphene,Na–S–Na,72.98,Vacuum,False,False,4,72.98,8.50,7.36,4.25,-0.00
Na2S4@graphene,Na2S4,graphene,C–Na–Na,91.44,Vacuum,False,False,17,89.71,22.13,21.47,5.37,0.13
Na2S4@graphene,Na2S4,graphene,S–Na–S,56.72,Vacuum,False,False,12,52.97,21.18,20.28,6.11,0.46
Na2S4@graphene,Na2S4,graphene,S–Na–Na,53.51,Vacuum,False,False,8,49.99,6.71,6.28,2.37,1.44
Na2S4@graphene,Na2S4,graphene,S–S–S,66.89,Vacuum,False,False,8,61.69,34.72,32.48,12.27,0.20
Na2S4@graphene,Na2S4,graphene,C–Na–S,121.15,Vacuum,False,False,68,121.58,26.37,26.17,3.20,-0.09
Na2S4@graphene,Na2S4,graphene,S–S–Na,64.96,Vacuum,False,False,20,60.36,15.01,14.63,3.36,0.66
Na2S4@graphene-PC,Na2S4,graphene,C–C–C,120.00,PC,True,False,170,120.00,0.01,0.01,0.00,0.08
Na2S4@graphene-PC,Na2S4,graphene,S–S–Na,94.64,PC,True,False,6,92.08,5.97,5.45,2.44,0.81
Na2S4@graphene-PC,Na2S4,graphene,S–S–S,112.04,PC,True,False,2,112.04,0.00,0.00,0.00,nan
Na2S4@graphene-PC,Na2S4,graphene,S–Na–S,48.83,PC,True,False,2,48.83,0.09,0.07,0.07,nan
Na2S4@graphene-glyme,Na2S4,graphene,S–Na–Na,48.80,Glyme,True,False,8,45.75,6.31,5.90,2.23,1.36
Na2S4@graphene-glyme,Na2S4,graphene,S–Na–S,53.94,Glyme,True,False,12,50.83,19.25,18.43,5.56,0.36
Na2S4@graphene-glyme,Na2S4,graphene,Na–S–Na,82.40,Glyme,True,False,4,82.43,9.35,8.10,4.68,-0.00
Na2S4@graphene-glyme,Na2S4,graphene,S–S–Na,65.91,Glyme,True,False,20,61.22,14.86,14.49,3.32,0.67
Na2S4@graphene-glyme,Na2S4,graphene,S–S–S,66.17,Glyme,True,False,8,60.50,33.97,31.78,12.01,0.26
Na2S4@graphene-glyme,Na2S4,graphene,C–C–C,120.00,Glyme,True,False,170,120.00,0.00,0.00,0.00,-0.65
Na2S6@graphene,Na2S6,graphene,S–Na–Na,59.69,Vacuum,True,False,10,47.26,22.56,21.40,7.13,1.39
Na2S6@graphene,Na2S6,graphene,S–Na–S,62.03,Vacuum,True,False,20,67.13,21.43,20.88,4.79,0.02
Na2S6@graphene,Na2S6,graphene,C–Na–Na,85.02,Vacuum,True,False,17,87.19,22.05,21.39,5.35,0.15
Na2S6@graphene,Na2S6,graphene,C–Na–S,119.67,Vacuum,True,False,85,120.23,27.82,27.65,3.02,-0.19
Na2S6@graphene,Na2S6,graphene,C–Na–C,43.42,Vacuum,True,False,64,42.29,15.87,15.75,1.98,0.28
Na2S6@graphene,Na2S6,graphene,Na–S–Na,80.89,Vacuum,True,False,4,80.90,12.42,10.76,6.21,-0.00
Na2S6@graphene,Na2S6,graphene,S–S–Na,76.52,Vacuum,True,False,24,69.90,26.63,26.07,5.44,0.81
Na2S6@graphene,Na2S6,graphene,Na–C–Na,66.36,Vacuum,True,False,2,66.36,1.20,0.85,0.85,nan
Na2S6@graphene,Na2S6,graphene,C–C–Na,89.94,Vacuum,True,False,51,94.32,22.29,22.07,3.12,-0.02
Na2S6@graphene,Na2S6,graphene,C–C–C,120.00,Vacuum,True,False,170,120.00,0.06,0.06,0.00,0.00
Na2S6@graphene,Na2S6,graphene,S–S–S,75.96,Vacuum,True,False,10,98.30,36.19,34.33,11.44,-0.42
Na2S6@graphene-PC,Na2S6,graphene,S–S–S,111.88,PC,True,False,4,111.88,0.36,0.31,0.18,0.01
Na2S6@graphene-PC,Na2S6,graphene,S–S–Na,107.82,PC,True,False,6,107.48,3.67,3.35,1.50,0.75
Na2S6@graphene-PC,Na2S6,graphene,S–Na–S,63.07,PC,True,False,2,63.07,0.31,0.22,0.22,nan
