name,NaPS,sorbent,Atoms,Mean,solvent,electronic_scf,vdw,Count,Median,Sam. std. dev.,Pop. std. dev.,Std. error,Skewness
Na2S2@graphene_vdw,Na2S2,graphene_vdw,C–C–C,120.01,Vacuum,True,True,170,120.01,0.08,0.08,0.01,-0.18
Na2S2@graphene_vdw,Na2S2,graphene_vdw,C–C–Na,89.78,Vacuum,True,True,57,88.15,24.77,24.55,3.28,-0.13
Na2S2@graphene_vdw,Na2S2,graphene_vdw,S–S–Na,67.40,Vacuum,True,True,4,67.39,0.20,0.18,0.10,0.04
Na2S2@graphene_vdw,Na2S2,graphene_vdw,Na–S–Na,105.96,Vacuum,True,True,2,105.96,0.28,0.20,0.20,nan
Na2S2@graphene_vdw,Na2S2,graphene_vdw,C–Na–C,49.02,Vacuum,True,True,81,47.40,18.41,18.29,2.05,0.20
Na2S2@graphene_vdw,Na2S2,graphene_vdw,C–Na–S,117.99,Vacuum,True,True,38,116.09,24.00,23.68,3.89,0.09
Na2S2@graphene_vdw,Na2S2,graphene_vdw,C–Na–Na,94.18,Vacuum,True,True,19,95.56,24.00,23.36,5.51,-0.02
Na2S2@graphene_vdw,Na2S2,graphene_vdw,S–Na–S,45.20,Vacuum,True,True,2,45.20,0.04,0.03,0.03,nan
Na2S2@graphene_vdw,Na2S2,graphene_vdw,S–Na–Na,37.02,Vacuum,True,True,4,37.02,0.12,0.10,0.06,0.07
Na2S4@graphene_vdw,Na2S4,graphene_vdw,S–Na–Na,51.45,Vacuum,False,True,8,48.14,6.39,5.98,2.26,1.43
Na2S4@graphene_vdw,Na2S4,graphene_vdw,S–Na–S,56.84,Vacuum,False,True,12,53.29,20.74,19.86,5.99,0.40
Na2S4@graphene_vdw,Na2S4,graphene_vdw,C–Na–Na,90.18,Vacuum,False,True,17,88.25,22.01,21.36,5.34,0.15
Na2S4@graphene_vdw,Na2S4,graphene_vdw,C–Na–S,118.33,Vacuum,False,True,68,118.65,26.64,26.44,3.23,-0.06
Na2S4@graphene_vdw,Na2S4,graphene_vdw,C–Na–C,44.40,Vacuum,False,True,64,43.34,16.21,16.09,2.03,0.27
Na2S4@graphene_vdw,Na2S4,graphene_vdw,S–S–Na,70.83,Vacuum,False,True,12,69.10,14.81,14.18,4.28,0.20
Na2S4@graphene_vdw,Na2S4,graphene_vdw,Na–S–Na,77.11,Vacuum,False,True,4,77.10,8.54,7.39,4.27,0.00
Na2S4@graphene_vdw,Na2S4,graphene_vdw,Na–C–Na,64.35,Vacuum,False,True,1,64.35,nan,0.00,nan,nan
Na2S4@graphene_vdw,Na2S4,graphene_vdw,C–C–Na,89.87,Vacuum,False,True,51,92.92,22.46,22.24,3.15,-0.03
Na2S4@graphene_vdw,Na2S4,graphene_vdw,C–C–C,120.00,Vacuum,False,True,170,120.00,0.06,0.06,0.00,0.11
Na2S4@graphene_vdw,Na2S4,graphene_vdw,S–S–S,109.43,Vacuum,False,True,2,109.43,0.03,0.02,0.02,nan
Na2S6@graphene_vdw,Na2S6,graphene_vdw,C–Na–C,41.99,Vacuum,True,True,49,42.04,14.86,14.70,2.12,0.28
Na2S6@graphene_vdw,Na2S6,graphene_vdw,S–Na–Na,56.83,Vacuum,True,True,10,46.14,21.94,20.82,6.94,1.42
Na2S6@graphene_vdw,Na2S6,graphene_vdw,C–Na–Na,85.70,Vacuum,True,True,15,87.09,21.39,20.67,5.52,0.21
Na2S6@graphene_vdw,Na2S6,graphene_vdw,C–Na–S,117.82,Vacuum,True,True,75,118.84,28.72,28.53,3.32,-0.11
Na2S6@graphene_vdw,Na2S6,graphene_vdw,Na–S–Na,86.19,Vacuum,True,True,4,86.18,12.55,10.87,6.28,0.00
Na2S6@graphene_vdw,Na2S6,graphene_vdw,S–Na–S,62.74,Vacuum,True,True,20,68.67,21.75,21.20,4.86,0.11
Na2S6@graphene_vdw,Na2S6,graphene_vdw,S–S–S,75.76,Vacuum,True,True,10,97.95,35.98,34.13,11.38,-0.42
Na2S6@graphene_vdw,Na2S6,graphene_vdw,Na–C–Na,67.52,Vacuum,True,True,1,67.52,nan,0.00,nan,nan
Na2S6@graphene_vdw,Na2S6,graphene_vdw,C–C–Na,89.84,Vacuum,True,True,45,94.02,21.15,20.92,3.15,-0.07
Na2S6@graphene_vdw,Na2S6,graphene_vdw,S–S–Na,76.94,Vacuum,True,True,24,69.15,27.29,26.71,5.57,0.98
Na2S6@graphene_vdw,Na2S6,graphene_vdw,C–C–C,120.00,Vacuum,True,True,170,120.00,0.06,0.06,0.00,0.03
Na2S8@graphene-glyme-vdw,Na2S8,graphene,C–Na–Na,137.15,Glyme,True,True,6,140.22,15.03,13.72,6.13,-0.39
Na2S8@graphene-glyme-vdw,Na2S8,graphene,C–Na–S,99.74,Glyme,True,True,48,97.70,21.62,21.39,3.12,0.52
Na2S8@graphene-glyme-vdw,Na2S8,graphene,C–Na–C,36.92,Glyme,True,True,15,38.81,12.59,12.16,3.25,0.34
Na2S8@graphene-glyme-vdw,Na2S8,graphene,S–Na–Na,67.90,Glyme,True,True,13,59.73,26.46,25.42,7.34,1.14
Na2S8@graphene-glyme-vdw,Na2S8,graphene,S–Na–S,84.74,Glyme,True,True,38,76.02,47.05,46.43,7.63,0.44
Na2S8@graphene-glyme-vdw,Na2S8,graphene,Na–S–Na,69.62,Glyme,True,True,5,65.27,11.23,10.05,5.02,0.08
Na2S8@graphene-glyme-vdw,Na2S8,graphene,S–S–Na,70.66,Glyme,True,True,26,71.11,22.37,21.94,4.39,0.44
Na2S8@graphene-glyme-vdw,Na2S8,graphene,S–S–S,76.08,Glyme,True,True,10,86.90,37.06,35.16,11.72,-0.25
Na2S8@graphene-glyme-vdw,Na2S8,graphene,C–C–Na,89.87,Glyme,True,True,18,94.75,18.38,17.86,4.33,-0.47
Na2S8@graphene-glyme-vdw,Na2S8,graphene,C–C–C,120.00,Glyme,True,True,170,120.00,0.00,0.00,0.00,0.15
Na2S8@graphene-vdw,Na2S8,graphene,C–Na–S,112.44,Vacuum,True,True,88,112.66,28.36,28.20,3.02,-0.02
Na2S8@graphene-vdw,Na2S8,graphene,C–Na–Na,132.34,Vacuum,True,True,11,128.99,21.10,20.11,6.36,0.04
Na2S8@graphene-vdw,Na2S8,graphene,C–Na–C,49.00,Vacuum,True,True,55,46.40,18.95,18.77,2.55,0.22
Na2S8@graphene-vdw,Na2S8,graphene,S–Na–Na,61.42,Vacuum,True,True,15,57.71,14.87,14.36,3.84,0.76
Na2S8@graphene-vdw,Na2S8,graphene,S–Na–S,82.23,Vacuum,True,True,49,84.85,35.39,35.03,5.06,0.19
Na2S8@graphene-vdw,Na2S8,graphene,C–C–Na,90.03,Vacuum,True,True,33,91.01,25.35,24.97,4.41,0.04
Na2S8@graphene-vdw,Na2S8,graphene,S–S–Na,70.98,Vacuum,True,True,33,64.48,20.86,20.54,3.63,0.32
Na2S8@graphene-vdw,Na2S8,graphene,S–S–S,70.09,Vacuum,True,True,13,75.91,35.00,33.63,9.71,0.03
Na2S8@graphene-vdw,Na2S8,graphene,C–C–C,120.00,Vacuum,True,True,170,120.00,0.00,0.00,0.00,0.15
Na2S8@graphene-vdw,Na2S8,graphene,Na–S–Na,61.31,Vacuum,True,True,7,57.23,9.18,8.50,3.47,0.93
Na2S@graphene_vdw,Na2S,graphene_vdw,C–Na–Na,88.39,Vacuum,True,True,20,85.85,25.22,24.59,5.64,0.10
Na2S@graphene_vdw,Na2S,graphene_vdw,C–C–C,120.01,Vacuum,True,True,170,120.00,0.08,0.08,0.01,-0.31
Na2S@graphene_vdw,Na2S,graphene_vdw,C–C–Na,89.89,Vacuum,True,True,60,91.21,24.44,24.23,3.15,-0.03
Na2S@graphene_vdw,Na2S,graphene_vdw,Na–C–Na,71.68,Vacuum,True,True,2,71.68,3.01,2.13,2.13,nan
Na2S@graphene_vdw,Na2S,graphene_vdw,Na–S–Na,112.82,Vacuum,True,True,1,112.82,nan,0.00,nan,nan
Na2S@graphene_vdw,Na2S,graphene_vdw,C–Na–C,48.40,Vacuum,True,True,91,45.71,18.38,18.28,1.93,0.24
Na2S@graphene_vdw,Na2S,graphene_vdw,C–Na–S,118.17,Vacuum,True,True,20,115.79,24.45,23.83,5.47,0.24
Na2S@graphene_vdw,Na2S,graphene_vdw,S–Na–Na,33.59,Vacuum,True,True,2,33.59,0.02,0.02,0.02,nan
