name,NaPS,sorbent,Atoms,Mean,solvent,electronic_scf,vdw,Count,Median,Sam. std. dev.,Pop. std. dev.,Std. error,Skewness
Na2S2@FeN4-glyme-vdw,Na2S2,FeN4_vdw,S–S–Na,68.26,Glyme,False,True,4,68.19,3.47,3.00,1.73,0.07
Na2S2@FeN4-glyme-vdw,Na2S2,FeN4_vdw,Na–S–Na,133.83,Glyme,False,True,2,133.83,7.57,5.35,5.35,nan
Na2S2@FeN4-glyme-vdw,Na2S2,FeN4_vdw,S–Na–S,43.48,Glyme,False,True,2,43.48,0.21,0.15,0.15,nan
Na2S2@FeN4-vdw,Na2S2,FeN4_vdw,S–S–Na,67.06,Vacuum,True,True,4,67.02,2.70,2.34,1.35,0.04
Na2S2@FeN4-vdw,Na2S2,FeN4_vdw,Na–S–Na,130.23,Vacuum,True,True,2,130.23,5.87,4.15,4.15,nan
Na2S2@FeN4-vdw,Na2S2,FeN4_vdw,S–Na–S,45.88,Vacuum,True,True,2,45.88,0.11,0.08,0.08,nan
Na2S4@FeN4-PC-vdw,Na2S4,FeN4_vdw,S–S–S,114.01,PC,False,True,2,114.01,1.66,1.18,1.18,nan
Na2S4@FeN4-glyme-vdw,Na2S4,FeN4_vdw,S–S–S,110.46,Glyme,False,True,2,110.46,1.96,1.39,1.39,nan
Na2S4@FeN4-glyme-vdw,Na2S4,FeN4_vdw,S–S–Na,82.56,Glyme,False,True,2,82.56,11.46,8.10,8.10,nan
Na2S4@FeN4-glyme-vdw,Na2S4,FeN4_vdw,Na–S–Na,147.15,Glyme,False,True,1,147.15,nan,0.00,nan,nan
Na2S4@FeN4-vdw,Na2S4,FeN4_vdw,S–S–Na,82.00,Vacuum,True,True,3,80.67,5.53,4.52,3.19,1.02
Na2S4@FeN4-vdw,Na2S4,FeN4_vdw,S–S–S,110.45,Vacuum,True,True,2,110.45,1.42,1.00,1.00,nan
Na2S4@FeN4-vdw,Na2S4,FeN4_vdw,Na–S–Na,103.65,Vacuum,True,True,1,103.65,nan,0.00,nan,nan
Na2S4@FeN4-vdw,Na2S4,FeN4_vdw,S–Na–S,103.83,Vacuum,True,True,1,103.83,nan,0.00,nan,nan
Na2S6@FeN4-PC-vdw,Na2S6,FeN4_vdw,S–S–S,113.98,PC,False,True,2,113.98,0.09,0.06,0.06,nan
Na2S6@FeN4-glyme-vdw,Na2S6,FeN4_vdw,Na–S–Na,103.66,Glyme,False,True,2,103.66,0.20,0.14,0.14,nan
Na2S6@FeN4-glyme-vdw,Na2S6,FeN4_vdw,S–Na–S,81.67,Glyme,False,True,6,74.87,14.68,13.40,5.99,0.86
Na2S6@FeN4-glyme-vdw,Na2S6,FeN4_vdw,S–S–Na,87.09,Glyme,False,True,6,81.45,8.87,8.10,3.62,0.97
Na2S6@FeN4-glyme-vdw,Na2S6,FeN4_vdw,S–S–S,111.61,Glyme,False,True,2,111.61,0.05,0.03,0.03,nan
Na2S6@FeN4-vdw,Na2S6,FeN4_vdw,S–S–Na,87.51,Vacuum,True,True,6,81.18,11.34,10.35,4.63,0.94
Na2S6@FeN4-vdw,Na2S6,FeN4_vdw,S–S–S,111.67,Vacuum,True,True,2,111.67,0.01,0.01,0.01,nan
Na2S6@FeN4-vdw,Na2S6,FeN4_vdw,Na–S–Na,88.77,Vacuum,True,True,2,88.77,0.06,0.04,0.04,nan
Na2S6@FeN4-vdw,Na2S6,FeN4_vdw,S–Na–S,85.44,Vacuum,True,True,6,85.28,11.74,10.72,4.79,0.03
Na2S8@FeN4-PC-vdw,Na2S8,FeN4_vdw,S–S–S,112.60,PC,False,True,4,112.45,1.60,1.39,0.80,0.53
Na2S8@FeN4-glyme-vdw,Na2S8,FeN4_vdw,S–Na–S,107.41,Glyme,False,True,6,97.65,34.39,31.39,14.04,0.45
Na2S8@FeN4-glyme-vdw,Na2S8,FeN4_vdw,S–Na–Na,70.57,Glyme,False,True,5,64.93,20.75,18.56,9.28,0.52
Na2S8@FeN4-glyme-vdw,Na2S8,FeN4_vdw,Na–S–Na,76.17,Glyme,False,True,1,76.17,nan,0.00,nan,nan
Na2S8@FeN4-glyme-vdw,Na2S8,FeN4_vdw,S–S–Na,90.88,Glyme,False,True,6,87.75,12.39,11.31,5.06,0.21
Na2S8@FeN4-glyme-vdw,Na2S8,FeN4_vdw,S–S–S,111.13,Glyme,False,True,4,112.26,3.45,2.99,1.73,-1.62
Na2S8@FeN4-vdw,Na2S8,FeN4_vdw,S–S–S,111.57,Vacuum,True,True,4,112.79,2.80,2.43,1.40,-1.95
Na2S8@FeN4-vdw,Na2S8,FeN4_vdw,S–S–Na,92.71,Vacuum,True,True,7,88.41,13.75,12.73,5.20,-0.06
Na2S8@FeN4-vdw,Na2S8,FeN4_vdw,Na–S–Na,66.72,Vacuum,True,True,1,66.72,nan,0.00,nan,nan
Na2S8@FeN4-vdw,Na2S8,FeN4_vdw,S–Na–S,100.31,Vacuum,True,True,6,103.28,22.80,20.82,9.31,0.33
Na2S8@FeN4-vdw,Na2S8,FeN4_vdw,S–Na–Na,68.41,Vacuum,True,True,6,61.15,15.49,14.14,6.32,1.21
Na2S@FeN4-glyme-vdw,Na2S,FeN4_vdw,Na–S–Na,155.47,Glyme,False,True,1,155.47,nan,0.00,nan,nan
Na2S@FeN4-vdw,Na2S,FeN4_vdw,Na–S–Na,116.28,Vacuum,True,True,1,116.28,nan,0.00,nan,nan
