name,NaPS,sorbent,Atoms,Mean,solvent,electronic_scf,vdw,Count,Median,Sam. std. dev.,Pop. std. dev.,Std. error,Skewness
Na2S2@FeN4,Na2S2,FeN4,S–S–Na,67.19,Vacuum,True,False,4,66.99,3.55,3.07,1.77,0.25
Na2S2@FeN4,Na2S2,FeN4,Na–S–Na,127.23,Vacuum,True,False,2,127.23,6.70,4.74,4.74,nan
Na2S2@FeN4,Na2S2,FeN4,S–Na–S,45.62,Vacuum,True,False,2,45.62,0.56,0.39,0.39,nan
Na2S2@FeN4-glyme,Na2S2,FeN4,S–S–Na,68.29,Glyme,False,False,4,68.21,3.66,3.17,1.83,0.02
Na2S2@FeN4-glyme,Na2S2,FeN4,Na–S–Na,131.19,Glyme,False,False,2,131.19,7.83,5.54,5.54,nan
Na2S2@FeN4-glyme,Na2S2,FeN4,S–Na–S,43.42,Glyme,False,False,2,43.42,0.22,0.16,0.16,nan
Na2S4@FeN4,Na2S4,FeN4,S–Na–S,105.60,Vacuum,True,False,1,105.60,nan,0.00,nan,nan
Na2S4@FeN4,Na2S4,FeN4,Na–S–Na,99.47,Vacuum,True,False,1,99.47,nan,0.00,nan,nan
Na2S4@FeN4,Na2S4,FeN4,S–S–S,110.61,Vacuum,True,False,2,110.61,1.56,1.10,1.10,nan
Na2S4@FeN4,Na2S4,FeN4,S–S–Na,81.69,Vacuum,True,False,3,82.56,5.12,4.18,2.96,-0.75
Na2S4@FeN4-PC,Na2S4,FeN4,S–S–S,114.10,PC,False,False,2,114.10,2.09,1.48,1.48,nan
Na2S4@FeN4-glyme,Na2S4,FeN4,S–Na–S,97.53,Glyme,False,False,1,97.53,nan,0.00,nan,nan
Na2S4@FeN4-glyme,Na2S4,FeN4,Na–S–Na,128.49,Glyme,False,False,1,128.49,nan,0.00,nan,nan
Na2S4@FeN4-glyme,Na2S4,FeN4,S–S–S,110.28,Glyme,False,False,2,110.28,1.60,1.13,1.13,nan
Na2S4@FeN4-glyme,Na2S4,FeN4,S–S–Na,81.78,Glyme,False,False,3,82.03,7.75,6.33,4.47,-0.14
Na2S6@FeN4,Na2S6,FeN4,S–Na–S,83.75,Vacuum,True,False,6,86.28,9.08,8.29,3.71,-0.59
Na2S6@FeN4,Na2S6,FeN4,Na–S–Na,82.50,Vacuum,True,False,2,82.50,0.04,0.03,0.03,nan
Na2S6@FeN4,Na2S6,FeN4,S–S–S,111.85,Vacuum,True,False,2,111.85,0.04,0.02,0.02,nan
Na2S6@FeN4,Na2S6,FeN4,S–S–Na,89.12,Vacuum,True,False,6,82.00,12.10,11.04,4.94,0.96
Na2S6@FeN4-PC,Na2S6,FeN4,S–S–S,111.71,PC,False,False,4,111.70,0.72,0.62,0.36,0.01
Na2S6@FeN4-glyme,Na2S6,FeN4,S–Na–S,70.44,Glyme,False,False,1,70.44,nan,0.00,nan,nan
Na2S6@FeN4-glyme,Na2S6,FeN4,S–S–S,111.91,Glyme,False,False,2,111.91,0.10,0.07,0.07,nan
Na2S6@FeN4-glyme,Na2S6,FeN4,S–S–Na,83.75,Glyme,False,False,3,83.87,1.05,0.85,0.60,-0.48
Na2S8@FeN4,Na2S8,FeN4,S–S–S,111.27,Vacuum,False,False,4,112.34,3.07,2.66,1.54,-1.69
Na2S8@FeN4,Na2S8,FeN4,S–S–Na,91.43,Vacuum,False,False,5,88.32,13.79,12.33,6.17,-0.32
Na2S8@FeN4,Na2S8,FeN4,Na–S–Na,70.60,Vacuum,False,False,1,70.60,nan,0.00,nan,nan
Na2S8@FeN4,Na2S8,FeN4,S–Na–S,88.37,Vacuum,False,False,4,90.82,14.68,12.71,7.34,-0.59
Na2S8@FeN4,Na2S8,FeN4,S–Na–Na,65.27,Vacuum,False,False,5,58.12,18.69,16.72,8.36,2.13
Na2S8@FeN4-PC,Na2S8,FeN4,S–S–S,112.19,PC,False,False,4,112.09,1.57,1.36,0.79,0.39
Na2S8@FeN4-glyme,Na2S8,FeN4,S–S–S,110.52,Glyme,False,False,6,111.30,4.11,3.75,1.68,-1.22
Na2S8@FeN4-glyme,Na2S8,FeN4,S–S–Na,102.03,Glyme,False,False,4,98.37,15.15,13.12,7.57,1.33
Na2S8@FeN4-glyme,Na2S8,FeN4,Na–S–Na,85.99,Glyme,False,False,2,85.99,0.06,0.04,0.04,nan
Na2S8@FeN4-glyme,Na2S8,FeN4,S–Na–S,89.78,Glyme,False,False,2,89.78,3.74,2.64,2.64,nan
Na2S@FeN4,Na2S,FeN4,Na–S–Na,108.53,Vacuum,True,False,1,108.53,nan,0.00,nan,nan
Na2S@FeN4-glyme,Na2S,FeN4,Na–S–Na,108.58,Glyme,True,False,1,108.58,nan,0.00,nan,nan
