name,NaPS,sorbent,Atoms,Mean,solvent,electronic_scf,vdw,Count,Median,Sam. std. dev.,Pop. std. dev.,Std. error,Skewness
Na2S2@N_graphene-PC-vdw,Na2S2,N_graphene,S–S–Na,74.62,PC,True,True,4,74.61,1.16,1.00,0.58,0.06
Na2S2@N_graphene-PC-vdw,Na2S2,N_graphene,Na–S–Na,147.05,PC,True,True,2,147.05,2.40,1.70,1.70,nan
Na2S2@N_graphene-PC-vdw,Na2S2,N_graphene,S–Na–S,30.76,PC,True,True,2,30.76,0.04,0.03,0.03,nan
Na2S2@N_graphene-glyme-vdw,Na2S2,N_graphene,S–S–Na,68.21,Glyme,True,True,4,68.22,0.34,0.30,0.17,-0.16
Na2S2@N_graphene-glyme-vdw,Na2S2,N_graphene,Na–S–Na,136.41,Glyme,True,True,2,136.41,0.28,0.19,0.19,nan
Na2S2@N_graphene-glyme-vdw,Na2S2,N_graphene,S–Na–S,43.59,Glyme,True,True,2,43.59,0.04,0.03,0.03,nan
Na2S2@N_graphene-glyme-vdw,Na2S2,N_graphene,S–Na–Na,21.80,Glyme,True,True,4,21.81,0.12,0.11,0.06,-0.53
Na2S2@N_graphene-vdw,Na2S2,N_graphene,S–S–Na,67.20,Vacuum,True,True,4,67.25,0.30,0.26,0.15,-0.73
Na2S2@N_graphene-vdw,Na2S2,N_graphene,Na–S–Na,114.09,Vacuum,True,True,2,114.09,0.43,0.30,0.30,nan
Na2S2@N_graphene-vdw,Na2S2,N_graphene,S–Na–S,45.61,Vacuum,True,True,2,45.61,0.16,0.11,0.11,nan
Na2S2@N_graphene-vdw,Na2S2,N_graphene,S–Na–Na,32.96,Vacuum,True,True,4,32.98,0.20,0.18,0.10,-0.61
Na2S4@N_graphene-PC-vdw,Na2S4,N_graphene,S–Na–S,49.96,PC,True,True,4,53.41,14.02,12.14,7.01,-1.36
Na2S4@N_graphene-PC-vdw,Na2S4,N_graphene,Na–S–Na,123.35,PC,True,True,1,123.35,nan,0.00,nan,nan
Na2S4@N_graphene-PC-vdw,Na2S4,N_graphene,S–S–S,112.35,PC,True,True,2,112.35,0.18,0.13,0.13,nan
Na2S4@N_graphene-PC-vdw,Na2S4,N_graphene,S–S–Na,88.29,PC,True,True,7,91.95,10.79,9.99,4.08,-1.86
Na2S4@N_graphene-glyme-vdw,Na2S4,N_graphene,S–Na–S,52.76,Glyme,True,True,12,52.28,16.75,16.04,4.84,0.09
Na2S4@N_graphene-glyme-vdw,Na2S4,N_graphene,S–S–S,106.77,Glyme,True,True,2,106.77,0.07,0.05,0.05,nan
Na2S4@N_graphene-glyme-vdw,Na2S4,N_graphene,Na–S–Na,93.35,Glyme,True,True,4,93.27,12.41,10.74,6.20,0.00
Na2S4@N_graphene-glyme-vdw,Na2S4,N_graphene,S–S–Na,71.51,Glyme,True,True,12,70.43,13.05,12.50,3.77,0.14
Na2S4@N_graphene-glyme-vdw,Na2S4,N_graphene,S–Na–Na,43.33,Glyme,True,True,8,43.14,5.75,5.38,2.03,0.01
Na2S4@N_graphene-vdw,Na2S4,N_graphene,S–S–Na,70.66,Vacuum,True,True,12,68.83,14.58,13.96,4.21,0.22
Na2S4@N_graphene-vdw,Na2S4,N_graphene,Na–S–Na,77.99,Vacuum,True,True,4,77.84,8.14,7.05,4.07,0.01
