name,NaPS,sorbent,Atoms,Mean,solvent,electronic_scf,vdw,Count,Median,Sam. std. dev.,Pop. std. dev.,Std. error,Skewness
Na2S2@N_graphene-glyme-vdw,Na2S2,N_graphene_vdw,S–S–Na,68.21,Glyme,True,True,4,68.22,0.34,0.30,0.17,-0.16
Na2S2@N_graphene-glyme-vdw,Na2S2,N_graphene_vdw,Na–S–Na,136.41,Glyme,True,True,2,136.41,0.28,0.19,0.19,nan
Na2S2@N_graphene-glyme-vdw,Na2S2,N_graphene_vdw,S–Na–S,43.59,Glyme,True,True,2,43.59,0.04,0.03,0.03,nan
Na2S2@N_graphene-vdw,Na2S2,N_graphene_vdw,S–S–Na,67.20,Vacuum,True,True,4,67.25,0.30,0.26,0.15,-0.73
Na2S2@N_graphene-vdw,Na2S2,N_graphene_vdw,Na–S–Na,114.09,Vacuum,True,True,2,114.09,0.43,0.30,0.30,nan
Na2S2@N_graphene-vdw,Na2S2,N_graphene_vdw,S–Na–S,45.61,Vacuum,True,True,2,45.61,0.16,0.11,0.11,nan
Na2S4@N_graphene-PC-vdw,Na2S4,N_graphene_vdw,S–S–S,112.35,PC,True,True,2,112.35,0.18,0.13,0.13,nan
Na2S4@N_graphene-glyme-vdw,Na2S4,N_graphene_vdw,S–S–Na,87.26,Glyme,True,True,4,87.26,0.95,0.82,0.47,-0.01
Na2S4@N_graphene-glyme-vdw,Na2S4,N_graphene_vdw,Na–S–Na,104.09,Glyme,True,True,2,104.09,0.37,0.26,0.26,nan
Na2S4@N_graphene-glyme-vdw,Na2S4,N_graphene_vdw,S–Na–S,73.86,Glyme,True,True,2,73.86,0.04,0.03,0.03,nan
Na2S4@N_graphene-vdw,Na2S4,N_graphene_vdw,S–S–Na,79.72,Vacuum,True,True,6,79.45,10.70,9.77,4.37,-0.14
Na2S4@N_graphene-vdw,Na2S4,N_graphene_vdw,Na–S–Na,85.02,Vacuum,True,True,2,85.02,0.62,0.44,0.44,nan
Na2S4@N_graphene-vdw,Na2S4,N_graphene_vdw,S–S–S,109.23,Vacuum,True,True,2,109.23,0.12,0.08,0.08,nan
Na2S4@N_graphene-vdw,Na2S4,N_graphene_vdw,S–Na–S,73.47,Vacuum,True,True,4,81.36,21.91,18.97,10.95,-1.45
Na2S6@N_graphene-PC-vdw,Na2S6,N_graphene_vdw,S–S–S,114.14,PC,True,True,2,114.14,0.10,0.07,0.07,nan
Na2S6@N_graphene-glyme-vdw,Na2S6,N_graphene_vdw,S–Na–S,83.45,Glyme,True,True,3,75.63,15.86,12.95,9.16,1.68
Na2S6@N_graphene-glyme-vdw,Na2S6,N_graphene_vdw,S–S–Na,86.56,Glyme,True,True,3,81.02,10.61,8.66,6.12,1.71
Na2S6@N_graphene-glyme-vdw,Na2S6,N_graphene_vdw,S–S–S,111.71,Glyme,True,True,2,111.71,0.08,0.05,0.05,nan
Na2S6@N_graphene-vdw,Na2S6,N_graphene_vdw,S–S–Na,86.77,Vacuum,False,True,6,81.39,10.21,9.32,4.17,0.92
Na2S6@N_graphene-vdw,Na2S6,N_graphene_vdw,S–S–S,111.24,Vacuum,False,True,2,111.24,0.03,0.02,0.02,nan
Na2S6@N_graphene-vdw,Na2S6,N_graphene_vdw,Na–S–Na,96.62,Vacuum,False,True,2,96.62,0.32,0.22,0.22,nan
Na2S6@N_graphene-vdw,Na2S6,N_graphene_vdw,S–Na–S,84.98,Vacuum,False,True,6,80.74,13.54,12.36,5.53,0.65
Na2S8@N_graphene,Na2S8,N_graphene,S–S–Na,90.69,Vacuum,True,True,7,89.38,4.82,4.46,1.82,0.44
Na2S8@N_graphene,Na2S8,N_graphene,Na–S–Na,77.29,Vacuum,True,True,2,77.29,0.26,0.18,0.18,nan
Na2S8@N_graphene,Na2S8,N_graphene,S–S–S,112.33,Vacuum,True,True,2,112.33,0.71,0.50,0.50,nan
Na2S8@N_graphene,Na2S8,N_graphene,S–Na–S,102.68,Vacuum,True,True,9,94.72,31.46,29.66,10.49,1.67
Na2S8@N_graphene,Na2S8,N_graphene,S–Na–Na,66.93,Vacuum,True,True,7,53.56,19.53,18.08,7.38,0.36
Na2S8@N_graphene-PC-vdw,Na2S8,N_graphene_vdw,S–S–S,112.77,PC,False,True,4,112.80,1.37,1.18,0.68,-0.12
Na2S8@N_graphene-glyme-vdw,Na2S8,N_graphene_vdw,Na–S–Na,90.04,Glyme,False,True,1,90.04,nan,0.00,nan,nan
Na2S8@N_graphene-glyme-vdw,Na2S8,N_graphene_vdw,S–S–S,110.29,Glyme,False,True,4,110.77,3.19,2.76,1.59,-0.55
Na2S8@N_graphene-glyme-vdw,Na2S8,N_graphene_vdw,S–S–Na,90.96,Glyme,False,True,5,88.01,4.91,4.39,2.19,0.89
Na2S8@N_graphene-glyme-vdw,Na2S8,N_graphene_vdw,S–Na–S,104.39,Glyme,False,True,6,95.41,33.57,30.64,13.70,1.77
Na2S@N_graphene-glyme-vdw,Na2S,N_graphene_vdw,Na–S–Na,167.59,Glyme,False,True,1,167.59,nan,0.00,nan,nan
Na2S@N_graphene-vdw,Na2S,N_graphene_vdw,Na–S–Na,133.12,Vacuum,False,True,1,133.12,nan,0.00,nan,nan
