name,NaPS,sorbent,Atoms,Mean,solvent,electronic_scf,vdw,Count,Median,Sam. std. dev.,Pop. std. dev.,Std. error,Skewness
Na2S2@NiS2,Na2S2,NiS2,S–S–Na,66.54,Vacuum,False,False,4,66.23,2.81,2.44,1.41,0.61
Na2S2@NiS2,Na2S2,NiS2,Na–S–Na,133.06,Vacuum,False,False,2,133.06,5.61,3.97,3.97,nan
Na2S2@NiS2,Na2S2,NiS2,S–Na–S,46.92,Vacuum,False,False,2,46.92,0.88,0.62,0.62,nan
Na2S2@NiS2,Na2S2,NiS2,S–Na–Na,23.47,Vacuum,False,False,4,23.19,2.34,2.03,1.17,0.22
Na2S2@NiS2-glyme,Na2S2,NiS2,S–Na–Na,37.22,Glyme,False,False,4,33.42,9.88,8.56,4.94,1.81
Na2S2@NiS2-glyme,Na2S2,NiS2,S–Na–S,38.12,Glyme,False,False,2,38.12,8.29,5.86,5.86,nan
Na2S2@NiS2-glyme,Na2S2,NiS2,S–S–Na,70.94,Glyme,False,False,4,68.01,20.47,17.73,10.24,0.84
Na2S2@NiS2-glyme,Na2S2,NiS2,Na–S–Na,105.55,Glyme,False,False,2,105.55,16.81,11.89,11.89,nan
Na2S4@NiS2,Na2S4,NiS2,S–S–S,101.71,Vacuum,False,False,2,101.71,14.90,10.54,10.54,nan
Na2S4@NiS2,Na2S4,NiS2,S–Na–S,70.28,Vacuum,False,False,12,73.16,25.24,24.17,7.29,-0.18
Na2S4@NiS2,Na2S4,NiS2,S–Na–Na,52.52,Vacuum,False,False,8,49.83,4.87,4.55,1.72,0.70
Na2S4@NiS2,Na2S4,NiS2,Na–S–Na,74.96,Vacuum,False,False,4,77.24,8.46,7.33,4.23,-0.93
Na2S4@NiS2,Na2S4,NiS2,S–S–Na,66.27,Vacuum,False,False,12,64.46,13.11,12.55,3.79,0.57
Na2S4@NiS2-glyme,Na2S4,NiS2,S–Na–S,47.92,Glyme,False,False,7,33.99,22.54,20.87,8.52,1.19
Na2S4@NiS2-glyme,Na2S4,NiS2,S–S–Na,79.18,Glyme,False,False,15,78.17,28.87,27.90,7.46,0.15
Na2S4@NiS2-glyme,Na2S4,NiS2,Na–S–Na,123.39,Glyme,False,False,2,123.39,42.89,30.33,30.33,nan
Na2S4@NiS2-glyme,Na2S4,NiS2,S–S–S,68.09,Glyme,False,False,8,64.59,34.32,32.11,12.14,0.10
Na2S6@NiS2,Na2S6,NiS2,S–S–Na,73.54,Vacuum,False,False,5,67.27,14.62,13.08,6.54,2.20
Na2S6@NiS2,Na2S6,NiS2,Na–S–Na,133.92,Vacuum,False,False,2,133.92,2.02,1.43,1.43,nan
Na2S6@NiS2,Na2S6,NiS2,S–Na–S,88.80,Vacuum,False,False,7,96.07,41.35,38.28,15.63,0.23
Na2S6@NiS2,Na2S6,NiS2,S–Na–Na,51.46,Vacuum,False,False,6,23.76,48.96,44.70,19.99,1.70
Na2S6@NiS2-PC,Na2S6,NiS2,S–Na–S,62.40,PC,False,False,3,73.49,28.86,23.56,16.66,-1.47
Na2S6@NiS2-PC,Na2S6,NiS2,Na–S–Na,92.13,PC,False,False,1,92.13,nan,0.00,nan,nan
Na2S6@NiS2-PC,Na2S6,NiS2,S–S–Na,91.65,PC,False,False,6,89.97,17.19,15.70,7.02,0.78
Na2S6@NiS2-PC,Na2S6,NiS2,S–S–S,160.42,PC,False,False,1,160.42,nan,0.00,nan,nan
Na2S6@NiS2-glyme,Na2S6,NiS2,S–S–Na,75.64,Glyme,False,False,5,69.80,19.26,17.23,8.61,-0.08
Na2S6@NiS2-glyme,Na2S6,NiS2,Na–S–Na,103.25,Glyme,False,False,2,103.25,14.24,10.07,10.07,nan
Na2S6@NiS2-glyme,Na2S6,NiS2,S–Na–Na,65.58,Glyme,False,False,6,43.41,43.83,40.01,17.89,1.09
Na2S6@NiS2-glyme,Na2S6,NiS2,S–Na–S,79.10,Glyme,False,False,7,91.19,36.25,33.56,13.70,-0.11
Na2S8@NiS2,Na2S8,NiS2,Na–S–Na,75.29,Vacuum,False,False,3,75.25,11.96,9.76,6.90,0.01
Na2S8@NiS2,Na2S8,NiS2,S–S–Na,84.03,Vacuum,False,False,12,80.90,40.09,38.38,11.57,0.40
Na2S8@NiS2,Na2S8,NiS2,S–S–S,100.68,Vacuum,False,False,1,100.68,nan,0.00,nan,nan
Na2S8@NiS2,Na2S8,NiS2,S–Na–S,93.68,Vacuum,False,False,25,97.70,40.51,39.69,8.10,-0.20
Na2S8@NiS2,Na2S8,NiS2,S–Na–Na,79.03,Vacuum,False,False,11,58.94,33.95,32.37,10.24,0.68
Na2S8@NiS2-PC,Na2S8,NiS2,S–S–S,79.49,PC,False,False,1,79.49,nan,0.00,nan,nan
Na2S8@NiS2-glyme,Na2S8,NiS2,S–Na–S,80.12,Glyme,False,False,20,82.73,31.24,30.45,6.99,-0.25
Na2S8@NiS2-glyme,Na2S8,NiS2,S–S–Na,91.95,Glyme,False,False,11,106.28,42.64,40.65,12.86,0.03
Na2S8@NiS2-glyme,Na2S8,NiS2,S–S–S,100.61,Glyme,False,False,1,100.61,nan,0.00,nan,nan
Na2S8@NiS2-glyme,Na2S8,NiS2,Na–S–Na,84.19,Glyme,False,False,3,87.75,16.22,13.24,9.36,-0.94
Na2S8@NiS2-glyme,Na2S8,NiS2,S–Na–Na,69.29,Glyme,False,False,10,56.76,31.04,29.45,9.82,0.92
Na2S@NiS2,Na2S,NiS2,Na–S–Na,121.30,Vacuum,False,False,1,121.30,nan,0.00,nan,nan
