name,NaPS,sorbent,Atoms,Mean,solvent,electronic_scf,vdw,Count,Median,Sam. std. dev.,Pop. std. dev.,Std. error,Skewness
Na2S2@TiO2,Na2S2,TiO2,S–S–Na,74.04,Vacuum,True,False,3,68.55,11.63,9.49,6.71,1.65
Na2S2@TiO2,Na2S2,TiO2,Na–S–Na,109.45,Vacuum,True,False,1,109.45,nan,0.00,nan,nan
Na2S2@TiO2,Na2S2,TiO2,S–Na–S,45.27,Vacuum,True,False,1,45.27,nan,0.00,nan,nan
Na2S2@TiO2-glyme,Na2S2,TiO2,S–S–Na,74.27,Glyme,False,False,3,68.18,11.91,9.72,6.87,1.70
Na2S2@TiO2-glyme,Na2S2,TiO2,Na–S–Na,110.23,Glyme,False,False,1,110.23,nan,0.00,nan,nan
Na2S2@TiO2-glyme,Na2S2,TiO2,S–Na–S,45.19,Glyme,False,False,1,45.19,nan,0.00,nan,nan
Na2S4@TiO2,Na2S4,TiO2,S–S–Na,88.61,Vacuum,True,False,6,85.23,6.33,5.78,2.58,0.93
Na2S4@TiO2,Na2S4,TiO2,S–S–S,112.58,Vacuum,True,False,2,112.58,0.07,0.05,0.05,nan
Na2S4@TiO2,Na2S4,TiO2,S–Na–S,78.16,Vacuum,True,False,2,78.16,0.05,0.04,0.04,nan
Na2S4@TiO2-glyme,Na2S4,TiO2,S–S–Na,88.78,Glyme,False,False,6,85.50,5.96,5.44,2.43,0.94
Na2S4@TiO2-glyme,Na2S4,TiO2,S–S–S,112.90,Glyme,False,False,2,112.90,0.00,0.00,0.00,nan
Na2S4@TiO2-glyme,Na2S4,TiO2,S–Na–S,77.10,Glyme,False,False,2,77.10,0.01,0.01,0.01,nan
Na2S6@TiO2,Na2S6,TiO2,S–Na–S,97.53,Vacuum,True,False,2,97.53,23.32,16.49,16.49,nan
Na2S6@TiO2,Na2S6,TiO2,S–S–Na,82.70,Vacuum,True,False,5,78.87,10.00,8.94,4.47,0.81
Na2S6@TiO2,Na2S6,TiO2,S–S–S,117.45,Vacuum,True,False,2,117.45,4.10,2.90,2.90,nan
Na2S6@TiO2-glyme,Na2S6,TiO2,S–S–S,117.58,Glyme,False,False,2,117.58,3.53,2.49,2.49,nan
Na2S6@TiO2-glyme,Na2S6,TiO2,S–S–Na,85.63,Glyme,False,False,4,83.74,8.36,7.24,4.18,0.94
Na2S6@TiO2-glyme,Na2S6,TiO2,S–Na–S,113.40,Glyme,False,False,1,113.40,nan,0.00,nan,nan
Na2S8@TiO2,Na2S8,TiO2,S–S–Na,87.76,Vacuum,True,False,4,89.19,11.95,10.35,5.97,-0.70
Na2S8@TiO2,Na2S8,TiO2,S–S–S,114.39,Vacuum,True,False,2,114.39,1.60,1.13,1.13,nan
Na2S8@TiO2,Na2S8,TiO2,S–Na–S,130.89,Vacuum,True,False,2,130.89,36.04,25.48,25.48,nan
Na2S8@TiO2-glyme,Na2S8,TiO2,S–S–Na,87.81,Glyme,False,False,4,88.86,10.46,9.06,5.23,-0.59
Na2S8@TiO2-glyme,Na2S8,TiO2,S–S–S,114.89,Glyme,False,False,2,114.89,1.22,0.86,0.86,nan
Na2S8@TiO2-glyme,Na2S8,TiO2,S–Na–S,129.47,Glyme,False,False,2,129.47,37.32,26.39,26.39,nan
Na2S@TiO2,Na2S,TiO2,Na–S–Na,115.36,Vacuum,True,False,1,115.36,nan,0.00,nan,nan
Na2S@TiO2-glyme,Na2S,TiO2,Na–S–Na,98.64,Glyme,True,False,1,98.64,nan,0.00,nan,nan
