name,NaPS,sorbent,Atoms,Mean,solvent,electronic_scf,vdw,Count,Median,Sam. std. dev.,Pop. std. dev.,Std. error,Skewness
Na2S2@graphene,Na2S2,graphene,S–Na–S,44.99,Vacuum,True,False,2,44.99,0.02,0.02,0.02,nan
Na2S2@graphene,Na2S2,graphene,S–Na–Na,41.80,Vacuum,True,False,4,41.81,0.03,0.03,0.02,-1.34
Na2S2@graphene,Na2S2,graphene,Na–S–Na,96.39,Vacuum,True,False,2,96.39,0.02,0.02,0.02,nan
Na2S2@graphene,Na2S2,graphene,S–S–Na,67.50,Vacuum,True,False,4,67.51,0.07,0.06,0.03,-0.38
Na2S2@graphene-PC,Na2S2,graphene,S–S–Na,75.62,PC,True,False,4,75.63,8.68,7.51,4.34,-0.00
Na2S2@graphene-PC,Na2S2,graphene,Na–S–Na,140.86,PC,True,False,2,140.86,15.30,10.82,10.82,nan
Na2S2@graphene-PC,Na2S2,graphene,S–Na–S,28.76,PC,True,False,2,28.76,0.02,0.01,0.01,nan
Na2S2@graphene-glyme,Na2S2,graphene,S–S–Na,68.52,Glyme,True,False,4,68.56,0.14,0.12,0.07,-1.01
Na2S2@graphene-glyme,Na2S2,graphene,S–Na–S,42.97,Glyme,True,False,2,42.97,0.11,0.08,0.08,nan
Na2S2@graphene-glyme,Na2S2,graphene,Na–S–Na,125.92,Glyme,True,False,2,125.92,0.24,0.17,0.17,nan
Na2S2@graphene-glyme,Na2S2,graphene,S–Na–Na,27.04,Glyme,True,False,4,27.05,0.11,0.10,0.06,-0.39
Na2S4@graphene,Na2S4,graphene,S–Na–Na,53.51,Vacuum,False,False,8,49.99,6.71,6.28,2.37,1.44
Na2S4@graphene,Na2S4,graphene,S–Na–S,56.72,Vacuum,False,False,12,52.97,21.18,20.28,6.11,0.46
Na2S4@graphene,Na2S4,graphene,Na–S–Na,72.98,Vacuum,False,False,4,72.98,8.50,7.36,4.25,-0.00
Na2S4@graphene,Na2S4,graphene,S–S–Na,64.96,Vacuum,False,False,20,60.36,15.01,14.63,3.36,0.66
Na2S4@graphene,Na2S4,graphene,S–S–S,66.89,Vacuum,False,False,8,61.69,34.72,32.48,12.27,0.20
Na2S4@graphene-PC,Na2S4,graphene,S–S–S,112.04,PC,True,False,2,112.04,0.00,0.00,0.00,nan
Na2S4@graphene-PC,Na2S4,graphene,S–S–Na,94.64,PC,True,False,6,92.08,5.97,5.45,2.44,0.81
Na2S4@graphene-PC,Na2S4,graphene,S–Na–S,48.83,PC,True,False,2,48.83,0.09,0.07,0.07,nan
Na2S4@graphene-glyme,Na2S4,graphene,S–Na–Na,48.80,Glyme,True,False,8,45.75,6.31,5.90,2.23,1.36
Na2S4@graphene-glyme,Na2S4,graphene,S–Na–S,53.94,Glyme,True,False,12,50.83,19.25,18.43,5.56,0.36
Na2S4@graphene-glyme,Na2S4,graphene,Na–S–Na,82.40,Glyme,True,False,4,82.43,9.35,8.10,4.68,-0.00
Na2S4@graphene-glyme,Na2S4,graphene,S–S–Na,65.91,Glyme,True,False,20,61.22,14.86,14.49,3.32,0.67
Na2S4@graphene-glyme,Na2S4,graphene,S–S–S,66.17,Glyme,True,False,8,60.50,33.97,31.78,12.01,0.26
Na2S6@graphene,Na2S6,graphene,S–Na–Na,59.69,Vacuum,True,False,10,47.26,22.56,21.40,7.13,1.39
Na2S6@graphene,Na2S6,graphene,S–Na–S,62.03,Vacuum,True,False,20,67.13,21.43,20.88,4.79,0.02
Na2S6@graphene,Na2S6,graphene,Na–S–Na,80.89,Vacuum,True,False,4,80.90,12.42,10.76,6.21,-0.00
Na2S6@graphene,Na2S6,graphene,S–S–Na,76.52,Vacuum,True,False,24,69.90,26.63,26.07,5.44,0.81
Na2S6@graphene,Na2S6,graphene,S–S–S,75.96,Vacuum,True,False,10,98.30,36.19,34.33,11.44,-0.42
Na2S6@graphene-PC,Na2S6,graphene,S–S–Na,107.82,PC,True,False,6,107.48,3.67,3.35,1.50,0.75
Na2S6@graphene-PC,Na2S6,graphene,S–S–S,111.88,PC,True,False,4,111.88,0.36,0.31,0.18,0.01
Na2S6@graphene-PC,Na2S6,graphene,S–Na–S,63.07,PC,True,False,2,63.07,0.31,0.22,0.22,nan
Na2S6@graphene-glyme,Na2S6,graphene,S–Na–S,58.00,Glyme,True,False,20,63.79,19.81,19.31,4.43,0.25
Na2S6@graphene-glyme,Na2S6,graphene,Na–S–Na,97.00,Glyme,True,False,4,96.97,15.16,13.13,7.58,0.00
Na2S6@graphene-glyme,Na2S6,graphene,S–S–Na,75.74,Glyme,True,False,28,59.98,28.26,27.75,5.34,1.26
Na2S6@graphene-glyme,Na2S6,graphene,S–S–S,77.11,Glyme,True,False,14,82.04,30.04,28.95,8.03,-0.65
Na2S6@graphene-glyme,Na2S6,graphene,S–Na–Na,51.02,Glyme,True,False,10,43.10,21.27,20.18,6.73,1.34
Na2S8@graphene,Na2S8,graphene,S–Na–Na,61.49,Vacuum,True,False,14,56.63,15.86,15.28,4.24,1.13
Na2S8@graphene,Na2S8,graphene,Na–S–Na,67.24,Vacuum,True,False,6,61.74,10.52,9.60,4.29,0.86
Na2S8@graphene,Na2S8,graphene,S–S–Na,72.50,Vacuum,True,False,32,64.88,20.99,20.66,3.71,0.21
Na2S8@graphene,Na2S8,graphene,S–S–S,75.91,Vacuum,True,False,12,84.91,33.53,32.10,9.68,-0.38
Na2S8@graphene,Na2S8,graphene,S–Na–S,82.36,Vacuum,True,False,43,84.44,36.41,35.99,5.55,0.21
Na2S8@graphene-PC,Na2S8,graphene,S–Na–Na,74.22,PC,True,False,2,74.22,13.03,9.21,9.21,nan
Na2S8@graphene-PC,Na2S8,graphene,S–Na–S,142.69,PC,True,False,1,142.69,nan,0.00,nan,nan
Na2S8@graphene-PC,Na2S8,graphene,S–S–S,85.83,PC,True,False,6,111.37,41.05,37.48,16.76,-0.97
Na2S8@graphene-PC,Na2S8,graphene,S–S–Na,105.56,PC,True,False,4,107.76,22.19,19.22,11.09,-0.58
Na2S8@graphene-glyme,Na2S8,graphene,S–Na–S,89.04,Glyme,True,False,34,78.67,46.47,45.78,7.97,0.13
Na2S8@graphene-glyme,Na2S8,graphene,Na–S–Na,83.18,Glyme,True,False,4,78.82,14.87,12.88,7.43,1.56
Na2S8@graphene-glyme,Na2S8,graphene,S–S–Na,72.10,Glyme,True,False,25,68.13,20.84,20.42,4.17,0.90
Na2S8@graphene-glyme,Na2S8,graphene,S–S–S,76.36,Glyme,True,False,10,89.65,36.94,35.04,11.68,-0.31
Na2S8@graphene-glyme,Na2S8,graphene,S–Na–Na,72.34,Glyme,True,False,12,55.33,40.50,38.77,11.69,1.39
Na2S@graphene,Na2S,graphene,Na–S–Na,106.38,Vacuum,False,False,1,106.38,nan,0.00,nan,nan
Na2S@graphene,Na2S,graphene,S–Na–Na,36.81,Vacuum,False,False,2,36.81,0.02,0.02,0.02,nan
Na2S@graphene-PC,Na2S,graphene,Na–S–Na,134.14,PC,True,False,1,134.14,nan,0.00,nan,nan
Na2S@graphene-glyme,Na2S,graphene,S–Na–Na,36.81,Glyme,True,False,2,36.81,0.02,0.02,0.02,nan
Na2S@graphene-glyme,Na2S,graphene,Na–S–Na,106.38,Glyme,True,False,1,106.38,nan,0.00,nan,nan
