name,NaPS,sorbent,Atoms,Mean,solvent,electronic_scf,vdw,Count,Median,Sam. std. dev.,Pop. std. dev.,Std. error,Skewness
Na2S2@graphene_vdw,Na2S2,graphene_vdw,Na–S–Na,105.96,Vacuum,True,True,2,105.96,0.28,0.20,0.20,nan
Na2S2@graphene_vdw,Na2S2,graphene_vdw,S–Na–Na,37.02,Vacuum,True,True,4,37.02,0.12,0.10,0.06,0.07
Na2S2@graphene_vdw,Na2S2,graphene_vdw,S–Na–S,45.20,Vacuum,True,True,2,45.20,0.04,0.03,0.03,nan
Na2S2@graphene_vdw,Na2S2,graphene_vdw,S–S–Na,67.40,Vacuum,True,True,4,67.39,0.20,0.18,0.10,0.04
Na2S2@graphene_vdw-PC,Na2S2,graphene_vdw,S–S–Na,74.80,PC,True,True,4,74.81,0.56,0.49,0.28,-0.00
Na2S2@graphene_vdw-PC,Na2S2,graphene_vdw,Na–S–Na,145.98,PC,True,True,2,145.98,1.22,0.86,0.86,nan
Na2S2@graphene_vdw-PC,Na2S2,graphene_vdw,S–Na–S,30.39,PC,True,True,2,30.39,0.02,0.02,0.02,nan
Na2S2@graphene_vdw-glyme,Na2S2,graphene_vdw,S–S–Na,68.30,Glyme,True,True,4,68.28,0.08,0.07,0.04,0.39
Na2S2@graphene_vdw-glyme,Na2S2,graphene_vdw,S–Na–S,43.41,Glyme,True,True,2,43.41,0.03,0.02,0.02,nan
Na2S2@graphene_vdw-glyme,Na2S2,graphene_vdw,Na–S–Na,134.93,Glyme,True,True,2,134.93,0.19,0.13,0.13,nan
Na2S2@graphene_vdw-glyme,Na2S2,graphene_vdw,S–Na–Na,22.53,Glyme,True,True,4,22.53,0.08,0.07,0.04,0.08
Na2S4@graphene_vdw,Na2S4,graphene_vdw,S–Na–Na,51.45,Vacuum,False,True,8,48.14,6.39,5.98,2.26,1.43
Na2S4@graphene_vdw,Na2S4,graphene_vdw,S–Na–S,56.84,Vacuum,False,True,12,53.29,20.74,19.86,5.99,0.40
Na2S4@graphene_vdw,Na2S4,graphene_vdw,S–S–S,109.43,Vacuum,False,True,2,109.43,0.03,0.02,0.02,nan
Na2S4@graphene_vdw,Na2S4,graphene_vdw,Na–S–Na,77.11,Vacuum,False,True,4,77.10,8.54,7.39,4.27,0.00
Na2S4@graphene_vdw,Na2S4,graphene_vdw,S–S–Na,70.83,Vacuum,False,True,12,69.10,14.81,14.18,4.28,0.20
Na2S4@graphene_vdw-PC,Na2S4,graphene_vdw,S–Na–S,40.80,PC,False,True,12,41.77,11.05,10.58,3.19,-0.04
Na2S4@graphene_vdw-PC,Na2S4,graphene_vdw,Na–S–Na,124.13,PC,False,True,4,123.93,3.98,3.45,1.99,0.11
