name,NaPS,sorbent,Atoms,Mean,solvent,electronic_scf,vdw,Count,Median,Sam. std. dev.,Pop. std. dev.,Std. error,Skewness
Na2S,Na2S,,Na–S–Na,115.36,Vacuum,True,False,1,115.36,nan,0.00,nan,nan
Na2S-elecmin,Na2S,,Na–S–Na,115.36,Vacuum,False,False,1,115.36,nan,0.00,nan,nan
Na2S-glyme,Na2S,,Na–S–Na,113.71,Glyme,True,False,1,113.71,nan,0.00,nan,nan
Na2S-glyme-elecmin,Na2S,,Na–S–Na,113.71,Glyme,False,False,1,113.71,nan,0.00,nan,nan
Na2S-glyme-vdw,Na2S,,Na–S–Na,113.66,Glyme,True,True,1,113.66,nan,0.00,nan,nan
Na2S-glyme-vdw-elecmin,Na2S,,Na–S–Na,113.66,Glyme,False,True,1,113.66,nan,0.00,nan,nan
Na2S-vdw,Na2S,,Na–S–Na,115.36,Vacuum,True,True,1,115.36,nan,0.00,nan,nan
Na2S2,Na2S2,,S–Na–S,51.23,Vacuum,True,False,2,51.23,0.01,0.00,0.00,nan
Na2S2,Na2S2,,Na–S–Na,111.94,Vacuum,True,False,2,111.94,0.01,0.01,0.01,nan
Na2S2,Na2S2,,S–S–Na,64.38,Vacuum,True,False,4,64.38,0.02,0.02,0.01,0.50
Na2S2-elecmin,Na2S2,,S–S–Na,64.38,Vacuum,False,False,4,64.38,0.02,0.02,0.01,0.50
Na2S2-elecmin,Na2S2,,Na–S–Na,111.94,Vacuum,False,False,2,111.94,0.01,0.01,0.01,nan
Na2S2-elecmin,Na2S2,,S–Na–S,51.23,Vacuum,False,False,2,51.23,0.01,0.00,0.00,nan
Na2S2-glyme,Na2S2,,S–S–Na,65.79,Glyme,True,False,4,65.78,0.10,0.09,0.05,0.07
Na2S2-glyme,Na2S2,,S–Na–S,48.43,Glyme,True,False,2,48.43,0.01,0.00,0.00,nan
Na2S2-glyme,Na2S2,,Na–S–Na,113.86,Glyme,True,False,2,113.86,0.16,0.12,0.12,nan
Na2S2-glyme-elecmin,Na2S2,,Na–S–Na,113.89,Glyme,False,False,2,113.89,0.14,0.10,0.10,nan
Na2S2-glyme-elecmin,Na2S2,,S–Na–S,48.46,Glyme,False,False,2,48.46,0.01,0.01,0.01,nan
Na2S2-glyme-elecmin,Na2S2,,S–S–Na,65.77,Glyme,False,False,4,65.77,0.09,0.08,0.04,0.14
Na2S2-glyme-vdw,Na2S2,,S–S–Na,65.78,Glyme,True,True,4,65.78,0.05,0.04,0.02,-0.00
Na2S2-glyme-vdw,Na2S2,,Na–S–Na,111.76,Glyme,True,True,2,111.76,0.08,0.05,0.05,nan
Na2S2-glyme-vdw,Na2S2,,S–Na–S,48.44,Glyme,True,True,2,48.44,0.00,0.00,0.00,nan
Na2S2-glyme-vdw-elecmin,Na2S2,,S–S–Na,65.85,Glyme,False,True,4,65.83,0.15,0.13,0.08,0.21
Na2S2-glyme-vdw-elecmin,Na2S2,,Na–S–Na,112.15,Glyme,False,True,2,112.15,0.24,0.17,0.17,nan
Na2S2-glyme-vdw-elecmin,Na2S2,,S–Na–S,48.30,Glyme,False,True,2,48.30,0.05,0.04,0.04,nan
Na2S2-vdw,Na2S2,,Na–S–Na,111.91,Vacuum,True,True,2,111.91,0.00,0.00,0.00,nan
Na2S2-vdw,Na2S2,,S–S–Na,64.38,Vacuum,True,True,4,64.38,0.01,0.01,0.01,0.08
Na2S2-vdw,Na2S2,,S–Na–S,51.25,Vacuum,True,True,2,51.25,0.00,0.00,0.00,nan
Na2S2-vdw-elecmin,Na2S2,,S–Na–S,51.25,Vacuum,False,True,2,51.25,0.00,0.00,0.00,nan
Na2S2-vdw-elecmin,Na2S2,,Na–S–Na,111.91,Vacuum,False,True,2,111.91,0.00,0.00,0.00,nan
Na2S2-vdw-elecmin,Na2S2,,S–S–Na,64.38,Vacuum,False,True,4,64.38,0.01,0.01,0.01,0.08
Na2S4,Na2S4,,S–S–Na,76.80,Vacuum,True,False,8,76.71,10.05,9.40,3.55,0.00
Na2S4,Na2S4,,Na–S–Na,81.90,Vacuum,True,False,2,81.90,0.06,0.04,0.04,nan
Na2S4,Na2S4,,S–Na–S,72.46,Vacuum,True,False,6,78.03,22.32,20.37,9.11,-0.53
Na2S4,Na2S4,,S–Na–Na,53.42,Vacuum,True,False,6,49.38,6.77,6.18,2.77,0.96
Na2S4,Na2S4,,S–S–S,109.11,Vacuum,True,False,2,109.11,0.04,0.03,0.03,nan
Na2S4-PC,Na2S4,,S–S–S,112.94,PC,True,False,2,112.94,0.05,0.03,0.03,nan
Na2S4-PC-elecmin,Na2S4,,S–S–S,112.59,PC,False,False,2,112.59,0.01,0.01,0.01,nan
Na2S4-PC-vdw,Na2S4,,S–S–S,113.36,PC,True,True,2,113.36,0.47,0.33,0.33,nan
Na2S4-PC-vdw-elecmin,Na2S4,,S–S–S,113.78,PC,False,True,2,113.78,0.29,0.20,0.20,nan
Na2S4-elecmin,Na2S4,,S–Na–S,72.46,Vacuum,False,False,6,78.03,22.32,20.37,9.11,-0.53
Na2S4-elecmin,Na2S4,,S–S–S,109.11,Vacuum,False,False,2,109.11,0.04,0.03,0.03,nan
Na2S4-elecmin,Na2S4,,Na–S–Na,81.90,Vacuum,False,False,2,81.90,0.06,0.04,0.04,nan
Na2S4-elecmin,Na2S4,,S–S–Na,76.80,Vacuum,False,False,8,76.71,10.05,9.40,3.55,0.00
Na2S4-elecmin,Na2S4,,S–Na–Na,53.42,Vacuum,False,False,6,49.38,6.77,6.18,2.77,0.96
Na2S4-glyme,Na2S4,,Na–S–Na,83.66,Glyme,True,False,2,83.66,0.33,0.24,0.24,nan
Na2S4-glyme,Na2S4,,S–Na–S,68.59,Glyme,True,False,6,73.11,21.24,19.39,8.67,-0.46
