name,NaPS,sorbent,Atoms,Mean,solvent,electronic_scf,vdw,Count,Median,Sam. std. dev.,Pop. std. dev.,Std. error,Skewness
Na2S,Na2S,,S–Na–Na,32.32,Vacuum,True,False,2,32.32,0.00,0.00,0.00,nan
Na2S,Na2S,,Na–S–Na,115.36,Vacuum,True,False,1,115.36,nan,0.00,nan,nan
Na2S-PC,Na2S,,Na–S–Na,87.16,PC,True,False,1,87.16,nan,0.00,nan,nan
Na2S-PC-elecmin,Na2S,,Na–S–Na,83.86,PC,False,False,1,83.86,nan,0.00,nan,nan
Na2S-PC-vdw,Na2S,,S–Na–Na,56.51,PC,True,True,2,56.51,0.03,0.02,0.02,nan
Na2S-PC-vdw,Na2S,,Na–S–Na,66.99,PC,True,True,1,66.99,nan,0.00,nan,nan
Na2S-PC-vdw-elecmin,Na2S,,S–Na–Na,56.51,PC,False,True,2,56.51,0.03,0.02,0.02,nan
Na2S-PC-vdw-elecmin,Na2S,,Na–S–Na,66.98,PC,False,True,1,66.98,nan,0.00,nan,nan
Na2S-elecmin,Na2S,,Na–S–Na,115.36,Vacuum,False,False,1,115.36,nan,0.00,nan,nan
Na2S-elecmin,Na2S,,S–Na–Na,32.32,Vacuum,False,False,2,32.32,0.00,0.00,0.00,nan
Na2S-glyme,Na2S,,Na–S–Na,113.71,Glyme,True,False,1,113.71,nan,0.00,nan,nan
Na2S-glyme,Na2S,,S–Na–Na,33.14,Glyme,True,False,2,33.14,0.01,0.01,0.01,nan
Na2S-glyme-elecmin,Na2S,,S–Na–Na,33.14,Glyme,False,False,2,33.14,0.01,0.01,0.01,nan
Na2S-glyme-elecmin,Na2S,,Na–S–Na,113.71,Glyme,False,False,1,113.71,nan,0.00,nan,nan
Na2S-glyme-vdw,Na2S,,S–Na–Na,33.17,Glyme,True,True,2,33.17,0.01,0.00,0.00,nan
Na2S-glyme-vdw,Na2S,,Na–S–Na,113.66,Glyme,True,True,1,113.66,nan,0.00,nan,nan
Na2S-glyme-vdw-elecmin,Na2S,,S–Na–Na,33.17,Glyme,False,True,2,33.17,0.01,0.00,0.00,nan
Na2S-glyme-vdw-elecmin,Na2S,,Na–S–Na,113.66,Glyme,False,True,1,113.66,nan,0.00,nan,nan
Na2S-vdw,Na2S,,Na–S–Na,115.36,Vacuum,True,True,1,115.36,nan,0.00,nan,nan
