name,NaPS,sorbent,Atoms,solvent,electronic_scf,vdw,Count,Mean /°,Median /°,Sam. std. dev.,Pop. std. dev.,Std. error,Skewness
Na2S-elecmin,Na2S,,Na–S–Na,Vacuum,False,True,1,115.36,115.36,nan,0.00,nan,nan
Na2S-glyme-elecmin,Na2S,,Na–S–Na,Glyme,False,False,1,113.71,113.71,nan,0.00,nan,nan
Na2S-glyme-vdw,Na2S,,Na–S–Na,Glyme,True,True,1,113.66,113.66,nan,0.00,nan,nan
Na2S-glyme-vdw,Na2S,,Na–S–Na,Glyme,True,True,1,113.66,113.66,nan,0.00,nan,nan
Na2S-glyme-vdw,Na2S,,Na–S–Na,Glyme,True,True,1,113.66,113.66,nan,0.00,nan,nan
Na2S-glyme-vdw-elecmin,Na2S,,Na–S–Na,Glyme,False,True,1,113.66,113.66,nan,0.00,nan,nan
Na2S-vdw,Na2S,,Na–S–Na,Vacuum,True,True,1,115.36,115.36,nan,0.00,nan,nan
Na2S2-elecmin,Na2S2,,S–Na–S,Vacuum,False,False,2,51.23,51.23,0.01,0.00,0.00,nan
Na2S2-elecmin,Na2S2,,S–S–Na,Vacuum,False,False,4,64.38,64.38,0.02,0.02,0.01,0.50
Na2S2-elecmin,Na2S2,,Na–S–Na,Vacuum,False,False,2,111.94,111.94,0.01,0.01,0.01,nan
Na2S2-glyme-elecmin,Na2S2,,S–S–Na,Glyme,False,False,4,65.77,65.77,0.09,0.08,0.04,0.14
Na2S2-glyme-elecmin,Na2S2,,S–S–Na,Glyme,False,False,4,65.77,65.77,0.09,0.08,0.04,0.14
Na2S2-glyme-elecmin,Na2S2,,S–S–Na,Glyme,False,False,4,65.77,65.77,0.09,0.08,0.04,0.14
Na2S2-glyme-elecmin,Na2S2,,S–S–Na,Glyme,False,False,4,65.77,65.77,0.09,0.08,0.04,0.14
Na2S2-glyme-elecmin,Na2S2,,S–S–Na,Glyme,False,False,4,65.77,65.77,0.09,0.08,0.04,0.14
Na2S2-glyme-elecmin,Na2S2,,S–S–Na,Glyme,False,False,4,65.77,65.77,0.09,0.08,0.04,0.14
Na2S2-glyme-elecmin,Na2S2,,S–S–Na,Glyme,False,False,4,65.77,65.77,0.09,0.08,0.04,0.14
