name,NaPS,sorbent,Atoms,Mean,solvent,electronic_scf,vdw,Count,Median,Sam. std. dev.,Pop. std. dev.,Std. error,Skewness
FeN4,,FeN4,C–N–C,120.00,Vacuum,True,False,4,120.00,0.00,0.00,0.00,-1.71
FeN4,,FeN4,N–Fe–N,119.98,Vacuum,True,False,6,98.21,47.02,42.93,19.20,0.86
FeN4,,FeN4,C–Fe–N,90.00,Vacuum,True,False,40,89.97,50.01,49.38,7.91,0.00
FeN4,,FeN4,C–Fe–C,100.00,Vacuum,True,False,45,97.35,49.37,48.82,7.36,0.07
FeN4,,FeN4,C–N–Fe,120.00,Vacuum,True,False,8,120.00,20.43,19.11,7.22,0.00
FeN4,,FeN4,N–C–Fe,34.76,Vacuum,True,False,8,34.75,12.13,11.34,4.29,0.00
FeN4,,FeN4,C–C–Fe,114.55,Vacuum,True,False,22,96.60,44.90,43.87,9.57,0.15
FeN4,,FeN4,C–C–N,120.00,Vacuum,True,False,16,120.00,0.00,0.00,0.00,-1.13
FeN4,,FeN4,C–C–C,120.00,Vacuum,True,False,116,120.00,0.00,0.00,0.00,-0.46
FeN4-PC,,FeN4,C–C–C,120.00,PC,True,False,116,120.00,0.00,0.00,0.00,-0.46
FeN4-PC,,FeN4,C–C–N,120.00,PC,True,False,16,120.00,0.00,0.00,0.00,-1.13
FeN4-PC,,FeN4,C–C–Fe,114.55,PC,True,False,22,96.60,44.90,43.87,9.57,0.15
FeN4-PC,,FeN4,N–C–Fe,34.76,PC,True,False,8,34.75,12.13,11.34,4.29,0.00
FeN4-PC,,FeN4,C–N–C,120.00,PC,True,False,4,120.00,0.00,0.00,0.00,-1.71
FeN4-PC,,FeN4,C–N–Fe,120.00,PC,True,False,8,120.00,20.43,19.11,7.22,0.00
FeN4-PC,,FeN4,C–Fe–C,100.00,PC,True,False,45,97.35,49.37,48.82,7.36,0.07
FeN4-PC,,FeN4,C–Fe–N,90.00,PC,True,False,40,89.97,50.01,49.38,7.91,0.00
FeN4-PC,,FeN4,N–Fe–N,119.98,PC,True,False,6,98.21,47.02,42.93,19.20,0.86
FeN4-PC-elecmin,,FeN4,N–Fe–N,119.98,PC,False,False,6,98.21,47.02,42.93,19.20,0.86
FeN4-PC-elecmin,,FeN4,C–Fe–N,90.00,PC,False,False,40,89.97,50.01,49.38,7.91,0.00
FeN4-PC-elecmin,,FeN4,C–Fe–C,100.00,PC,False,False,45,97.35,49.37,48.82,7.36,0.07
FeN4-PC-elecmin,,FeN4,C–N–Fe,120.00,PC,False,False,8,120.00,20.43,19.11,7.22,0.00
FeN4-PC-elecmin,,FeN4,C–N–C,120.00,PC,False,False,4,120.00,0.00,0.00,0.00,-1.71
FeN4-PC-elecmin,,FeN4,N–C–Fe,34.76,PC,False,False,8,34.75,12.13,11.34,4.29,0.00
FeN4-PC-elecmin,,FeN4,C–C–Fe,114.55,PC,False,False,22,96.60,44.90,43.87,9.57,0.15
FeN4-PC-elecmin,,FeN4,C–C–N,120.00,PC,False,False,16,120.00,0.00,0.00,0.00,-1.13
FeN4-PC-elecmin,,FeN4,C–C–C,120.00,PC,False,False,116,120.00,0.00,0.00,0.00,-0.46
FeN4-elecmin,,FeN4,C–C–C,120.00,Vacuum,False,False,116,120.00,0.00,0.00,0.00,-0.46
FeN4-elecmin,,FeN4,N–Fe–N,119.98,Vacuum,False,False,6,98.21,47.02,42.93,19.20,0.86
FeN4-elecmin,,FeN4,C–Fe–C,100.00,Vacuum,False,False,45,97.35,49.37,48.82,7.36,0.07
FeN4-elecmin,,FeN4,C–N–Fe,120.00,Vacuum,False,False,8,120.00,20.43,19.11,7.22,0.00
FeN4-elecmin,,FeN4,C–N–C,120.00,Vacuum,False,False,4,120.00,0.00,0.00,0.00,-1.71
FeN4-elecmin,,FeN4,N–C–Fe,34.76,Vacuum,False,False,8,34.75,12.13,11.34,4.29,0.00
FeN4-elecmin,,FeN4,C–C–Fe,114.55,Vacuum,False,False,22,96.60,44.90,43.87,9.57,0.15
FeN4-elecmin,,FeN4,C–C–N,120.00,Vacuum,False,False,16,120.00,0.00,0.00,0.00,-1.13
FeN4-elecmin,,FeN4,C–Fe–N,90.00,Vacuum,False,False,40,89.97,50.01,49.38,7.91,0.00
FeN4-glyme,,FeN4,C–Fe–N,90.00,Glyme,True,False,40,89.97,50.01,49.38,7.91,0.00
FeN4-glyme,,FeN4,C–C–N,120.00,Glyme,True,False,16,120.00,0.00,0.00,0.00,-1.13
FeN4-glyme,,FeN4,C–C–Fe,114.55,Glyme,True,False,22,96.60,44.90,43.87,9.57,0.15
FeN4-glyme,,FeN4,N–C–Fe,34.76,Glyme,True,False,8,34.75,12.13,11.34,4.29,0.00
FeN4-glyme,,FeN4,C–N–C,120.00,Glyme,True,False,4,120.00,0.00,0.00,0.00,-1.71
FeN4-glyme,,FeN4,C–N–Fe,120.00,Glyme,True,False,8,120.00,20.43,19.11,7.22,0.00
FeN4-glyme,,FeN4,C–Fe–C,100.00,Glyme,True,False,45,97.35,49.37,48.82,7.36,0.07
FeN4-glyme,,FeN4,C–C–C,120.00,Glyme,True,False,116,120.00,0.00,0.00,0.00,-0.46
FeN4-glyme,,FeN4,N–Fe–N,119.98,Glyme,True,False,6,98.21,47.02,42.93,19.20,0.86
FeN4-glyme-elecmin,,FeN4,C–C–N,120.00,Glyme,False,False,16,120.00,0.00,0.00,0.00,-1.13
FeN4-glyme-elecmin,,FeN4,C–C–Fe,114.55,Glyme,False,False,22,96.60,44.90,43.87,9.57,0.15
FeN4-glyme-elecmin,,FeN4,N–C–Fe,34.76,Glyme,False,False,8,34.75,12.13,11.34,4.29,0.00
FeN4-glyme-elecmin,,FeN4,C–N–C,120.00,Glyme,False,False,4,120.00,0.00,0.00,0.00,-1.71
FeN4-glyme-elecmin,,FeN4,C–N–Fe,120.00,Glyme,False,False,8,120.00,20.43,19.11,7.22,0.00
FeN4-glyme-elecmin,,FeN4,C–Fe–C,100.00,Glyme,False,False,45,97.35,49.37,48.82,7.36,0.07
FeN4-glyme-elecmin,,FeN4,C–Fe–N,90.00,Glyme,False,False,40,89.97,50.01,49.38,7.91,0.00
FeN4-glyme-elecmin,,FeN4,N–Fe–N,119.98,Glyme,False,False,6,98.21,47.02,42.93,19.20,0.86
FeN4-glyme-elecmin,,FeN4,C–C–C,120.00,Glyme,False,False,116,120.00,0.00,0.00,0.00,-0.46
N_graphene-PC-elecmin,,N_graphene,C–C–N,75.04,PC,False,False,12,75.04,47.04,45.04,13.58,0.00
N_graphene-PC-elecmin,,N_graphene,C–C–C,112.41,PC,False,False,236,120.00,28.09,28.03,1.83,-1.80
N_graphene-PC-elecmin,,N_graphene,C–N–C,120.00,PC,False,False,3,120.00,0.00,0.00,0.00,1.73
N_graphene-PC-elecmin-vdw,,N_graphene,C–C–C,112.41,PC,False,True,236,120.00,28.09,28.03,1.83,-1.80
N_graphene-PC-elecmin-vdw,,N_graphene,C–C–N,75.04,PC,False,True,12,75.04,47.04,45.04,13.58,0.00
