name,NaPS,sorbent,Atoms,Mean,solvent,electronic_scf,vdw,Count,Median,Sam. std. dev.,Pop. std. dev.,Std. error,Skewness
Na2S2@FeN4-PC-vdw,Na2S2,FeN4_vdw,N–Fe–N,119.98,PC,False,True,6,98.21,47.02,42.93,19.20,0.86
Na2S2@FeN4-PC-vdw,Na2S2,FeN4_vdw,C–N–Fe,120.00,PC,False,True,8,120.00,20.43,19.11,7.22,0.00
Na2S2@FeN4-PC-vdw,Na2S2,FeN4_vdw,C–N–C,120.00,PC,False,True,4,120.00,0.00,0.00,0.00,-1.71
Na2S2@FeN4-PC-vdw,Na2S2,FeN4_vdw,C–C–N,120.00,PC,False,True,16,120.00,0.00,0.00,0.00,-1.13
Na2S2@FeN4-PC-vdw,Na2S2,FeN4_vdw,C–C–C,120.00,PC,False,True,126,120.00,0.00,0.00,0.00,-0.73
Na2S2@FeN4-glyme-vdw,Na2S2,FeN4_vdw,C–C–C,120.00,Glyme,False,True,126,120.00,0.00,0.00,0.00,-0.73
Na2S2@FeN4-glyme-vdw,Na2S2,FeN4_vdw,C–N–Fe,120.00,Glyme,False,True,8,120.00,20.43,19.11,7.22,0.00
Na2S2@FeN4-glyme-vdw,Na2S2,FeN4_vdw,C–N–C,120.00,Glyme,False,True,4,120.00,0.00,0.00,0.00,-1.71
Na2S2@FeN4-glyme-vdw,Na2S2,FeN4_vdw,C–C–N,120.00,Glyme,False,True,16,120.00,0.00,0.00,0.00,-1.13
Na2S2@FeN4-glyme-vdw,Na2S2,FeN4_vdw,N–Fe–N,119.98,Glyme,False,True,6,98.21,47.02,42.93,19.20,0.86
Na2S2@FeN4-vdw,Na2S2,FeN4_vdw,C–C–C,120.00,Vacuum,True,True,126,120.00,0.00,0.00,0.00,-0.73
Na2S2@FeN4-vdw,Na2S2,FeN4_vdw,C–C–N,120.00,Vacuum,True,True,16,120.00,0.00,0.00,0.00,-1.13
Na2S2@FeN4-vdw,Na2S2,FeN4_vdw,C–N–C,120.00,Vacuum,True,True,4,120.00,0.00,0.00,0.00,-1.71
Na2S2@FeN4-vdw,Na2S2,FeN4_vdw,C–N–Fe,120.00,Vacuum,True,True,8,120.00,20.43,19.11,7.22,0.00
Na2S2@FeN4-vdw,Na2S2,FeN4_vdw,N–Fe–N,119.98,Vacuum,True,True,6,98.21,47.02,42.93,19.20,0.86
Na2S4@FeN4-PC-vdw,Na2S4,FeN4_vdw,C–C–N,120.00,PC,False,True,16,120.00,0.00,0.00,0.00,-1.07
Na2S4@FeN4-PC-vdw,Na2S4,FeN4_vdw,N–Fe–N,119.98,PC,False,True,6,98.21,47.02,42.93,19.20,0.86
Na2S4@FeN4-PC-vdw,Na2S4,FeN4_vdw,C–N–Fe,120.00,PC,False,True,8,120.00,20.43,19.11,7.22,0.00
Na2S4@FeN4-PC-vdw,Na2S4,FeN4_vdw,C–N–C,120.00,PC,False,True,4,120.00,0.00,0.00,0.00,-1.36
Na2S4@FeN4-PC-vdw,Na2S4,FeN4_vdw,C–C–C,120.00,PC,False,True,126,120.00,0.00,0.00,0.00,-0.67
Na2S4@FeN4-glyme-vdw,Na2S4,FeN4_vdw,C–C–N,120.00,Glyme,False,True,16,120.00,0.00,0.00,0.00,-1.07
Na2S4@FeN4-glyme-vdw,Na2S4,FeN4_vdw,C–N–Fe,120.00,Glyme,False,True,8,120.00,20.43,19.11,7.22,0.00
Na2S4@FeN4-glyme-vdw,Na2S4,FeN4_vdw,C–N–C,120.00,Glyme,False,True,4,120.00,0.00,0.00,0.00,-1.36
Na2S4@FeN4-glyme-vdw,Na2S4,FeN4_vdw,C–C–C,120.00,Glyme,False,True,126,120.00,0.00,0.00,0.00,-0.67
Na2S4@FeN4-glyme-vdw,Na2S4,FeN4_vdw,N–Fe–N,119.98,Glyme,False,True,6,98.21,47.02,42.93,19.20,0.86
Na2S4@FeN4-vdw,Na2S4,FeN4_vdw,C–C–C,120.00,Vacuum,True,True,126,120.00,0.00,0.00,0.00,-0.67
Na2S4@FeN4-vdw,Na2S4,FeN4_vdw,C–C–N,120.00,Vacuum,True,True,16,120.00,0.00,0.00,0.00,-1.07
Na2S4@FeN4-vdw,Na2S4,FeN4_vdw,C–N–C,120.00,Vacuum,True,True,4,120.00,0.00,0.00,0.00,-1.36
Na2S4@FeN4-vdw,Na2S4,FeN4_vdw,C–N–Fe,120.00,Vacuum,True,True,8,120.00,20.43,19.11,7.22,0.00
Na2S4@FeN4-vdw,Na2S4,FeN4_vdw,N–Fe–N,119.98,Vacuum,True,True,6,98.21,47.02,42.93,19.20,0.86
Na2S6@FeN4-PC-vdw,Na2S6,FeN4_vdw,C–C–N,120.00,PC,False,True,16,120.00,0.00,0.00,0.00,-1.07
Na2S6@FeN4-PC-vdw,Na2S6,FeN4_vdw,N–Fe–N,119.98,PC,False,True,6,98.21,47.02,42.93,19.20,0.86
Na2S6@FeN4-PC-vdw,Na2S6,FeN4_vdw,C–N–Fe,120.00,PC,False,True,8,120.00,20.43,19.11,7.22,0.00
Na2S6@FeN4-PC-vdw,Na2S6,FeN4_vdw,C–C–C,120.00,PC,False,True,126,120.00,0.00,0.00,0.00,-0.67
Na2S6@FeN4-PC-vdw,Na2S6,FeN4_vdw,C–N–C,120.00,PC,False,True,4,120.00,0.00,0.00,0.00,-1.36
Na2S6@FeN4-glyme-vdw,Na2S6,FeN4_vdw,C–N–Fe,120.00,Glyme,False,True,8,120.00,20.43,19.11,7.22,0.00
Na2S6@FeN4-glyme-vdw,Na2S6,FeN4_vdw,C–N–C,120.00,Glyme,False,True,4,120.00,0.00,0.00,0.00,-1.36
Na2S6@FeN4-glyme-vdw,Na2S6,FeN4_vdw,N–Fe–N,119.98,Glyme,False,True,6,98.21,47.02,42.93,19.20,0.86
Na2S6@FeN4-glyme-vdw,Na2S6,FeN4_vdw,C–C–N,120.00,Glyme,False,True,16,120.00,0.00,0.00,0.00,-1.07
Na2S6@FeN4-glyme-vdw,Na2S6,FeN4_vdw,C–C–C,120.00,Glyme,False,True,126,120.00,0.00,0.00,0.00,-0.67
Na2S6@FeN4-vdw,Na2S6,FeN4_vdw,C–C–C,120.00,Vacuum,True,True,126,120.00,0.00,0.00,0.00,-0.67
Na2S6@FeN4-vdw,Na2S6,FeN4_vdw,C–C–N,120.00,Vacuum,True,True,16,120.00,0.00,0.00,0.00,-1.07
Na2S6@FeN4-vdw,Na2S6,FeN4_vdw,C–N–C,120.00,Vacuum,True,True,4,120.00,0.00,0.00,0.00,-1.36
Na2S6@FeN4-vdw,Na2S6,FeN4_vdw,C–N–Fe,120.00,Vacuum,True,True,8,120.00,20.43,19.11,7.22,0.00
Na2S6@FeN4-vdw,Na2S6,FeN4_vdw,N–Fe–N,119.98,Vacuum,True,True,6,98.21,47.02,42.93,19.20,0.86
Na2S8@FeN4-PC-vdw,Na2S8,FeN4_vdw,C–N–Fe,120.00,PC,False,True,8,120.00,20.43,19.11,7.22,0.00
