name,NaPS,sorbent,Atoms,Mean,solvent,electronic_scf,vdw,Count,Median,Sam. std. dev.,Pop. std. dev.,Std. error,Skewness
Na2S2@FeN4,Na2S2,FeN4,C–N–C,120.00,Vacuum,True,False,4,120.00,0.00,0.00,0.00,-1.71
Na2S2@FeN4,Na2S2,FeN4,N–Fe–N,119.98,Vacuum,True,False,6,98.21,47.02,42.93,19.20,0.86
Na2S2@FeN4,Na2S2,FeN4,C–N–Fe,120.00,Vacuum,True,False,8,120.00,20.43,19.11,7.22,0.00
Na2S2@FeN4,Na2S2,FeN4,C–C–N,120.00,Vacuum,True,False,16,120.00,0.00,0.00,0.00,-1.13
Na2S2@FeN4,Na2S2,FeN4,C–C–C,120.00,Vacuum,True,False,126,120.00,0.00,0.00,0.00,-0.73
Na2S2@FeN4-PC,Na2S2,FeN4,C–C–C,120.00,PC,False,False,116,120.00,0.00,0.00,0.00,-0.46
Na2S2@FeN4-PC,Na2S2,FeN4,C–C–N,120.00,PC,False,False,16,120.00,0.00,0.00,0.00,-1.13
Na2S2@FeN4-PC,Na2S2,FeN4,C–N–C,120.00,PC,False,False,4,120.00,0.00,0.00,0.00,-1.71
Na2S2@FeN4-PC,Na2S2,FeN4,C–N–Fe,120.00,PC,False,False,8,120.00,20.43,19.11,7.22,0.00
Na2S2@FeN4-PC,Na2S2,FeN4,N–Fe–N,119.98,PC,False,False,6,98.21,47.02,42.93,19.20,0.86
Na2S2@FeN4-glyme,Na2S2,FeN4,C–C–C,120.00,Glyme,False,False,126,120.00,0.00,0.00,0.00,-0.73
Na2S2@FeN4-glyme,Na2S2,FeN4,C–N–Fe,120.00,Glyme,False,False,8,120.00,20.43,19.11,7.22,0.00
Na2S2@FeN4-glyme,Na2S2,FeN4,C–N–C,120.00,Glyme,False,False,4,120.00,0.00,0.00,0.00,-1.71
Na2S2@FeN4-glyme,Na2S2,FeN4,C–C–N,120.00,Glyme,False,False,16,120.00,0.00,0.00,0.00,-1.13
Na2S2@FeN4-glyme,Na2S2,FeN4,N–Fe–N,119.98,Glyme,False,False,6,98.21,47.02,42.93,19.20,0.86
Na2S4@FeN4,Na2S4,FeN4,N–Fe–N,119.98,Vacuum,True,False,6,98.21,47.02,42.93,19.20,0.86
Na2S4@FeN4,Na2S4,FeN4,C–N–Fe,120.00,Vacuum,True,False,8,120.00,20.43,19.11,7.22,0.00
Na2S4@FeN4,Na2S4,FeN4,C–N–C,120.00,Vacuum,True,False,4,120.00,0.00,0.00,0.00,-1.36
Na2S4@FeN4,Na2S4,FeN4,C–C–N,120.00,Vacuum,True,False,16,120.00,0.00,0.00,0.00,-1.07
Na2S4@FeN4,Na2S4,FeN4,C–C–C,120.00,Vacuum,True,False,126,120.00,0.00,0.00,0.00,-0.67
Na2S4@FeN4-PC,Na2S4,FeN4,C–N–Fe,120.00,PC,False,False,8,120.00,20.43,19.11,7.22,0.00
