name,NaPS,sorbent,Atoms,Mean,solvent,electronic_scf,vdw,Count,Median,Sam. std. dev.,Pop. std. dev.,Std. error,Skewness
Na2S2@N_graphene-PC-vdw,Na2S2,N_graphene,C–C–C,120.00,PC,True,True,161,120.00,0.00,0.00,0.00,0.26
Na2S2@N_graphene-PC-vdw,Na2S2,N_graphene,C–C–N,120.00,PC,True,True,6,120.00,0.00,0.00,0.00,-0.08
Na2S2@N_graphene-PC-vdw,Na2S2,N_graphene,C–N–C,120.00,PC,True,True,3,120.00,0.00,0.00,0.00,1.01
Na2S2@N_graphene-glyme-vdw,Na2S2,N_graphene,C–C–C,120.00,Glyme,True,True,161,120.00,0.00,0.00,0.00,0.26
Na2S2@N_graphene-glyme-vdw,Na2S2,N_graphene,C–C–N,120.00,Glyme,True,True,6,120.00,0.00,0.00,0.00,-0.08
Na2S2@N_graphene-glyme-vdw,Na2S2,N_graphene,C–N–C,120.00,Glyme,True,True,3,120.00,0.00,0.00,0.00,1.01
Na2S2@N_graphene-vdw,Na2S2,N_graphene,C–C–C,120.00,Vacuum,True,True,161,120.00,0.00,0.00,0.00,0.26
Na2S2@N_graphene-vdw,Na2S2,N_graphene,C–C–N,120.00,Vacuum,True,True,6,120.00,0.00,0.00,0.00,-0.08
Na2S2@N_graphene-vdw,Na2S2,N_graphene,C–N–C,120.00,Vacuum,True,True,3,120.00,0.00,0.00,0.00,1.01
Na2S4@N_graphene-PC-vdw,Na2S4,N_graphene,C–N–C,120.00,PC,True,True,3,120.00,0.00,0.00,0.00,1.01
Na2S4@N_graphene-PC-vdw,Na2S4,N_graphene,C–C–N,120.00,PC,True,True,6,120.00,0.00,0.00,0.00,-0.08
Na2S4@N_graphene-PC-vdw,Na2S4,N_graphene,C–C–C,120.00,PC,True,True,161,120.00,0.00,0.00,0.00,0.26
Na2S4@N_graphene-glyme-vdw,Na2S4,N_graphene,C–C–C,120.00,Glyme,True,True,161,120.00,0.00,0.00,0.00,0.26
Na2S4@N_graphene-glyme-vdw,Na2S4,N_graphene,C–C–N,120.00,Glyme,True,True,6,120.00,0.00,0.00,0.00,-0.08
Na2S4@N_graphene-glyme-vdw,Na2S4,N_graphene,C–N–C,120.00,Glyme,True,True,3,120.00,0.00,0.00,0.00,1.01
Na2S4@N_graphene-vdw,Na2S4,N_graphene,C–C–C,120.00,Vacuum,True,True,161,120.00,0.00,0.00,0.00,0.26
Na2S4@N_graphene-vdw,Na2S4,N_graphene,C–C–N,120.00,Vacuum,True,True,6,120.00,0.00,0.00,0.00,-0.08
