name,NaPS,sorbent,Atoms,Mean,solvent,electronic_scf,vdw,Count,Median,Sam. std. dev.,Pop. std. dev.,Std. error,Skewness
Na2S2@NiS2,Na2S2,NiS2,S–Ni–S,94.59,Vacuum,False,False,701,88.36,36.62,36.60,1.38,0.73
Na2S2@NiS2,Na2S2,NiS2,S–S–S,96.13,Vacuum,False,False,654,115.68,26.87,26.85,1.05,-0.06
Na2S2@NiS2,Na2S2,NiS2,Ni–S–S,88.35,Vacuum,False,False,1130,84.76,38.52,38.51,1.15,0.40
Na2S2@NiS2,Na2S2,NiS2,Ni–S–Ni,100.19,Vacuum,False,False,360,82.71,26.42,26.38,1.39,0.60
Na2S2@NiS2,Na2S2,NiS2,Ni–Ni–S,82.84,Vacuum,False,False,1466,76.16,37.48,37.47,0.98,0.22
Na2S2@NiS2,Na2S2,NiS2,Ni–Ni–Ni,87.87,Vacuum,False,False,620,90.00,32.91,32.88,1.32,1.08
Na2S2@NiS2-PC,Na2S2,NiS2,Ni–Ni–Ni,87.87,PC,False,False,620,90.00,32.91,32.88,1.32,1.08
Na2S2@NiS2-PC,Na2S2,NiS2,Ni–Ni–S,82.84,PC,False,False,1466,76.16,37.48,37.47,0.98,0.22
Na2S2@NiS2-PC,Na2S2,NiS2,S–Ni–S,94.59,PC,False,False,701,88.36,36.62,36.60,1.38,0.73
Na2S2@NiS2-PC,Na2S2,NiS2,Ni–S–Ni,100.19,PC,False,False,360,82.71,26.42,26.38,1.39,0.60
Na2S2@NiS2-PC,Na2S2,NiS2,Ni–S–S,88.35,PC,False,False,1130,84.76,38.52,38.51,1.15,0.40
Na2S2@NiS2-PC,Na2S2,NiS2,S–S–S,96.13,PC,False,False,654,115.68,26.87,26.85,1.05,-0.06
Na2S2@NiS2-glyme,Na2S2,NiS2,Ni–Ni–Ni,87.87,Glyme,False,False,620,90.00,32.91,32.88,1.32,1.08
Na2S2@NiS2-glyme,Na2S2,NiS2,Ni–S–S,88.35,Glyme,False,False,1130,84.76,38.52,38.51,1.15,0.40
Na2S2@NiS2-glyme,Na2S2,NiS2,Ni–S–Ni,100.19,Glyme,False,False,360,82.71,26.42,26.38,1.39,0.60
Na2S2@NiS2-glyme,Na2S2,NiS2,S–Ni–S,94.59,Glyme,False,False,701,88.36,36.62,36.60,1.38,0.73
Na2S2@NiS2-glyme,Na2S2,NiS2,Ni–Ni–S,82.84,Glyme,False,False,1466,76.16,37.48,37.47,0.98,0.22
Na2S2@NiS2-glyme,Na2S2,NiS2,S–S–S,96.13,Glyme,False,False,654,115.68,26.87,26.85,1.05,-0.06
Na2S4@NiS2,Na2S4,NiS2,Ni–Ni–Ni,87.87,Vacuum,False,False,620,90.00,32.91,32.88,1.32,1.08
Na2S4@NiS2,Na2S4,NiS2,Ni–Ni–S,82.84,Vacuum,False,False,1466,76.16,37.48,37.47,0.98,0.22
Na2S4@NiS2,Na2S4,NiS2,S–Ni–S,94.59,Vacuum,False,False,701,88.36,36.62,36.60,1.38,0.73
Na2S4@NiS2,Na2S4,NiS2,Ni–S–S,88.35,Vacuum,False,False,1130,84.76,38.52,38.51,1.15,0.40
Na2S4@NiS2,Na2S4,NiS2,S–S–S,96.13,Vacuum,False,False,654,115.68,26.87,26.85,1.05,-0.06
Na2S4@NiS2,Na2S4,NiS2,Ni–S–Ni,100.19,Vacuum,False,False,360,82.71,26.42,26.38,1.39,0.60
Na2S4@NiS2-PC,Na2S4,NiS2,Ni–S–S,88.35,PC,False,False,1130,84.76,38.52,38.51,1.15,0.40
Na2S4@NiS2-PC,Na2S4,NiS2,Ni–Ni–Ni,87.87,PC,False,False,620,90.00,32.91,32.88,1.32,1.08
Na2S4@NiS2-PC,Na2S4,NiS2,Ni–Ni–S,82.84,PC,False,False,1466,76.16,37.48,37.47,0.98,0.22
Na2S4@NiS2-PC,Na2S4,NiS2,S–Ni–S,94.59,PC,False,False,701,88.36,36.62,36.60,1.38,0.73
Na2S4@NiS2-PC,Na2S4,NiS2,Ni–S–Ni,100.19,PC,False,False,360,82.71,26.42,26.38,1.39,0.60
Na2S4@NiS2-PC,Na2S4,NiS2,S–S–S,96.13,PC,False,False,654,115.68,26.87,26.85,1.05,-0.06
Na2S4@NiS2-glyme,Na2S4,NiS2,Ni–S–S,88.35,Glyme,False,False,1130,84.76,38.52,38.51,1.15,0.40
Na2S4@NiS2-glyme,Na2S4,NiS2,Ni–S–Ni,100.19,Glyme,False,False,360,82.71,26.42,26.38,1.39,0.60
Na2S4@NiS2-glyme,Na2S4,NiS2,S–Ni–S,94.59,Glyme,False,False,701,88.36,36.62,36.60,1.38,0.73
Na2S4@NiS2-glyme,Na2S4,NiS2,Ni–Ni–S,82.84,Glyme,False,False,1466,76.16,37.48,37.47,0.98,0.22
Na2S4@NiS2-glyme,Na2S4,NiS2,Ni–Ni–Ni,87.87,Glyme,False,False,620,90.00,32.91,32.88,1.32,1.08
Na2S4@NiS2-glyme,Na2S4,NiS2,S–S–S,96.13,Glyme,False,False,654,115.68,26.87,26.85,1.05,-0.06
Na2S6@NiS2,Na2S6,NiS2,S–S–S,96.13,Vacuum,False,False,654,115.68,26.87,26.85,1.05,-0.06
Na2S6@NiS2,Na2S6,NiS2,Ni–S–S,88.35,Vacuum,False,False,1130,84.76,38.52,38.51,1.15,0.40
Na2S6@NiS2,Na2S6,NiS2,Ni–S–Ni,100.19,Vacuum,False,False,360,82.71,26.42,26.38,1.39,0.60
Na2S6@NiS2,Na2S6,NiS2,S–Ni–S,94.59,Vacuum,False,False,701,88.36,36.62,36.60,1.38,0.73
Na2S6@NiS2,Na2S6,NiS2,Ni–Ni–S,82.84,Vacuum,False,False,1466,76.16,37.48,37.47,0.98,0.22
Na2S6@NiS2,Na2S6,NiS2,Ni–Ni–Ni,87.87,Vacuum,False,False,620,90.00,32.91,32.88,1.32,1.08
Na2S6@NiS2-PC,Na2S6,NiS2,Ni–S–S,88.35,PC,False,False,1130,84.76,38.52,38.51,1.15,0.40
Na2S6@NiS2-PC,Na2S6,NiS2,S–S–S,96.13,PC,False,False,654,115.68,26.87,26.85,1.05,-0.06
Na2S6@NiS2-PC,Na2S6,NiS2,Ni–S–Ni,100.19,PC,False,False,360,82.71,26.42,26.38,1.39,0.60
Na2S6@NiS2-PC,Na2S6,NiS2,S–Ni–S,94.59,PC,False,False,701,88.36,36.62,36.60,1.38,0.73
Na2S6@NiS2-PC,Na2S6,NiS2,Ni–Ni–S,82.84,PC,False,False,1466,76.16,37.48,37.47,0.98,0.22
Na2S6@NiS2-PC,Na2S6,NiS2,Ni–Ni–Ni,87.87,PC,False,False,620,90.00,32.91,32.88,1.32,1.08
Na2S6@NiS2-glyme,Na2S6,NiS2,S–S–S,96.13,Glyme,False,False,654,115.68,26.87,26.85,1.05,-0.06
Na2S6@NiS2-glyme,Na2S6,NiS2,Ni–S–S,88.35,Glyme,False,False,1130,84.76,38.52,38.51,1.15,0.40
Na2S6@NiS2-glyme,Na2S6,NiS2,Ni–S–Ni,100.19,Glyme,False,False,360,82.71,26.42,26.38,1.39,0.60
Na2S6@NiS2-glyme,Na2S6,NiS2,S–Ni–S,94.59,Glyme,False,False,701,88.36,36.62,36.60,1.38,0.73
Na2S6@NiS2-glyme,Na2S6,NiS2,Ni–Ni–S,82.84,Glyme,False,False,1466,76.16,37.48,37.47,0.98,0.22
Na2S6@NiS2-glyme,Na2S6,NiS2,Ni–Ni–Ni,87.87,Glyme,False,False,620,90.00,32.91,32.88,1.32,1.08
Na2S8@NiS2,Na2S8,NiS2,S–S–S,96.13,Vacuum,False,False,654,115.68,26.87,26.85,1.05,-0.06
Na2S8@NiS2,Na2S8,NiS2,Ni–S–S,88.35,Vacuum,False,False,1130,84.76,38.52,38.51,1.15,0.40
Na2S8@NiS2,Na2S8,NiS2,Ni–S–Ni,100.19,Vacuum,False,False,360,82.71,26.42,26.38,1.39,0.60
Na2S8@NiS2,Na2S8,NiS2,S–Ni–S,94.59,Vacuum,False,False,701,88.36,36.62,36.60,1.38,0.73
