name,NaPS,sorbent,Atoms,Mean,solvent,electronic_scf,vdw,Count,Median,Sam. std. dev.,Pop. std. dev.,Std. error,Skewness
Na2S2@TiO2,Na2S2,TiO2,Ti–Ti–O,82.24,Vacuum,True,False,633,71.64,42.48,42.44,1.69,0.21
Na2S2@TiO2,Na2S2,TiO2,Ti–O–Ti,106.35,Vacuum,True,False,129,111.28,23.51,23.42,2.07,-0.21
Na2S2@TiO2,Na2S2,TiO2,O–Ti–O,95.93,Vacuum,True,False,308,90.00,38.37,38.31,2.19,0.62
Na2S2@TiO2,Na2S2,TiO2,Ti–Ti–Ti,92.25,Vacuum,True,False,240,85.06,38.35,38.27,2.48,0.46
Na2S2@TiO2-PC,Na2S2,TiO2,Ti–Ti–Ti,92.25,PC,False,False,240,85.06,38.35,38.27,2.48,0.46
Na2S2@TiO2-PC,Na2S2,TiO2,Ti–Ti–O,82.24,PC,False,False,633,71.64,42.48,42.44,1.69,0.21
Na2S2@TiO2-PC,Na2S2,TiO2,O–Ti–O,95.93,PC,False,False,308,90.00,38.37,38.31,2.19,0.62
Na2S2@TiO2-PC,Na2S2,TiO2,Ti–O–Ti,106.35,PC,False,False,129,111.28,23.51,23.42,2.07,-0.21
Na2S2@TiO2-glyme,Na2S2,TiO2,Ti–Ti–Ti,92.25,Glyme,False,False,240,85.06,38.35,38.27,2.48,0.46
Na2S2@TiO2-glyme,Na2S2,TiO2,O–Ti–O,95.93,Glyme,False,False,308,90.00,38.37,38.31,2.19,0.62
Na2S2@TiO2-glyme,Na2S2,TiO2,Ti–Ti–O,82.24,Glyme,False,False,633,71.64,42.48,42.44,1.69,0.21
Na2S2@TiO2-glyme,Na2S2,TiO2,Ti–O–Ti,106.35,Glyme,False,False,129,111.28,23.51,23.42,2.07,-0.21
Na2S4@TiO2,Na2S4,TiO2,Ti–O–Ti,106.35,Vacuum,True,False,129,111.28,23.51,23.42,2.07,-0.21
Na2S4@TiO2,Na2S4,TiO2,O–Ti–O,95.93,Vacuum,True,False,308,90.00,38.37,38.31,2.19,0.62
Na2S4@TiO2,Na2S4,TiO2,Ti–Ti–O,82.24,Vacuum,True,False,633,71.64,42.48,42.44,1.69,0.21
Na2S4@TiO2,Na2S4,TiO2,Ti–Ti–Ti,92.25,Vacuum,True,False,240,85.06,38.35,38.27,2.48,0.46
Na2S4@TiO2-PC,Na2S4,TiO2,O–Ti–O,95.93,PC,False,False,308,90.00,38.37,38.31,2.19,0.62
Na2S4@TiO2-PC,Na2S4,TiO2,Ti–Ti–Ti,92.25,PC,False,False,240,85.06,38.35,38.27,2.48,0.46
Na2S4@TiO2-PC,Na2S4,TiO2,Ti–Ti–O,82.24,PC,False,False,633,71.64,42.48,42.44,1.69,0.21
Na2S4@TiO2-PC,Na2S4,TiO2,Ti–O–Ti,106.35,PC,False,False,129,111.28,23.51,23.42,2.07,-0.21
Na2S4@TiO2-glyme,Na2S4,TiO2,O–Ti–O,95.93,Glyme,False,False,308,90.00,38.37,38.31,2.19,0.62
Na2S4@TiO2-glyme,Na2S4,TiO2,Ti–Ti–O,82.24,Glyme,False,False,633,71.64,42.48,42.44,1.69,0.21
Na2S4@TiO2-glyme,Na2S4,TiO2,Ti–Ti–Ti,92.25,Glyme,False,False,240,85.06,38.35,38.27,2.48,0.46
Na2S4@TiO2-glyme,Na2S4,TiO2,Ti–O–Ti,106.35,Glyme,False,False,129,111.28,23.51,23.42,2.07,-0.21
Na2S6@TiO2,Na2S6,TiO2,Ti–O–Ti,106.35,Vacuum,True,False,129,111.28,23.51,23.42,2.07,-0.21
Na2S6@TiO2,Na2S6,TiO2,O–Ti–O,95.93,Vacuum,True,False,308,90.00,38.37,38.31,2.19,0.62
Na2S6@TiO2,Na2S6,TiO2,Ti–Ti–O,82.24,Vacuum,True,False,633,71.64,42.48,42.44,1.69,0.21
Na2S6@TiO2,Na2S6,TiO2,Ti–Ti–Ti,92.25,Vacuum,True,False,240,85.06,38.35,38.27,2.48,0.46
Na2S6@TiO2-PC,Na2S6,TiO2,Ti–O–Ti,106.35,PC,False,False,129,111.28,23.51,23.42,2.07,-0.21
Na2S6@TiO2-PC,Na2S6,TiO2,O–Ti–O,95.93,PC,False,False,308,90.00,38.37,38.31,2.19,0.62
Na2S6@TiO2-PC,Na2S6,TiO2,Ti–Ti–O,82.24,PC,False,False,633,71.64,42.48,42.44,1.69,0.21
Na2S6@TiO2-PC,Na2S6,TiO2,Ti–Ti–Ti,92.25,PC,False,False,240,85.06,38.35,38.27,2.48,0.46
Na2S6@TiO2-glyme,Na2S6,TiO2,Ti–O–Ti,106.35,Glyme,False,False,129,111.28,23.51,23.42,2.07,-0.21
Na2S6@TiO2-glyme,Na2S6,TiO2,O–Ti–O,95.93,Glyme,False,False,308,90.00,38.37,38.31,2.19,0.62
Na2S6@TiO2-glyme,Na2S6,TiO2,Ti–Ti–O,82.24,Glyme,False,False,633,71.64,42.48,42.44,1.69,0.21
Na2S6@TiO2-glyme,Na2S6,TiO2,Ti–Ti–Ti,92.25,Glyme,False,False,240,85.06,38.35,38.27,2.48,0.46
Na2S8@TiO2,Na2S8,TiO2,Ti–O–Ti,106.35,Vacuum,True,False,129,111.28,23.51,23.42,2.07,-0.21
Na2S8@TiO2,Na2S8,TiO2,O–Ti–O,95.93,Vacuum,True,False,308,90.00,38.37,38.31,2.19,0.62
Na2S8@TiO2,Na2S8,TiO2,Ti–Ti–Ti,92.25,Vacuum,True,False,240,85.06,38.35,38.27,2.48,0.46
Na2S8@TiO2,Na2S8,TiO2,Ti–Ti–O,82.24,Vacuum,True,False,633,71.64,42.48,42.44,1.69,0.21
Na2S8@TiO2-PC,Na2S8,TiO2,Ti–Ti–Ti,92.25,PC,False,False,240,85.06,38.35,38.27,2.48,0.46
Na2S8@TiO2-PC,Na2S8,TiO2,Ti–Ti–O,82.24,PC,False,False,633,71.64,42.48,42.44,1.69,0.21
Na2S8@TiO2-PC,Na2S8,TiO2,O–Ti–O,95.93,PC,False,False,308,90.00,38.37,38.31,2.19,0.62
Na2S8@TiO2-PC,Na2S8,TiO2,Ti–O–Ti,106.35,PC,False,False,129,111.28,23.51,23.42,2.07,-0.21
Na2S8@TiO2-glyme,Na2S8,TiO2,O–Ti–O,95.93,Glyme,False,False,308,90.00,38.37,38.31,2.19,0.62
Na2S8@TiO2-glyme,Na2S8,TiO2,Ti–Ti–O,82.24,Glyme,False,False,633,71.64,42.48,42.44,1.69,0.21
Na2S8@TiO2-glyme,Na2S8,TiO2,Ti–Ti–Ti,92.25,Glyme,False,False,240,85.06,38.35,38.27,2.48,0.46
Na2S8@TiO2-glyme,Na2S8,TiO2,Ti–O–Ti,106.35,Glyme,False,False,129,111.28,23.51,23.42,2.07,-0.21
Na2S@TiO2,Na2S,TiO2,Ti–Ti–O,83.96,Vacuum,True,False,1337,71.64,42.78,42.76,1.17,0.17
Na2S@TiO2,Na2S,TiO2,Ti–Ti–Ti,94.52,Vacuum,True,False,532,90.00,39.09,39.05,1.69,0.41
Na2S@TiO2,Na2S,TiO2,Ti–O–Ti,106.53,Vacuum,True,False,265,111.28,23.57,23.52,1.45,-0.21
Na2S@TiO2,Na2S,TiO2,O–Ti–O,96.93,Vacuum,True,False,628,90.00,39.07,39.03,1.56,0.58
Na2S@TiO2-PC,Na2S,TiO2,Ti–Ti–Ti,92.25,PC,False,False,240,85.06,38.35,38.27,2.48,0.46
Na2S@TiO2-PC,Na2S,TiO2,Ti–Ti–O,82.24,PC,False,False,633,71.64,42.48,42.44,1.69,0.21
Na2S@TiO2-PC,Na2S,TiO2,O–Ti–O,95.93,PC,False,False,308,90.00,38.37,38.31,2.19,0.62
Na2S@TiO2-PC,Na2S,TiO2,Ti–O–Ti,106.35,PC,False,False,129,111.28,23.51,23.42,2.07,-0.21
Na2S@TiO2-glyme,Na2S,TiO2,Ti–O–Ti,106.35,Glyme,True,False,129,111.28,23.51,23.42,2.07,-0.21
Na2S@TiO2-glyme,Na2S,TiO2,Ti–Ti–Ti,92.25,Glyme,True,False,240,85.06,38.35,38.27,2.48,0.46
Na2S@TiO2-glyme,Na2S,TiO2,O–Ti–O,95.93,Glyme,True,False,308,90.00,38.37,38.31,2.19,0.62
Na2S@TiO2-glyme,Na2S,TiO2,Ti–Ti–O,82.24,Glyme,True,False,633,71.64,42.48,42.44,1.69,0.21
