name,NaPS,sorbent,Atoms,Mean,solvent,electronic_scf,vdw,Count,Median,Sam. std. dev.,Pop. std. dev.,Std. error,Skewness
Na2S2@graphene_vdw,Na2S2,graphene_vdw,C–C–C,120.01,Vacuum,True,True,170,120.01,0.08,0.08,0.01,-0.18
Na2S2@graphene_vdw-PC,Na2S2,graphene_vdw,C–C–C,120.00,PC,True,True,170,120.00,0.02,0.02,0.00,-0.17
Na2S2@graphene_vdw-glyme,Na2S2,graphene_vdw,C–C–C,120.00,Glyme,True,True,170,120.00,0.04,0.04,0.00,-0.26
Na2S4@graphene_vdw,Na2S4,graphene_vdw,C–C–C,120.00,Vacuum,False,True,170,120.00,0.06,0.06,0.00,0.11
Na2S4@graphene_vdw-PC,Na2S4,graphene_vdw,C–C–C,119.99,PC,False,True,170,120.00,0.04,0.04,0.00,-0.30
Na2S4@graphene_vdw-glyme,Na2S4,graphene_vdw,C–C–C,120.00,Glyme,False,True,170,120.00,0.03,0.03,0.00,0.41
Na2S6@graphene_vdw,Na2S6,graphene_vdw,C–C–C,120.00,Vacuum,True,True,170,120.00,0.06,0.06,0.00,0.03
Na2S6@graphene_vdw-PC,Na2S6,graphene_vdw,C–C–C,120.00,PC,True,True,170,120.00,0.03,0.03,0.00,-0.19
Na2S6@graphene_vdw-glyme,Na2S6,graphene_vdw,C–C–C,120.00,Glyme,True,True,170,120.00,0.03,0.03,0.00,-0.06
Na2S8@graphene_vdw,Na2S8,graphene_vdw,C–C–C,120.00,Vacuum,True,True,170,120.00,0.00,0.00,0.00,0.15
Na2S8@graphene_vdw-PC,Na2S8,graphene_vdw,C–C–C,120.00,PC,True,True,170,120.00,0.00,0.00,0.00,0.15
Na2S8@graphene_vdw-glyme,Na2S8,graphene_vdw,C–C–C,120.00,Glyme,True,True,170,120.00,0.00,0.00,0.00,0.15
Na2S@graphene_vdw,Na2S,graphene_vdw,C–C–C,120.01,Vacuum,True,True,170,120.00,0.08,0.08,0.01,-0.31
Na2S@graphene_vdw-PC,Na2S,graphene_vdw,C–C–C,120.00,PC,True,True,170,120.00,0.01,0.01,0.00,-0.30
Na2S@graphene_vdw-glyme,Na2S,graphene_vdw,C–C–C,120.00,Glyme,True,True,170,120.00,0.06,0.06,0.00,-0.38
