name,NaPS,sorbent,Atoms,Mean,solvent,electronic_scf,vdw,Count,Median,Sam. std. dev.,Pop. std. dev.,Std. error,Skewness
FeN4,,FeN4,N–Fe–N,119.98,Vacuum,True,False,6,98.21,47.02,42.93,19.20,0.86
FeN4,,FeN4,C–N–Fe,120.00,Vacuum,True,False,8,120.00,20.43,19.11,7.22,0.00
FeN4,,FeN4,C–N–C,120.00,Vacuum,True,False,4,120.00,0.00,0.00,0.00,-1.71
FeN4,,FeN4,C–C–N,120.00,Vacuum,True,False,16,120.00,0.00,0.00,0.00,-1.13
FeN4,,FeN4,C–C–C,120.00,Vacuum,True,False,116,120.00,0.00,0.00,0.00,-0.46
FeN4-PC,,FeN4,N–Fe–N,119.98,PC,True,False,6,98.21,47.02,42.93,19.20,0.86
FeN4-PC,,FeN4,C–N–Fe,120.00,PC,True,False,8,120.00,20.43,19.11,7.22,0.00
FeN4-PC,,FeN4,C–N–C,120.00,PC,True,False,4,120.00,0.00,0.00,0.00,-1.71
FeN4-PC,,FeN4,C–C–N,120.00,PC,True,False,16,120.00,0.00,0.00,0.00,-1.13
FeN4-PC,,FeN4,C–C–C,120.00,PC,True,False,116,120.00,0.00,0.00,0.00,-0.46
FeN4-PC-elecmin,,FeN4,N–Fe–N,119.98,PC,False,False,6,98.21,47.02,42.93,19.20,0.86
FeN4-PC-elecmin,,FeN4,C–N–Fe,120.00,PC,False,False,8,120.00,20.43,19.11,7.22,0.00
FeN4-PC-elecmin,,FeN4,C–N–C,120.00,PC,False,False,4,120.00,0.00,0.00,0.00,-1.71
FeN4-PC-elecmin,,FeN4,C–C–N,120.00,PC,False,False,16,120.00,0.00,0.00,0.00,-1.13
FeN4-PC-elecmin,,FeN4,C–C–C,120.00,PC,False,False,116,120.00,0.00,0.00,0.00,-0.46
FeN4-elecmin,,FeN4,C–C–C,120.00,Vacuum,False,False,116,120.00,0.00,0.00,0.00,-0.46
FeN4-elecmin,,FeN4,N–Fe–N,119.98,Vacuum,False,False,6,98.21,47.02,42.93,19.20,0.86
FeN4-elecmin,,FeN4,C–N–Fe,120.00,Vacuum,False,False,8,120.00,20.43,19.11,7.22,0.00
FeN4-elecmin,,FeN4,C–N–C,120.00,Vacuum,False,False,4,120.00,0.00,0.00,0.00,-1.71
FeN4-elecmin,,FeN4,C–C–N,120.00,Vacuum,False,False,16,120.00,0.00,0.00,0.00,-1.13
FeN4-glyme,,FeN4,C–N–Fe,120.00,Glyme,True,False,8,120.00,20.43,19.11,7.22,0.00
FeN4-glyme,,FeN4,C–N–C,120.00,Glyme,True,False,4,120.00,0.00,0.00,0.00,-1.71
FeN4-glyme,,FeN4,C–C–N,120.00,Glyme,True,False,16,120.00,0.00,0.00,0.00,-1.13
FeN4-glyme,,FeN4,C–C–C,120.00,Glyme,True,False,116,120.00,0.00,0.00,0.00,-0.46
FeN4-glyme,,FeN4,N–Fe–N,119.98,Glyme,True,False,6,98.21,47.02,42.93,19.20,0.86
FeN4-glyme-elecmin,,FeN4,N–Fe–N,119.98,Glyme,False,False,6,98.21,47.02,42.93,19.20,0.86
FeN4-glyme-elecmin,,FeN4,C–N–Fe,120.00,Glyme,False,False,8,120.00,20.43,19.11,7.22,0.00
FeN4-glyme-elecmin,,FeN4,C–N–C,120.00,Glyme,False,False,4,120.00,0.00,0.00,0.00,-1.71
FeN4-glyme-elecmin,,FeN4,C–C–N,120.00,Glyme,False,False,16,120.00,0.00,0.00,0.00,-1.13
FeN4-glyme-elecmin,,FeN4,C–C–C,120.00,Glyme,False,False,116,120.00,0.00,0.00,0.00,-0.46
N_graphene-PC-elecmin,,N_graphene,C–C–C,119.99,PC,False,False,161,120.00,0.29,0.29,0.02,-0.99
N_graphene-PC-elecmin,,N_graphene,C–N–C,120.00,PC,False,False,3,120.00,0.00,0.00,0.00,1.73
N_graphene-PC-elecmin,,N_graphene,C–C–N,120.07,PC,False,False,6,120.07,0.00,0.00,0.00,-1.19
N_graphene-PC-elecmin-vdw,,N_graphene,C–N–C,120.00,PC,False,True,3,120.00,0.00,0.00,0.00,1.73
N_graphene-PC-elecmin-vdw,,N_graphene,C–C–N,120.07,PC,False,True,6,120.07,0.00,0.00,0.00,-1.19
N_graphene-PC-elecmin-vdw,,N_graphene,C–C–C,119.99,PC,False,True,161,120.00,0.29,0.29,0.02,-0.99
N_graphene-PC-vdw,,N_graphene,C–N–C,120.00,PC,True,True,3,119.97,0.05,0.04,0.03,1.72
N_graphene-PC-vdw,,N_graphene,C–C–N,119.95,PC,True,True,6,119.95,0.04,0.04,0.02,0.02
N_graphene-PC-vdw,,N_graphene,C–C–C,120.01,PC,True,True,161,120.01,0.06,0.06,0.00,-0.04
N_graphene-elecmin,,N_graphene,C–C–C,120.01,Vacuum,False,False,161,120.01,0.06,0.06,0.00,-0.04
N_graphene-elecmin,,N_graphene,C–C–N,119.95,Vacuum,False,False,6,119.95,0.04,0.04,0.02,0.02
N_graphene-elecmin,,N_graphene,C–N–C,120.00,Vacuum,False,False,3,119.97,0.05,0.04,0.03,1.72
N_graphene-elecmin-vdw,,N_graphene,C–N–C,120.00,Vacuum,False,True,3,119.97,0.05,0.04,0.03,1.72
N_graphene-elecmin-vdw,,N_graphene,C–C–C,120.01,Vacuum,False,True,161,120.01,0.06,0.06,0.00,-0.04
N_graphene-elecmin-vdw,,N_graphene,C–C–N,119.95,Vacuum,False,True,6,119.95,0.04,0.04,0.02,0.02
N_graphene-glyme-elecmin,,N_graphene,C–N–C,120.00,Glyme,False,False,3,120.00,0.00,0.00,0.00,1.73
N_graphene-glyme-elecmin,,N_graphene,C–C–C,119.99,Glyme,False,False,161,120.00,0.29,0.29,0.02,-0.99
N_graphene-glyme-elecmin,,N_graphene,C–C–N,120.07,Glyme,False,False,6,120.07,0.00,0.00,0.00,-1.19
N_graphene-glyme-elecmin-vdw,,N_graphene,C–N–C,120.00,Glyme,False,True,3,120.00,0.00,0.00,0.00,1.73
N_graphene-glyme-elecmin-vdw,,N_graphene,C–C–N,120.07,Glyme,False,True,6,120.07,0.00,0.00,0.00,-1.19
N_graphene-glyme-elecmin-vdw,,N_graphene,C–C–C,119.99,Glyme,False,True,161,120.00,0.29,0.29,0.02,-0.99
N_graphene-glyme-vdw,,N_graphene,C–C–C,120.01,Glyme,True,True,161,120.01,0.06,0.06,0.00,-0.04
N_graphene-glyme-vdw,,N_graphene,C–N–C,120.00,Glyme,True,True,3,119.97,0.05,0.04,0.03,1.72
N_graphene-glyme-vdw,,N_graphene,C–C–N,119.95,Glyme,True,True,6,119.95,0.04,0.04,0.02,0.02
N_graphene-vdw,,N_graphene,C–C–C,120.01,Vacuum,True,True,161,120.01,0.06,0.06,0.00,-0.04
N_graphene-vdw,,N_graphene,C–N–C,120.00,Vacuum,True,True,3,119.97,0.05,0.04,0.03,1.72
N_graphene-vdw,,N_graphene,C–C–N,119.95,Vacuum,True,True,6,119.95,0.04,0.04,0.02,0.02
NiS2-PC,,NiS2,S–Ni–S,103.24,PC,False,False,239,93.58,32.56,32.49,2.11,1.92
NiS2-PC,,NiS2,Ni–S–S,104.56,PC,False,False,59,104.56,0.00,0.00,0.00,-0.32
NiS2-PC,,NiS2,Ni–S–Ni,113.91,PC,False,False,93,113.91,0.00,0.00,0.00,0.35
NiS2-PC-elecmin,,NiS2,S–Ni–S,103.24,PC,False,False,239,93.58,32.56,32.49,2.11,1.92
NiS2-PC-elecmin,,NiS2,Ni–S–Ni,113.91,PC,False,False,93,113.91,0.00,0.00,0.00,0.35
NiS2-PC-elecmin,,NiS2,Ni–S–S,104.56,PC,False,False,59,104.56,0.00,0.00,0.00,-0.32
NiS2-elecmin,,NiS2,Ni–S–Ni,113.91,Vacuum,False,False,93,113.91,0.00,0.00,0.00,0.35
NiS2-elecmin,,NiS2,Ni–S–S,104.56,Vacuum,False,False,59,104.56,0.00,0.00,0.00,-0.32
NiS2-elecmin,,NiS2,S–Ni–S,103.24,Vacuum,False,False,239,93.58,32.56,32.49,2.11,1.92
NiS2-glyme-elecmin,,NiS2,Ni–S–Ni,113.91,Glyme,False,False,93,113.91,0.00,0.00,0.00,0.35
NiS2-glyme-elecmin,,NiS2,Ni–S–S,104.56,Glyme,False,False,59,104.56,0.00,0.00,0.00,-0.32
NiS2-glyme-elecmin,,NiS2,S–Ni–S,103.24,Glyme,False,False,239,93.58,32.56,32.49,2.11,1.92
NiS2_S-PC-elecmin,,NiS2_S,Ni–S–Ni,113.91,PC,False,False,93,113.91,0.00,0.00,0.00,0.35
NiS2_S-PC-elecmin,,NiS2_S,Ni–S–S,104.56,PC,False,False,59,104.56,0.00,0.00,0.00,-0.32
NiS2_S-PC-elecmin,,NiS2_S,S–Ni–S,103.24,PC,False,False,239,93.58,32.56,32.49,2.11,1.92
NiS2_S-elecmin,,NiS2_S,Ni–S–Ni,113.91,Vacuum,False,False,93,113.91,0.00,0.00,0.00,0.35
