NaPS,Sorbent,Solvent,Binding Energy,Combined Energy,Sum Energy,Electronic SCF,vdw
Na2S2,FeN4,Vacuum,115.98383489911669,-657.1684353400015,-541.1846004408848,True,False
Na2S2,FeN4,PC,104.4632590115906,-657.3635749726221,-552.9003159610315,False,False
Na2S2,FeN4,Glyme,0.04839462233053382,-657.2214416067656,-657.173046984435,False,False
Na2S4,FeN4,Vacuum,136.561942994697,-677.7465434355818,-541.1846004408848,True,False
Na2S4,FeN4,PC,0.030308095185546335,-677.935701389782,-677.9053932945965,False,False
Na2S4,FeN4,Glyme,0.014690744757331231,-677.7884644540812,-677.7737737093239,False,False
Na2S6,FeN4,Vacuum,157.11532798822077,-698.2999284291055,-541.1846004408848,True,False
Na2S6,FeN4,PC,0.026910777933380814,-698.4816846671223,-698.4547738891889,False,False
Na2S6,FeN4,Glyme,0.0013791621322525316,-698.3431616256228,-698.3417824634905,False,False
Na2S8,FeN4,Vacuum,0.016297016574185363,-718.8569160010801,-718.8406189845059,False,False
Na2S8,FeN4,PC,0.004960688908340671,-719.0352134437954,-719.0302527548871,False,False
Na2S8,FeN4,Glyme,-0.0031080771847200594,-718.903476014094,-718.9065840912788,False,False
Na2S,FeN4,Vacuum,105.65806459267105,-646.8426650335558,-541.1846004408848,True,False
Na2S,FeN4,PC,105.83167378711278,-647.0171721690117,-541.1854983818989,True,False
Na2S,FeN4,Glyme,105.68323261296041,-646.8805172107656,-541.1972845978052,True,False
