NaPS,Sorbent,Solvent,Binding Energy,Combined Energy,Sum Energy,Electronic SCF,vdw
Na2S,N_graphene,Glyme,0.040982812,-521.2686438,-521.227661,FALSE,TRUE
Na2S2,N_graphene,Glyme,0.040819942,-531.5826987,-531.5418788,TRUE,TRUE
Na2S4,N_graphene,Glyme,0.022142616,-552.1686586,-552.146516,TRUE,TRUE
Na2S6,N_graphene,Glyme,0.010256086,-572.7291557,-572.7188996,TRUE,TRUE
Na2S8,N_graphene,Glyme,0.04212513,-593.3058496,-593.2637244,FALSE,TRUE
Na2S,N_graphene,PC,0.020681056,-521.4211109,-521.4004298,TRUE,TRUE
Na2S2,N_graphene,PC,0.042906906,-531.733729,-531.6908221,TRUE,TRUE
Na2S4,N_graphene,PC,0.02789071,-552.3159886,-552.2880979,TRUE,TRUE
Na2S6,N_graphene,PC,0.042883226,-572.8864598,-572.8435766,TRUE,TRUE
Na2S8,N_graphene,PC,0.032786889,-593.4546038,-593.4218169,FALSE,TRUE
Na2S,N_graphene,Vacuum,0.048336481,-521.2178691,-521.1695326,FALSE,TRUE
Na2S2,N_graphene,Vacuum,0.05512429,-531.5316695,-531.4765453,TRUE,TRUE
Na2S4,N_graphene,Vacuum,0.039626323,-552.128153,-552.0885266,TRUE,TRUE
Na2S6,N_graphene,Vacuum,0.037632186,-572.698899,-572.6612668,FALSE,TRUE
Na2S8,N_graphene,Vacuum,0.032956037,-593.2695736,-593.2366176,TRUE,TRUE
