NaPS,Sorbent,Solvent,Binding Energy,Combined Energy,Sum Energy,Electronic SCF,vdw
Na2S2,NiS2,Vacuum,0.15228105498135847,-7019.842748308727,-7019.690467253746,False,False
Na2S2,NiS2,PC,0.05544906175146025,-7020.286082560453,-7020.2306334987015,False,False
Na2S2,NiS2,Glyme,0.1416100434562395,-7019.935451672136,-7019.79384162868,False,False
Na2S4,NiS2,Vacuum,0.1714813159305777,-7040.470806255453,-7040.299324939522,False,False
Na2S4,NiS2,PC,0.2173206369707259,-7041.038559772859,-7040.821239135888,False,False
Na2S4,NiS2,Glyme,0.10449128400705376,-7040.499059637576,-7040.3945683535685,False,False
Na2S6,NiS2,Vacuum,0.3535538145852115,-7061.220943072183,-7060.867389257598,False,False
Na2S6,NiS2,PC,0.2918968374224278,-7061.662516567903,-7061.370619730481,False,False
Na2S6,NiS2,Glyme,0.3506017114768838,-7061.313178819212,-7060.962577107735,False,False
Na2S8,NiS2,Vacuum,0.37147712349906215,-7081.796347383539,-7081.42487026004,False,False
Na2S8,NiS2,PC,0.20406308395467931,-7082.150161680134,-7081.94609859618,False,False
Na2S8,NiS2,Glyme,0.34455262613028026,-7081.871931361654,-7081.527378735524,False,False
Na2S,NiS2,Vacuum,0.13849855236912845,-7009.522282689536,-7009.383784137167,False,False
Na2S,NiS2,PC,0.07251698159689113,-7010.004471530874,-7009.931954549277,False,False
Na2S,NiS2,Glyme,0.15404828852024366,-7009.63399947364,-7009.47995118512,False,False
