NaPS,Sorbent,Solvent,Binding Energy,Combined Energy,Sum Energy,Electronic SCF,vdw
Na2S2,NiS2_S,Vacuum,0.22501579860545462,-7019.915483052351,-7019.690467253746,False,False
Na2S2,NiS2_S,PC,104.54345525221652,-7020.359617054541,-6915.816161802324,False,False
Na2S2,NiS2_S,Glyme,0.19677519211472827,-7019.9906168207945,-7019.79384162868,False,False
Na2S4,NiS2_S,Vacuum,0.20713307016922045,-7040.506458009691,-7040.299324939522,False,False
Na2S4,NiS2_S,PC,0.1355485913782104,-7040.956787727267,-7040.821239135888,False,False
Na2S4,NiS2_S,Glyme,0.19093922396314156,-7040.585507577532,-7040.3945683535685,False,False
Na2S6,NiS2_S,Vacuum,0.2631805838445871,-7061.130569841443,-7060.867389257598,False,False
Na2S6,NiS2_S,PC,0.10946295400208328,-7061.480082684483,-7061.370619730481,False,False
Na2S6,NiS2_S,Glyme,0.14961069888249767,-7061.112187806618,-7060.962577107735,False,False
Na2S8,NiS2_S,Vacuum,0.3530900863033821,-7081.777960346343,-7081.42487026004,False,False
Na2S8,NiS2_S,PC,0.2462100386937891,-7082.192308634873,-7081.94609859618,False,False
Na2S8,NiS2_S,Glyme,0.3132694780597376,-7081.840648213583,-7081.527378735524,False,False
Na2S,NiS2_S,Vacuum,105.84295441129416,-7009.611806127999,-6903.768851716705,False,False
Na2S,NiS2_S,PC,7.623833077474046,-7017.555787626751,-7009.931954549277,False,False
Na2S,NiS2_S,Glyme,0.20497494219671353,-7009.684926127316,-7009.47995118512,False,False
