NaPS,Sorbent,Solvent,Binding Energy,Combined Energy,Sum Energy,Electronic SCF,vdw
Na2S2,FeN4_vdw,PC,0.07209030891715429,-657.4865696085811,-657.414479299664,False,True
Na2S2,FeN4_vdw,Glyme,0.07207448128815486,-657.3397312435168,-657.2676567622286,False,True
Na2S2,FeN4_vdw,Vacuum,0.08456300859427301,-657.2852229952413,-657.200659986647,True,True
Na2S4,FeN4_vdw,PC,0.055763662291155924,-678.0678393573357,-678.0120756950446,False,True
Na2S4,FeN4_vdw,Glyme,0.04506077318592361,-677.9173498670353,-677.8722890938494,False,True
Na2S4,FeN4_vdw,Vacuum,0.05857529491947844,-677.8712166619717,-677.8126413670523,True,True
Na2S6,FeN4_vdw,PC,0.06287082467804339,-698.6106205158002,-698.5477496911221,False,True
Na2S6,FeN4_vdw,Glyme,0.016496276580596714,-698.4611793473308,-698.4446830707502,False,True
Na2S6,FeN4_vdw,Vacuum,0.043548747223326245,-698.4289303662933,-698.38538161907,True,True
Na2S8,FeN4_vdw,PC,0.03648312595225889,-719.1799413537144,-719.1434582277622,False,True
Na2S8,FeN4_vdw,Glyme,0.04308343938748749,-719.0324733343058,-718.9893898949183,False,True
Na2S8,FeN4_vdw,Vacuum,0.035587947275189435,-718.996320285391,-718.9607323381158,True,True
Na2S,FeN4_vdw,PC,0.029792514474706877,-647.1469191751207,-647.117126660646,False,True
Na2S,FeN4_vdw,Glyme,0.04325727640889454,-646.9965837156499,-646.953326439241,False,True
Na2S,FeN4_vdw,Vacuum,0.058585854245279734,-646.9522333482124,-646.8936474939671,True,True
