NaPS,Sorbent,Solvent,Binding Energy,Combined Energy,Sum Energy,Electronic SCF,vdw
Na2S2,graphene,Vacuum,115.96414055275369,-527.1757677203352,-411.2116271675815,True,False
Na2S2,graphene,PC,116.15429384981172,-527.3655751870144,-411.2112813372027,True,False
Na2S2,graphene,Glyme,116.00888376964275,-527.2324454337808,-411.223561664138,True,False
Na2S4,graphene,Vacuum,0.016401411215611006,-547.7585016791433,-547.7421002679276,False,False
Na2S4,graphene,PC,136.7284579263632,-547.9397392635659,-411.2112813372027,True,False
Na2S4,graphene,Glyme,136.58670838264464,-547.8102700467826,-411.223561664138,True,False
Na2S6,graphene,Vacuum,157.10925336851216,-568.3208805360937,-411.2116271675815,True,False
Na2S6,graphene,PC,157.29559117131515,-568.5068725085179,-411.2112813372027,True,False
Na2S6,graphene,Glyme,157.14640361706546,-568.3699652812035,-411.223561664138,True,False
Na2S8,graphene,Vacuum,177.67276634393755,-588.8843935115191,-411.2116271675815,True,False
Na2S8,graphene,PC,0.0040959601719805505,-589.0601278308959,-589.0560318707239,True,False
Na2S8,graphene,Glyme,-0.018078681329029678,-588.9128136646117,-588.9308923459407,True,False
Na2S,graphene,Vacuum,105.6515385756814,-516.8631656207925,-411.21162704511113,False,False
Na2S,graphene,PC,105.84310511096015,-517.0543864481629,-411.2112813372027,True,False
Na2S,graphene,Glyme,105.67923962338199,-516.90280128752,-411.223561664138,True,False
