NaPS,Sorbent,Solvent,Binding Energy,Combined Energy,Sum Energy,Electronic SCF,vdw
Na2S2,graphene_vdw,Vacuum,0.060308859859446784,-527.2853863511739,-527.2250774913144,True,True
Na2S2,graphene_vdw,PC,0.04409905909722056,-527.4817460783102,-527.4376470192129,True,True
Na2S2,graphene_vdw,Glyme,0.04298847109237158,-527.3316063852518,-527.2886179141594,True,True
Na2S4,graphene_vdw,Vacuum,0.040599466067874346,-547.8776582147465,-547.8370587486786,False,True
Na2S4,graphene_vdw,PC,0.02868662020773627,-548.0639301937815,-548.0352435735738,False,True
Na2S4,graphene_vdw,Glyme,0.026070029827110375,-547.9193250597424,-547.8932550299153,False,True
Na2S6,graphene_vdw,Vacuum,0.03758525281045877,-568.4473843765479,-568.4097991237375,True,True
Na2S6,graphene_vdw,PC,0.0422805390924168,-568.6326820365202,-568.5904014974278,True,True
Na2S6,graphene_vdw,Glyme,0.016569319242421443,-568.4822080870562,-568.4656387678137,True,True
Na2S8,graphene_vdw,Vacuum,0.033730093699318786,-589.0188799364824,-588.9851498427831,True,True
Na2S8,graphene_vdw,PC,0.03618607269493168,-589.2027373049297,-589.1665512322347,True,True
Na2S8,graphene_vdw,Glyme,0.027460113953679866,-589.053260526697,-589.0258004127434,True,True
Na2S,graphene_vdw,Vacuum,0.051772269314255936,-516.9698372679488,-516.9180649986346,True,True
Na2S,graphene_vdw,PC,0.020557901293500436,-517.1678126950327,-517.1472547937392,True,True
Na2S,graphene_vdw,Glyme,0.04187862776905149,-517.0161711326315,-516.9742925048624,True,True
