name,NaPS,sorbent,Atoms,Mean,solvent,electronic_scf,vdw,Count,Median,Sam. std. dev.,Pop. std. dev.,Std. error,Skewness
Na2S2@FeN4-PC-vdw,Na2S2,FeN4_vdw,S–S,2.0462,PC,False,True,1,2.0462,nan,0.0000,nan,nan
Na2S2@FeN4-glyme-vdw,Na2S2,FeN4_vdw,S–S,2.0790,Glyme,False,True,1,2.0790,nan,0.0000,nan,nan
Na2S2@FeN4-glyme-vdw,Na2S2,FeN4_vdw,S–Na,2.8029,Glyme,False,True,4,2.7960,0.0681,0.0590,0.0340,0.3470
Na2S2@FeN4-vdw,Na2S2,FeN4_vdw,S–S,2.1009,Vacuum,True,True,1,2.1009,nan,0.0000,nan,nan
Na2S2@FeN4-vdw,Na2S2,FeN4_vdw,S–Na,2.6930,Vacuum,True,True,4,2.6896,0.0539,0.0467,0.0269,0.1726
Na2S4@FeN4-PC-vdw,Na2S4,FeN4_vdw,S–S,2.0774,PC,False,True,3,2.0772,0.0272,0.0222,0.0157,0.0213
Na2S4@FeN4-glyme-vdw,Na2S4,FeN4_vdw,S–S,2.0788,Glyme,False,True,3,2.0743,0.0122,0.0100,0.0071,1.4223
Na2S4@FeN4-glyme-vdw,Na2S4,FeN4_vdw,S–Na,2.7742,Glyme,False,True,2,2.7742,0.0488,0.0345,0.0345,nan
Na2S4@FeN4-vdw,Na2S4,FeN4_vdw,S–S,2.0901,Vacuum,True,True,3,2.0919,0.0106,0.0087,0.0061,-0.7123
Na2S4@FeN4-vdw,Na2S4,FeN4_vdw,S–Na,2.7349,Vacuum,True,True,3,2.7183,0.0700,0.0571,0.0404,1.0076
Na2S6@FeN4-PC-vdw,Na2S6,FeN4_vdw,S–S,2.0056,PC,False,True,4,2.0057,0.0098,0.0085,0.0049,-0.0077
Na2S6@FeN4-glyme-vdw,Na2S6,FeN4_vdw,S–Na,2.8865,Glyme,False,True,6,2.8946,0.0164,0.0149,0.0067,-0.9767
Na2S6@FeN4-glyme-vdw,Na2S6,FeN4_vdw,S–S,2.0025,Glyme,False,True,4,2.0023,0.0113,0.0098,0.0057,0.0045
Na2S6@FeN4-vdw,Na2S6,FeN4_vdw,S–S,2.0019,Vacuum,True,True,4,2.0019,0.0167,0.0145,0.0084,0.0019
Na2S6@FeN4-vdw,Na2S6,FeN4_vdw,S–Na,2.8087,Vacuum,True,True,6,2.8161,0.0266,0.0243,0.0109,-0.5812
Na2S8@FeN4-PC-vdw,Na2S8,FeN4_vdw,S–S,2.0424,PC,False,True,6,2.0208,0.0479,0.0437,0.0196,0.8500
Na2S8@FeN4-glyme-vdw,Na2S8,FeN4_vdw,S–S,2.0393,Glyme,False,True,6,2.0163,0.0660,0.0603,0.0270,1.8824
Na2S8@FeN4-glyme-vdw,Na2S8,FeN4_vdw,S–Na,2.9007,Glyme,False,True,5,2.9020,0.0175,0.0156,0.0078,-1.4099
Na2S8@FeN4-glyme-vdw,Na2S8,FeN4_vdw,Na–Na,3.5856,Glyme,False,True,1,3.5856,nan,0.0000,nan,nan
Na2S8@FeN4-vdw,Na2S8,FeN4_vdw,S–S,2.0417,Vacuum,True,True,6,2.0252,0.0570,0.0520,0.0233,1.4415
Na2S8@FeN4-vdw,Na2S8,FeN4_vdw,S–Na,2.8573,Vacuum,True,True,6,2.8733,0.0529,0.0483,0.0216,-0.6725
Na2S8@FeN4-vdw,Na2S8,FeN4_vdw,Na–Na,3.1632,Vacuum,True,True,1,3.1632,nan,0.0000,nan,nan
Na2S@FeN4-glyme-vdw,Na2S,FeN4_vdw,S–Na,2.6166,Glyme,False,True,2,2.6166,0.0095,0.0067,0.0067,nan
Na2S@FeN4-vdw,Na2S,FeN4_vdw,S–Na,2.5511,Vacuum,True,True,2,2.5511,0.0192,0.0135,0.0135,nan
