name,NaPS,sorbent,Atoms,Mean,solvent,electronic_scf,vdw,Count,Median,Sam. std. dev.,Pop. std. dev.,Std. error,Skewness
Na2S2@FeN4,Na2S2,FeN4,S–S,2.0963,Vacuum,True,False,1,2.0963,nan,0.0000,nan,nan
Na2S2@FeN4,Na2S2,FeN4,S–Na,2.6998,Vacuum,True,False,4,2.6807,0.0735,0.0637,0.0368,1.0663
Na2S2@FeN4-PC,Na2S2,FeN4,S–S,2.0474,PC,False,False,1,2.0474,nan,0.0000,nan,nan
Na2S2@FeN4-glyme,Na2S2,FeN4,S–S,2.0772,Glyme,False,False,1,2.0772,nan,0.0000,nan,nan
Na2S2@FeN4-glyme,Na2S2,FeN4,S–Na,2.8037,Glyme,False,False,4,2.7985,0.0720,0.0624,0.0360,0.1227
Na2S4@FeN4,Na2S4,FeN4,S–S,2.0908,Vacuum,True,False,3,2.0937,0.0109,0.0089,0.0063,-1.1163
Na2S4@FeN4,Na2S4,FeN4,S–Na,2.7331,Vacuum,True,False,3,2.7115,0.0687,0.0561,0.0397,1.2764
Na2S4@FeN4-PC,Na2S4,FeN4,S–S,2.0782,PC,False,False,3,2.0800,0.0233,0.0191,0.0135,-0.3470
Na2S4@FeN4-glyme,Na2S4,FeN4,S–S,2.0829,Glyme,False,False,3,2.0813,0.0134,0.0109,0.0077,0.5243
Na2S4@FeN4-glyme,Na2S4,FeN4,S–Na,2.8196,Glyme,False,False,3,2.8010,0.0936,0.0764,0.0540,0.8588
Na2S6@FeN4,Na2S6,FeN4,S–Na,2.8156,Vacuum,True,False,6,2.8145,0.0319,0.0292,0.0130,0.0832
Na2S6@FeN4,Na2S6,FeN4,S–S,1.9989,Vacuum,True,False,4,1.9989,0.0168,0.0145,0.0084,-0.0001
Na2S6@FeN4-PC,Na2S6,FeN4,S–S,2.0709,PC,False,False,5,2.0658,0.0449,0.0402,0.0201,1.7074
Na2S6@FeN4-glyme,Na2S6,FeN4,S–Na,2.8809,Glyme,False,False,3,2.8847,0.0235,0.0192,0.0136,-0.7086
Na2S6@FeN4-glyme,Na2S6,FeN4,S–S,2.0031,Glyme,False,False,4,2.0039,0.0027,0.0024,0.0014,-1.3852
Na2S8@FeN4,Na2S8,FeN4,S–S,2.0399,Vacuum,False,False,6,2.0203,0.0482,0.0440,0.0197,0.6276
Na2S8@FeN4,Na2S8,FeN4,S–Na,2.8490,Vacuum,False,False,5,2.8290,0.0509,0.0455,0.0227,0.3225
Na2S8@FeN4,Na2S8,FeN4,Na–Na,3.3197,Vacuum,False,False,1,3.3197,nan,0.0000,nan,nan
Na2S8@FeN4-PC,Na2S8,FeN4,S–S,2.0430,PC,False,False,6,2.0219,0.0456,0.0416,0.0186,0.8639
Na2S8@FeN4-glyme,Na2S8,FeN4,S–S,2.0749,Glyme,False,False,7,2.0531,0.0459,0.0425,0.0173,1.5172
Na2S8@FeN4-glyme,Na2S8,FeN4,S–Na,2.8506,Glyme,False,False,4,2.8520,0.0767,0.0665,0.0384,-0.0225
Na2S@FeN4,Na2S,FeN4,S–Na,2.5574,Vacuum,True,False,2,2.5574,0.0172,0.0121,0.0121,nan
Na2S@FeN4-glyme,Na2S,FeN4,S–Na,2.5640,Glyme,True,False,2,2.5640,0.0131,0.0093,0.0093,nan
