name,NaPS,sorbent,Atoms,Mean,solvent,electronic_scf,vdw,Count,Median,Sam. std. dev.,Pop. std. dev.,Std. error,Skewness
Na2S2@N_graphene-PC-vdw,Na2S2,N_graphene_vdw,S–S,2.0449,PC,True,True,1,2.0449,nan,0.0000,nan,nan
Na2S2@N_graphene-PC-vdw,Na2S2,N_graphene_vdw,S–Na,3.8546,PC,True,True,4,3.8514,0.0218,0.0189,0.0109,0.6404
Na2S2@N_graphene-glyme-vdw,Na2S2,N_graphene_vdw,S–S,2.0733,Glyme,True,True,1,2.0733,nan,0.0000,nan,nan
Na2S2@N_graphene-glyme-vdw,Na2S2,N_graphene_vdw,S–Na,2.7922,Glyme,True,True,4,2.7940,0.0070,0.0061,0.0035,-0.8842
Na2S2@N_graphene-glyme-vdw,Na2S2,N_graphene_vdw,Na–Na,5.1852,Glyme,True,True,1,5.1852,nan,0.0000,nan,nan
Na2S2@N_graphene-vdw,Na2S2,N_graphene_vdw,S–S,2.0896,Vacuum,True,True,1,2.0896,nan,0.0000,nan,nan
Na2S2@N_graphene-vdw,Na2S2,N_graphene_vdw,S–Na,2.6956,Vacuum,True,True,4,2.6974,0.0092,0.0080,0.0046,-1.0485
Na2S2@N_graphene-vdw,Na2S2,N_graphene_vdw,Na–Na,4.5238,Vacuum,True,True,1,4.5238,nan,0.0000,nan,nan
Na2S4@N_graphene-PC-vdw,Na2S4,N_graphene_vdw,S–Na,3.8808,PC,True,True,5,3.9089,0.1387,0.1241,0.0620,0.1070
Na2S4@N_graphene-PC-vdw,Na2S4,N_graphene_vdw,S–S,2.0666,PC,True,True,3,2.0454,0.0373,0.0304,0.0215,1.7314
Na2S4@N_graphene-glyme-vdw,Na2S4,N_graphene_vdw,S–S,2.0962,Glyme,True,True,3,2.0093,0.1526,0.1246,0.0881,1.7316
Na2S4@N_graphene-glyme-vdw,Na2S4,N_graphene_vdw,S–Na,3.1338,Glyme,True,True,8,3.1237,0.2976,0.2784,0.1052,0.0121
Na2S4@N_graphene-glyme-vdw,Na2S4,N_graphene_vdw,Na–Na,4.5037,Glyme,True,True,1,4.5037,nan,0.0000,nan,nan
Na2S4@N_graphene-vdw,Na2S4,N_graphene_vdw,S–S,2.0788,Vacuum,True,True,3,2.0594,0.0344,0.0281,0.0198,1.7309
Na2S4@N_graphene-vdw,Na2S4,N_graphene_vdw,S–Na,2.9841,Vacuum,True,True,8,2.8459,0.3101,0.2901,0.1096,1.2381
Na2S4@N_graphene-vdw,Na2S4,N_graphene_vdw,Na–Na,3.7409,Vacuum,True,True,1,3.7409,nan,0.0000,nan,nan
Na2S6@N_graphene-PC-vdw,Na2S6,N_graphene_vdw,S–Na,4.0588,PC,True,True,10,4.0596,0.2440,0.2315,0.0772,-0.0015
Na2S6@N_graphene-PC-vdw,Na2S6,N_graphene_vdw,S–S,2.6247,PC,True,True,8,2.4605,0.6780,0.6342,0.2397,0.1559
Na2S6@N_graphene-glyme-vdw,Na2S6,N_graphene_vdw,Na–Na,4.6278,Glyme,True,True,1,4.6278,nan,0.0000,nan,nan
Na2S6@N_graphene-glyme-vdw,Na2S6,N_graphene_vdw,S–Na,3.1602,Glyme,True,True,10,3.0080,0.4026,0.3820,0.1273,1.1074
Na2S6@N_graphene-glyme-vdw,Na2S6,N_graphene_vdw,S–S,2.4993,Glyme,True,True,7,2.0095,0.6374,0.5902,0.2409,0.5857
Na2S6@N_graphene-vdw,Na2S6,N_graphene_vdw,S–S,2.5023,Vacuum,False,True,7,2.0185,0.6371,0.5898,0.2408,0.5499
Na2S6@N_graphene-vdw,Na2S6,N_graphene_vdw,S–Na,3.0604,Vacuum,False,True,10,2.8381,0.3831,0.3635,0.1212,1.2500
Na2S6@N_graphene-vdw,Na2S6,N_graphene_vdw,Na–Na,4.2202,Vacuum,False,True,1,4.2202,nan,0.0000,nan,nan
Na2S8@N_graphene,Na2S8,N_graphene,Na–Na,3.5224,Vacuum,True,True,1,3.5224,nan,0.0000,nan,nan
Na2S8@N_graphene,Na2S8,N_graphene,S–Na,3.1430,Vacuum,True,True,13,2.9072,0.3606,0.3465,0.1000,0.4052
Na2S8@N_graphene,Na2S8,N_graphene,S–S,2.3846,Vacuum,True,True,8,2.0407,0.6100,0.5706,0.2157,1.3342
Na2S8@N_graphene-PC-vdw,Na2S8,N_graphene_vdw,Na–Na,4.6191,PC,False,True,1,4.6191,nan,0.0000,nan,nan
Na2S8@N_graphene-PC-vdw,Na2S8,N_graphene_vdw,S–Na,4.0393,PC,False,True,11,3.9767,0.1646,0.1570,0.0496,1.3068
Na2S8@N_graphene-PC-vdw,Na2S8,N_graphene_vdw,S–S,2.2352,PC,False,True,7,2.0204,0.5059,0.4683,0.1912,2.6074
Na2S8@N_graphene-glyme-vdw,Na2S8,N_graphene_vdw,Na–Na,4.0432,Glyme,False,True,1,4.0432,nan,0.0000,nan,nan
Na2S8@N_graphene-glyme-vdw,Na2S8,N_graphene_vdw,S–Na,3.3548,Glyme,False,True,14,3.4109,0.4833,0.4658,0.1292,0.4224
Na2S8@N_graphene-glyme-vdw,Na2S8,N_graphene_vdw,S–S,2.3795,Glyme,False,True,8,2.0378,0.6159,0.5761,0.2178,1.3789
Na2S@N_graphene-PC-vdw,Na2S,N_graphene_vdw,S–Na,3.8315,PC,True,True,2,3.8315,0.0055,0.0039,0.0039,nan
