name,NaPS,sorbent,Atoms,Mean,solvent,electronic_scf,vdw,Count,Median,Sam. std. dev.,Pop. std. dev.,Std. error,Skewness
Na2S2@NiS2,Na2S2,NiS2,S–S,2.1950,Vacuum,False,False,1,2.1950,nan,0.0000,nan,nan
Na2S2@NiS2,Na2S2,NiS2,S–Na,2.7546,Vacuum,False,False,4,2.7259,0.0690,0.0597,0.0345,1.8603
Na2S2@NiS2,Na2S2,NiS2,Na–Na,5.0492,Vacuum,False,False,1,5.0492,nan,0.0000,nan,nan
Na2S2@NiS2-PC,Na2S2,NiS2,Na–Na,5.3337,PC,False,False,1,5.3337,nan,0.0000,nan,nan
Na2S2@NiS2-glyme,Na2S2,NiS2,Na–Na,4.9853,Glyme,False,False,1,4.9853,nan,0.0000,nan,nan
Na2S2@NiS2-glyme,Na2S2,NiS2,S–Na,3.1475,Glyme,False,False,4,2.9173,0.5257,0.4553,0.2629,1.8612
Na2S2@NiS2-glyme,Na2S2,NiS2,S–S,2.1196,Glyme,False,False,1,2.1196,nan,0.0000,nan,nan
Na2S4@NiS2,Na2S4,NiS2,S–Na,2.9366,Vacuum,False,False,8,2.7590,0.3006,0.2812,0.1063,0.7909
Na2S4@NiS2,Na2S4,NiS2,Na–Na,3.5436,Vacuum,False,False,1,3.5436,nan,0.0000,nan,nan
Na2S4@NiS2,Na2S4,NiS2,S–S,2.4721,Vacuum,False,False,3,2.1207,0.6750,0.5511,0.3897,1.7078
Na2S4@NiS2-PC,Na2S4,NiS2,S–S,3.2943,PC,False,False,2,3.2943,0.0104,0.0074,0.0074,nan
Na2S4@NiS2-glyme,Na2S4,NiS2,S–S,2.6229,Glyme,False,False,5,2.1556,0.7074,0.6327,0.3164,0.5925
Na2S4@NiS2-glyme,Na2S4,NiS2,S–Na,3.3754,Glyme,False,False,6,3.2849,0.5568,0.5083,0.2273,0.1868
Na2S6@NiS2,Na2S6,NiS2,S–S,2.7304,Vacuum,False,False,2,2.7304,0.8195,0.5795,0.5795,nan
Na2S6@NiS2,Na2S6,NiS2,S–Na,3.0381,Vacuum,False,False,6,2.7721,0.6600,0.6025,0.2694,2.4321
Na2S6@NiS2,Na2S6,NiS2,Na–Na,5.0695,Vacuum,False,False,1,5.0695,nan,0.0000,nan,nan
Na2S6@NiS2-PC,Na2S6,NiS2,S–S,2.9090,PC,False,False,3,3.2824,0.7401,0.6043,0.4273,-1.6925
Na2S6@NiS2-PC,Na2S6,NiS2,S–Na,4.0151,PC,False,False,4,4.0158,0.0505,0.0437,0.0252,-0.0423
Na2S6@NiS2-glyme,Na2S6,NiS2,Na–Na,4.9620,Glyme,False,False,1,4.9620,nan,0.0000,nan,nan
Na2S6@NiS2-glyme,Na2S6,NiS2,S–Na,3.3649,Glyme,False,False,6,3.0694,0.6166,0.5629,0.2517,1.1500
Na2S6@NiS2-glyme,Na2S6,NiS2,S–S,2.6955,Glyme,False,False,2,2.6955,0.8521,0.6025,0.6025,nan
Na2S8@NiS2,Na2S8,NiS2,S–S,2.3065,Vacuum,False,False,4,2.0953,0.4396,0.3807,0.2198,1.9923
Na2S8@NiS2,Na2S8,NiS2,S–Na,3.2819,Vacuum,False,False,11,3.0703,0.5785,0.5515,0.1744,0.8303
Na2S8@NiS2,Na2S8,NiS2,Na–Na,3.7904,Vacuum,False,False,1,3.7904,nan,0.0000,nan,nan
Na2S8@NiS2-PC,Na2S8,NiS2,S–S,2.5062,PC,False,False,3,2.1295,0.7401,0.6043,0.4273,1.6970
Na2S8@NiS2-PC,Na2S8,NiS2,S–Na,4.2427,PC,False,False,1,4.2427,nan,0.0000,nan,nan
Na2S8@NiS2-glyme,Na2S8,NiS2,S–Na,3.4273,Glyme,False,False,10,3.1301,0.5735,0.5440,0.1813,0.8493
Na2S8@NiS2-glyme,Na2S8,NiS2,S–S,2.2908,Glyme,False,False,4,2.0836,0.4519,0.3914,0.2260,1.9739
Na2S8@NiS2-glyme,Na2S8,NiS2,Na–Na,4.5537,Glyme,False,False,1,4.5537,nan,0.0000,nan,nan
Na2S@NiS2,Na2S,NiS2,S–Na,3.2413,Vacuum,False,False,2,3.2413,0.5600,0.3960,0.3960,nan
Na2S@NiS2-glyme,Na2S,NiS2,S–Na,3.0214,Glyme,False,False,1,3.0214,nan,0.0000,nan,nan
