name,NaPS,sorbent,Atoms,Mean,solvent,electronic_scf,vdw,Count,Median,Sam. std. dev.,Pop. std. dev.,Std. error,Skewness
Na2S2@graphene,Na2S2,graphene,S–S,2.0764,Vacuum,True,False,1,2.0764,nan,0.0000,nan,nan
Na2S2@graphene,Na2S2,graphene,S–Na,2.7134,Vacuum,True,False,4,2.7138,0.0017,0.0014,0.0008,-1.1222
Na2S2@graphene-PC,Na2S2,graphene,S–S,2.0428,PC,True,False,1,2.0428,nan,0.0000,nan,nan
Na2S2@graphene-glyme,Na2S2,graphene,S–S,2.0718,Glyme,True,False,1,2.0718,nan,0.0000,nan,nan
Na2S2@graphene-glyme,Na2S2,graphene,S–Na,2.8286,Glyme,True,False,4,2.8294,0.0063,0.0055,0.0031,-0.5499
Na2S4@graphene,Na2S4,graphene,S–S,2.0731,Vacuum,False,False,3,2.0569,0.0280,0.0228,0.0162,1.7321
Na2S4@graphene,Na2S4,graphene,S–Na,2.7567,Vacuum,False,False,4,2.7564,0.0076,0.0065,0.0038,0.0716
Na2S4@graphene,Na2S4,graphene,Na–Na,3.5563,Vacuum,False,False,1,3.5563,nan,0.0000,nan,nan
Na2S4@graphene-PC,Na2S4,graphene,S–S,2.0655,PC,True,False,3,2.0493,0.0283,0.0231,0.0163,1.7320
Na2S4@graphene-glyme,Na2S4,graphene,S–S,2.0712,Glyme,True,False,3,2.0473,0.0439,0.0358,0.0253,1.7239
Na2S4@graphene-glyme,Na2S4,graphene,S–Na,2.8701,Glyme,True,False,4,2.8696,0.0100,0.0087,0.0050,0.0752
Na2S6@graphene,Na2S6,graphene,S–Na,2.7987,Vacuum,True,False,6,2.8038,0.0296,0.0271,0.0121,-0.3788
Na2S6@graphene,Na2S6,graphene,S–S,2.0034,Vacuum,True,False,4,2.0033,0.0168,0.0146,0.0084,0.0016
Na2S6@graphene-PC,Na2S6,graphene,S–S,2.0702,PC,True,False,5,2.0701,0.0424,0.0379,0.0190,1.2954
Na2S6@graphene-glyme,Na2S6,graphene,S–S,2.0016,Glyme,True,False,4,2.0015,0.0025,0.0021,0.0012,0.0176
Na2S6@graphene-glyme,Na2S6,graphene,S–Na,2.8783,Glyme,True,False,2,2.8783,0.0032,0.0022,0.0022,nan
Na2S8@graphene,Na2S8,graphene,S–S,2.0062,Vacuum,True,False,5,2.0180,0.0343,0.0306,0.0153,-0.3892
Na2S8@graphene,Na2S8,graphene,S–Na,2.8340,Vacuum,True,False,7,2.8349,0.0524,0.0485,0.0198,0.0212
Na2S8@graphene-PC,Na2S8,graphene,S–S,2.0421,PC,True,False,6,2.0250,0.0431,0.0393,0.0176,0.7815
Na2S8@graphene-glyme,Na2S8,graphene,S–S,2.0067,Glyme,True,False,5,2.0180,0.0315,0.0281,0.0141,-0.4945
Na2S8@graphene-glyme,Na2S8,graphene,S–Na,2.8262,Glyme,True,False,3,2.7958,0.0760,0.0621,0.0439,1.5134
Na2S@graphene,Na2S,graphene,S–Na,2.5466,Vacuum,False,False,2,2.5466,0.0013,0.0009,0.0009,nan
Na2S@graphene-glyme,Na2S,graphene,S–Na,2.5466,Glyme,True,False,2,2.5466,0.0013,0.0009,0.0009,nan
