name,NaPS,sorbent,Atoms,Mean,solvent,electronic_scf,vdw,Count,Median,Sam. std. dev.,Pop. std. dev.,Std. error,Skewness
Na2S2@graphene_vdw,Na2S2,graphene_vdw,S–S,2.0796,Vacuum,True,True,1,2.0796,nan,0.0000,nan,nan
Na2S2@graphene_vdw,Na2S2,graphene_vdw,S–Na,2.7055,Vacuum,True,True,4,2.7053,0.0043,0.0038,0.0022,0.1821
Na2S4@graphene_vdw,Na2S4,graphene_vdw,S–S,2.0769,Vacuum,False,True,3,2.0548,0.0385,0.0315,0.0223,1.7319
Na2S4@graphene_vdw,Na2S4,graphene_vdw,S–Na,2.7664,Vacuum,False,True,4,2.7664,0.0028,0.0024,0.0014,-0.0955
Na2S6@graphene_vdw,Na2S6,graphene_vdw,S–S,2.0043,Vacuum,True,True,4,2.0045,0.0148,0.0128,0.0074,-0.0045
Na2S6@graphene_vdw,Na2S6,graphene_vdw,S–Na,2.8037,Vacuum,True,True,6,2.8135,0.0337,0.0308,0.0138,-0.6053
Na2S8@graphene-glyme-vdw,Na2S8,graphene,S–S,2.0377,Glyme,True,True,6,2.0217,0.0477,0.0436,0.0195,0.6940
Na2S8@graphene-glyme-vdw,Na2S8,graphene,S–Na,2.8567,Glyme,True,True,4,2.8599,0.0135,0.0117,0.0067,-1.2891
Na2S8@graphene-vdw,Na2S8,graphene,S–S,2.0090,Vacuum,True,True,5,2.0212,0.0286,0.0255,0.0128,-0.4316
Na2S8@graphene-vdw,Na2S8,graphene,S–Na,2.8455,Vacuum,True,True,6,2.8296,0.0600,0.0548,0.0245,0.3302
Na2S8@graphene-vdw,Na2S8,graphene,Na–Na,3.4160,Vacuum,True,True,1,3.4160,nan,0.0000,nan,nan
Na2S@graphene_vdw,Na2S,graphene_vdw,S–Na,2.5419,Vacuum,True,True,2,2.5419,0.0016,0.0012,0.0012,nan
