name,NaPS,sorbent,Atoms,Mean,solvent,electronic_scf,vdw,Count,Median,Sam. std. dev.,Pop. std. dev.,Std. error,Skewness
Na2S2@FeN4,Na2S2,FeN4,N–Na,2.8463,Vacuum,True,False,3,2.9019,0.1734,0.1416,0.1001,-1.2946
Na2S2@FeN4,Na2S2,FeN4,C–N,1.4261,Vacuum,True,False,8,1.4261,0.0000,0.0000,0.0000,0.0000
Na2S2@FeN4,Na2S2,FeN4,C–Fe,2.9846,Vacuum,True,False,10,3.1067,0.3972,0.3768,0.1256,0.2563
Na2S2@FeN4,Na2S2,FeN4,N–Fe,1.8865,Vacuum,True,False,4,1.8865,0.0013,0.0011,0.0006,0.0018
Na2S2@FeN4,Na2S2,FeN4,N–S,2.8344,Vacuum,True,False,1,2.8344,nan,0.0000,nan,nan
Na2S2@FeN4,Na2S2,FeN4,C–Na,3.2038,Vacuum,True,False,14,3.0741,0.4260,0.4105,0.1139,0.2000
Na2S2@FeN4,Na2S2,FeN4,Fe–Na,3.6187,Vacuum,True,False,2,3.6187,0.1904,0.1346,0.1346,nan
Na2S2@FeN4,Na2S2,FeN4,S–S,2.0963,Vacuum,True,False,1,2.0963,nan,0.0000,nan,nan
Na2S2@FeN4,Na2S2,FeN4,S–Na,2.6998,Vacuum,True,False,4,2.6807,0.0735,0.0637,0.0368,1.0663
Na2S2@FeN4,Na2S2,FeN4,Na–Na,4.8311,Vacuum,True,False,1,4.8311,nan,0.0000,nan,nan
Na2S2@FeN4,Na2S2,FeN4,Fe–S,3.0614,Vacuum,True,False,2,3.0614,1.0049,0.7106,0.7106,nan
Na2S2@FeN4,Na2S2,FeN4,C–C,1.4261,Vacuum,True,False,78,1.4261,0.0000,0.0000,0.0000,0.0000
Na2S2@FeN4-PC,Na2S2,FeN4,S–Na,4.1012,PC,False,False,2,4.1012,0.0916,0.0648,0.0648,nan
Na2S2@FeN4-PC,Na2S2,FeN4,C–C,1.4261,PC,False,False,72,1.4261,0.0000,0.0000,0.0000,-2.0857
Na2S2@FeN4-PC,Na2S2,FeN4,C–Na,3.8680,PC,False,False,1,3.8680,nan,0.0000,nan,nan
Na2S2@FeN4-PC,Na2S2,FeN4,C–N,1.4261,PC,False,False,8,1.4261,0.0000,0.0000,0.0000,0.0000
Na2S2@FeN4-PC,Na2S2,FeN4,C–Fe,2.9846,PC,False,False,10,3.1067,0.3972,0.3768,0.1256,0.2563
Na2S2@FeN4-PC,Na2S2,FeN4,N–Fe,1.8865,PC,False,False,4,1.8865,0.0013,0.0011,0.0006,0.0018
Na2S2@FeN4-PC,Na2S2,FeN4,N–S,2.8016,PC,False,False,1,2.8016,nan,0.0000,nan,nan
Na2S2@FeN4-PC,Na2S2,FeN4,Fe–S,2.9592,PC,False,False,2,2.9592,0.9973,0.7052,0.7052,nan
Na2S2@FeN4-PC,Na2S2,FeN4,S–S,2.0474,PC,False,False,1,2.0474,nan,0.0000,nan,nan
Na2S2@FeN4-glyme,Na2S2,FeN4,C–C,1.4261,Glyme,False,False,78,1.4261,0.0000,0.0000,0.0000,0.0000
Na2S2@FeN4-glyme,Na2S2,FeN4,S–Na,2.8037,Glyme,False,False,4,2.7985,0.0720,0.0624,0.0360,0.1227
Na2S2@FeN4-glyme,Na2S2,FeN4,S–S,2.0772,Glyme,False,False,1,2.0772,nan,0.0000,nan,nan
Na2S2@FeN4-glyme,Na2S2,FeN4,Fe–Na,4.2428,Glyme,False,False,2,4.2428,0.0642,0.0454,0.0454,nan
Na2S2@FeN4-glyme,Na2S2,FeN4,Fe–S,3.0014,Glyme,False,False,2,3.0014,0.9936,0.7026,0.7026,nan
