name,NaPS,sorbent,Atoms,Mean,solvent,electronic_scf,vdw,Count,Median,Sam. std. dev.,Pop. std. dev.,Std. error,Skewness
Na2S2@N_graphene-PC-vdw,Na2S2,N_graphene,C–C,1.4261,PC,True,True,93,1.4261,0.0000,0.0000,0.0000,-0.6007
Na2S2@N_graphene-PC-vdw,Na2S2,N_graphene,C–Na,3.6738,PC,True,True,7,3.6304,0.1603,0.1484,0.0606,0.3392
Na2S2@N_graphene-PC-vdw,Na2S2,N_graphene,C–N,1.4261,PC,True,True,3,1.4261,0.0000,0.0000,0.0000,0.0000
Na2S2@N_graphene-PC-vdw,Na2S2,N_graphene,S–S,2.0449,PC,True,True,1,2.0449,nan,0.0000,nan,nan
Na2S2@N_graphene-PC-vdw,Na2S2,N_graphene,S–Na,3.8546,PC,True,True,4,3.8514,0.0218,0.0189,0.0109,0.6404
Na2S2@N_graphene-glyme-vdw,Na2S2,N_graphene,C–C,1.4261,Glyme,True,True,93,1.4261,0.0000,0.0000,0.0000,-0.6007
Na2S2@N_graphene-glyme-vdw,Na2S2,N_graphene,C–Na,3.6274,Glyme,True,True,6,3.7061,0.2306,0.2106,0.0942,-0.7147
Na2S2@N_graphene-glyme-vdw,Na2S2,N_graphene,C–N,1.4261,Glyme,True,True,3,1.4261,0.0000,0.0000,0.0000,0.0000
Na2S2@N_graphene-glyme-vdw,Na2S2,N_graphene,S–S,2.0733,Glyme,True,True,1,2.0733,nan,0.0000,nan,nan
Na2S2@N_graphene-glyme-vdw,Na2S2,N_graphene,S–Na,2.7922,Glyme,True,True,4,2.7940,0.0070,0.0061,0.0035,-0.8842
Na2S2@N_graphene-glyme-vdw,Na2S2,N_graphene,Na–Na,5.1852,Glyme,True,True,1,5.1852,nan,0.0000,nan,nan
Na2S2@N_graphene-vdw,Na2S2,N_graphene,Na–Na,4.5238,Vacuum,True,True,1,4.5238,nan,0.0000,nan,nan
Na2S2@N_graphene-vdw,Na2S2,N_graphene,S–Na,2.6956,Vacuum,True,True,4,2.6974,0.0092,0.0080,0.0046,-1.0485
Na2S2@N_graphene-vdw,Na2S2,N_graphene,S–S,2.0896,Vacuum,True,True,1,2.0896,nan,0.0000,nan,nan
Na2S2@N_graphene-vdw,Na2S2,N_graphene,C–C,1.4261,Vacuum,True,True,93,1.4261,0.0000,0.0000,0.0000,-0.6007
