name,NaPS,sorbent,Atoms,solvent,electronic_scf,vdw,Count,Mean /Å,Median /Å,Sam. std. dev.,Pop. std. dev.,Std. error,Skewness
Na2S2@N_graphene-PC-vdw,Na2S2,N_graphene,S–S,PC,True,True,1,2.0449,2.0449,nan,0.0000,nan,nan
Na2S2@N_graphene-PC-vdw,Na2S2,N_graphene,S–S,PC,True,True,1,2.0449,2.0449,nan,0.0000,nan,nan
Na2S2@N_graphene-PC-vdw,Na2S2,N_graphene,S–S,PC,True,True,1,2.0449,2.0449,nan,0.0000,nan,nan
Na2S2@N_graphene-PC-vdw,Na2S2,N_graphene,S–S,PC,True,True,1,2.0449,2.0449,nan,0.0000,nan,nan
Na2S2@N_graphene-PC-vdw,Na2S2,N_graphene,S–S,PC,True,True,1,2.0449,2.0449,nan,0.0000,nan,nan
Na2S2@N_graphene-PC-vdw,Na2S2,N_graphene,S–S,PC,True,True,1,2.0449,2.0449,nan,0.0000,nan,nan
Na2S2@N_graphene-PC-vdw,Na2S2,N_graphene,S–S,PC,True,True,1,2.0449,2.0449,nan,0.0000,nan,nan
Na2S2@N_graphene-PC-vdw,Na2S2,N_graphene,S–S,PC,True,True,1,2.0449,2.0449,nan,0.0000,nan,nan
Na2S2@N_graphene-PC-vdw,Na2S2,N_graphene,S–S,PC,True,True,1,2.0449,2.0449,nan,0.0000,nan,nan
Na2S2@N_graphene-PC-vdw,Na2S2,N_graphene,S–S,PC,True,True,1,2.0449,2.0449,nan,0.0000,nan,nan
Na2S2@N_graphene-PC-vdw,Na2S2,N_graphene,S–S,PC,True,True,1,2.0449,2.0449,nan,0.0000,nan,nan
Na2S2@N_graphene-PC-vdw,Na2S2,N_graphene,S–S,PC,True,True,1,2.0449,2.0449,nan,0.0000,nan,nan
Na2S2@N_graphene-PC-vdw,Na2S2,N_graphene,S–S,PC,True,True,1,2.0449,2.0449,nan,0.0000,nan,nan
Na2S2@N_graphene-PC-vdw,Na2S2,N_graphene,S–S,PC,True,True,1,2.0449,2.0449,nan,0.0000,nan,nan
Na2S2@N_graphene-PC-vdw,Na2S2,N_graphene,S–S,PC,True,True,1,2.0449,2.0449,nan,0.0000,nan,nan
Na2S2@N_graphene-PC-vdw,Na2S2,N_graphene,S–S,PC,True,True,1,2.0449,2.0449,nan,0.0000,nan,nan
Na2S2@N_graphene-PC-vdw,Na2S2,N_graphene,S–S,PC,True,True,1,2.0449,2.0449,nan,0.0000,nan,nan
Na2S2@N_graphene-PC-vdw,Na2S2,N_graphene,S–S,PC,True,True,1,2.0449,2.0449,nan,0.0000,nan,nan
Na2S2@N_graphene-PC-vdw,Na2S2,N_graphene,S–S,PC,True,True,1,2.0449,2.0449,nan,0.0000,nan,nan
Na2S2@N_graphene-PC-vdw,Na2S2,N_graphene,S–S,PC,True,True,1,2.0449,2.0449,nan,0.0000,nan,nan
Na2S2@N_graphene-PC-vdw,Na2S2,N_graphene,S–S,PC,True,True,1,2.0449,2.0449,nan,0.0000,nan,nan
Na2S2@N_graphene-PC-vdw,Na2S2,N_graphene,S–S,PC,True,True,1,2.0449,2.0449,nan,0.0000,nan,nan
Na2S2@N_graphene-PC-vdw,Na2S2,N_graphene,S–S,PC,True,True,1,2.0449,2.0449,nan,0.0000,nan,nan
Na2S2@N_graphene-PC-vdw,Na2S2,N_graphene,S–S,PC,True,True,1,2.0449,2.0449,nan,0.0000,nan,nan
Na2S2@N_graphene-PC-vdw,Na2S2,N_graphene,S–S,PC,True,True,1,2.0449,2.0449,nan,0.0000,nan,nan
Na2S2@N_graphene-PC-vdw,Na2S2,N_graphene,S–S,PC,True,True,1,2.0449,2.0449,nan,0.0000,nan,nan
Na2S2@N_graphene-PC-vdw,Na2S2,N_graphene,S–S,PC,True,True,1,2.0449,2.0449,nan,0.0000,nan,nan
Na2S2@N_graphene-PC-vdw,Na2S2,N_graphene,S–S,PC,True,True,1,2.0449,2.0449,nan,0.0000,nan,nan
Na2S2@N_graphene-PC-vdw,Na2S2,N_graphene,S–S,PC,True,True,1,2.0449,2.0449,nan,0.0000,nan,nan
Na2S2@N_graphene-PC-vdw,Na2S2,N_graphene,S–S,PC,True,True,1,2.0449,2.0449,nan,0.0000,nan,nan
Na2S2@N_graphene-PC-vdw,Na2S2,N_graphene,S–S,PC,True,True,1,2.0449,2.0449,nan,0.0000,nan,nan
Na2S2@N_graphene-PC-vdw,Na2S2,N_graphene,S–S,PC,True,True,1,2.0449,2.0449,nan,0.0000,nan,nan
Na2S2@N_graphene-PC-vdw,Na2S2,N_graphene,S–S,PC,True,True,1,2.0449,2.0449,nan,0.0000,nan,nan
Na2S2@N_graphene-PC-vdw,Na2S2,N_graphene,C–N,PC,True,True,3,1.4261,1.4261,0.0000,0.0000,0.0000,0.0000
Na2S2@N_graphene-PC-vdw,Na2S2,N_graphene,C–N,PC,True,True,3,1.4261,1.4261,0.0000,0.0000,0.0000,0.0000
Na2S2@N_graphene-PC-vdw,Na2S2,N_graphene,C–N,PC,True,True,3,1.4261,1.4261,0.0000,0.0000,0.0000,0.0000
Na2S2@N_graphene-PC-vdw,Na2S2,N_graphene,C–N,PC,True,True,3,1.4261,1.4261,0.0000,0.0000,0.0000,0.0000
Na2S2@N_graphene-PC-vdw,Na2S2,N_graphene,C–N,PC,True,True,3,1.4261,1.4261,0.0000,0.0000,0.0000,0.0000
