name,NaPS,sorbent,Atoms,Mean,solvent,electronic_scf,vdw,Count,Median,Sam. std. dev.,Pop. std. dev.,Std. error,Skewness
Na2S2@NiS2_S,Na2S2,NiS2_S,Ni–Na,4.2517,Vacuum,False,False,3,4.2352,0.2987,0.2439,0.1725,0.2471
Na2S2@NiS2_S,Na2S2,NiS2_S,S–Na,3.3272,Vacuum,False,False,13,2.9839,0.5886,0.5655,0.1633,0.6261
Na2S2@NiS2_S,Na2S2,NiS2_S,S–S,3.1697,Vacuum,False,False,172,3.2785,0.3465,0.3455,0.0264,-2.9291
Na2S2@NiS2_S,Na2S2,NiS2_S,Ni–S,2.8570,Vacuum,False,False,228,2.3943,0.5639,0.5627,0.0373,0.3972
Na2S2@NiS2_S,Na2S2,NiS2_S,Ni–Ni,4.0139,Vacuum,False,False,110,4.0139,0.0000,0.0000,0.0000,0.0000
Na2S2@NiS2_S-PC,Na2S2,NiS2_S,Ni–Ni,4.0139,PC,False,False,110,4.0139,0.0000,0.0000,0.0000,0.0000
Na2S2@NiS2_S-PC,Na2S2,NiS2_S,Ni–S,2.8569,PC,False,False,228,2.3943,0.5637,0.5625,0.0373,0.3962
Na2S2@NiS2_S-PC,Na2S2,NiS2_S,S–S,3.1695,PC,False,False,173,3.2785,0.3448,0.3438,0.0262,-2.9371
Na2S2@NiS2_S-PC,Na2S2,NiS2_S,S–Na,4.0458,PC,False,False,5,4.0927,0.2522,0.2256,0.1128,-1.6764
Na2S2@NiS2_S-glyme,Na2S2,NiS2_S,Ni–Ni,4.0139,Glyme,False,False,110,4.0139,0.0000,0.0000,0.0000,0.0000
Na2S2@NiS2_S-glyme,Na2S2,NiS2_S,S–S,3.1681,Glyme,False,False,173,3.2785,0.3464,0.3454,0.0263,-2.9124
Na2S2@NiS2_S-glyme,Na2S2,NiS2_S,Ni–Na,4.4095,Glyme,False,False,1,4.4095,nan,0.0000,nan,nan
Na2S2@NiS2_S-glyme,Na2S2,NiS2_S,Ni–S,2.8562,Glyme,False,False,228,2.3943,0.5629,0.5616,0.0373,0.3960
Na2S2@NiS2_S-glyme,Na2S2,NiS2_S,S–Na,3.5136,Glyme,False,False,9,3.0575,0.6463,0.6094,0.2154,0.6019
Na2S4@NiS2_S,Na2S4,NiS2_S,S–Na,3.3653,Vacuum,False,False,16,3.1720,0.5615,0.5436,0.1404,0.6098
Na2S4@NiS2_S,Na2S4,NiS2_S,S–S,3.1564,Vacuum,False,False,182,3.2785,0.3654,0.3644,0.0271,-2.6769
