name,NaPS,sorbent,Atoms,solvent,electronic_scf,vdw,Count,Mean /Å,Median /Å,Sam. std. dev.,Pop. std. dev.,Std. error,Skewness
Na2S2@NiS2_S,Na2S2,NiS2_S,Ni–S,Vacuum,False,False,136,2.3943,2.3943,0.0000,0.0000,0.0000,0.0000
Na2S2@NiS2_S,Na2S2,NiS2_S,Ni–S,Vacuum,False,False,136,2.3943,2.3943,0.0000,0.0000,0.0000,0.0000
Na2S2@NiS2_S,Na2S2,NiS2_S,Ni–S,Vacuum,False,False,136,2.3943,2.3943,0.0000,0.0000,0.0000,0.0000
Na2S2@NiS2_S,Na2S2,NiS2_S,Ni–S,Vacuum,False,False,136,2.3943,2.3943,0.0000,0.0000,0.0000,0.0000
Na2S2@NiS2_S,Na2S2,NiS2_S,Ni–S,Vacuum,False,False,136,2.3943,2.3943,0.0000,0.0000,0.0000,0.0000
Na2S2@NiS2_S,Na2S2,NiS2_S,Ni–S,Vacuum,False,False,136,2.3943,2.3943,0.0000,0.0000,0.0000,0.0000
Na2S2@NiS2_S,Na2S2,NiS2_S,Ni–S,Vacuum,False,False,136,2.3943,2.3943,0.0000,0.0000,0.0000,0.0000
Na2S2@NiS2_S,Na2S2,NiS2_S,Ni–S,Vacuum,False,False,136,2.3943,2.3943,0.0000,0.0000,0.0000,0.0000
Na2S2@NiS2_S,Na2S2,NiS2_S,Ni–S,Vacuum,False,False,136,2.3943,2.3943,0.0000,0.0000,0.0000,0.0000
Na2S2@NiS2_S,Na2S2,NiS2_S,Ni–S,Vacuum,False,False,136,2.3943,2.3943,0.0000,0.0000,0.0000,0.0000
Na2S2@NiS2_S,Na2S2,NiS2_S,Ni–S,Vacuum,False,False,136,2.3943,2.3943,0.0000,0.0000,0.0000,0.0000
Na2S2@NiS2_S,Na2S2,NiS2_S,Ni–S,Vacuum,False,False,136,2.3943,2.3943,0.0000,0.0000,0.0000,0.0000
Na2S2@NiS2_S,Na2S2,NiS2_S,Ni–S,Vacuum,False,False,136,2.3943,2.3943,0.0000,0.0000,0.0000,0.0000
Na2S2@NiS2_S,Na2S2,NiS2_S,Ni–S,Vacuum,False,False,136,2.3943,2.3943,0.0000,0.0000,0.0000,0.0000
Na2S2@NiS2_S,Na2S2,NiS2_S,Ni–S,Vacuum,False,False,136,2.3943,2.3943,0.0000,0.0000,0.0000,0.0000
