name,NaPS,sorbent,Atoms,Mean,solvent,electronic_scf,vdw,Count,Median,Sam. std. dev.,Pop. std. dev.,Std. error,Skewness
Na2S2@TiO2,Na2S2,TiO2,S–S,2.0971,Vacuum,True,False,1,2.0971,nan,0.0000,nan,nan
Na2S2@TiO2,Na2S2,TiO2,S–Na,2.6932,Vacuum,True,False,3,2.7002,0.0579,0.0473,0.0334,-0.5325
Na2S2@TiO2,Na2S2,TiO2,O–Na,2.2317,Vacuum,True,False,4,2.2390,0.0366,0.0317,0.0183,-1.1159
Na2S2@TiO2,Na2S2,TiO2,Ti–Na,3.3687,Vacuum,True,False,3,3.3167,0.0971,0.0793,0.0560,1.7186
Na2S2@TiO2,Na2S2,TiO2,Ti–S,2.5538,Vacuum,True,False,1,2.5538,nan,0.0000,nan,nan
Na2S2@TiO2,Na2S2,TiO2,Ti–O,1.9651,Vacuum,True,False,61,1.9834,0.0188,0.0186,0.0024,-0.0336
Na2S2@TiO2-PC,Na2S2,TiO2,Ti–O,1.9651,PC,False,False,61,1.9834,0.0188,0.0186,0.0024,-0.0336
Na2S2@TiO2-glyme,Na2S2,TiO2,Ti–O,1.9651,Glyme,False,False,61,1.9834,0.0188,0.0186,0.0024,-0.0336
Na2S2@TiO2-glyme,Na2S2,TiO2,S–S,2.1133,Glyme,False,False,1,2.1133,nan,0.0000,nan,nan
Na2S2@TiO2-glyme,Na2S2,TiO2,O–Na,2.2373,Glyme,False,False,4,2.2400,0.0246,0.0213,0.0123,-0.6270
Na2S2@TiO2-glyme,Na2S2,TiO2,Ti–Na,3.3212,Glyme,False,False,2,3.3212,0.0006,0.0004,0.0004,nan
Na2S2@TiO2-glyme,Na2S2,TiO2,Ti–S,2.5617,Glyme,False,False,1,2.5617,nan,0.0000,nan,nan
Na2S2@TiO2-glyme,Na2S2,TiO2,S–Na,2.7205,Glyme,False,False,3,2.7344,0.0534,0.0436,0.0308,-1.0943
